age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,Label
32,2,2,1,1,1,1,1,5,1,299,3,999,0,2,-1.8,92.893,-46.2,1.2990000000000002,5099.1,0
38,10,2,7,1,2,1,1,5,3,147,1,999,0,2,-1.8,92.893,-46.2,1.334,5099.1,0
38,3,1,7,1,2,1,1,11,4,252,1,999,0,2,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0
50,2,2,3,3,2,1,1,7,2,215,3,999,0,2,1.4,93.918,-42.7,4.961,5228.1,0
31,2,3,3,1,2,1,2,9,1,5,1,999,0,2,-1.1,94.199,-37.5,0.879,4963.6,0
34,11,2,3,1,1,1,1,5,1,123,2,999,0,2,-1.8,92.893,-46.2,1.2990000000000002,5099.1,0
36,7,2,3,1,2,2,1,11,4,151,3,999,0,2,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0
31,10,3,4,1,1,1,1,8,2,191,1,999,0,2,1.4,93.444,-36.1,4.966,5228.1,0
44,1,1,7,1,1,1,1,7,3,191,6,999,0,2,1.4,93.918,-42.7,4.957,5228.1,0
60,3,2,8,1,1,1,1,8,4,130,2,999,0,2,-2.9,92.201,-31.4,0.883,5076.2,0
28,1,2,7,1,1,1,1,5,2,72,3,999,1,1,-1.8,92.893,-46.2,1.291,5099.1,0
41,2,2,1,1,2,2,1,5,3,389,2,999,0,2,-1.8,92.893,-46.2,1.334,5099.1,0
43,8,2,4,1,1,1,1,11,4,81,1,999,0,2,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0
30,8,2,3,1,1,1,1,7,2,70,2,999,0,2,1.4,93.918,-42.7,4.961,5228.1,0
35,1,2,7,1,1,1,2,5,2,235,4,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
33,1,3,4,1,1,1,1,7,1,31,1,999,0,2,1.4,93.918,-42.7,4.96,5228.1,0
53,1,3,2,1,2,2,2,5,1,148,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
25,10,3,7,1,2,2,2,6,1,35,6,999,0,2,1.4,94.465,-41.8,4.96,5228.1,0
28,9,3,8,1,2,1,1,8,4,111,1,999,1,1,-2.9,92.201,-31.4,0.883,5076.2,0
47,1,2,7,1,1,1,2,5,4,42,1,999,0,2,1.1,93.994,-36.4,4.855,5191.0,0
41,6,3,1,1,2,1,1,10,5,278,1,999,0,2,-1.1,94.601,-49.5,0.942,4963.6,0
55,3,1,7,3,1,1,1,5,5,56,1,999,1,1,-1.8,92.893,-46.2,1.3130000000000002,5099.1,0
54,1,2,7,1,2,1,2,5,4,461,3,999,0,2,1.1,93.994,-36.4,4.855,5191.0,0
55,12,2,1,1,1,2,1,7,4,185,1,999,0,2,1.4,93.918,-42.7,4.962,5228.1,0
42,10,2,4,1,2,1,1,8,2,188,1,999,0,2,1.4,93.444,-36.1,4.968,5228.1,0
25,9,3,8,3,2,1,1,8,5,81,1,999,1,1,-2.9,92.201,-31.4,0.825,5076.2,0
50,4,1,1,1,1,1,2,9,2,57,1,999,0,2,-1.1,94.199,-37.5,0.877,4963.6,0
50,2,2,3,3,2,1,2,5,1,192,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
54,5,2,7,1,1,2,1,7,2,218,1,999,0,2,1.4,93.918,-42.7,4.961,5228.1,0
41,1,2,7,1,2,1,1,8,3,206,1,999,0,2,1.4,93.444,-36.1,4.965,5228.1,0
44,3,2,6,1,1,1,2,5,1,259,1,999,0,2,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
48,10,2,6,1,2,1,1,8,5,336,8,999,0,2,1.4,93.444,-36.1,4.964,5228.1,1
39,2,1,2,3,1,1,1,5,3,101,1,999,0,2,-1.8,92.893,-46.2,1.281,5099.1,0
57,10,2,1,3,1,1,2,5,2,101,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
33,1,3,7,1,1,1,1,5,3,6,7,999,0,2,-1.8,92.893,-46.2,1.281,5099.1,0
27,7,3,7,1,2,2,2,6,3,161,1,999,0,2,1.4,94.465,-41.8,4.864,5228.1,0
55,11,2,1,1,2,1,2,9,2,6,1,999,0,2,-1.1,94.199,-37.5,0.879,4963.6,0
33,5,2,7,1,1,1,2,5,5,21,1,999,0,2,1.1,93.994,-36.4,4.855,5191.0,0
41,10,2,6,3,2,1,2,6,1,442,11,999,0,2,1.4,94.465,-41.8,4.865,5228.1,0
30,1,2,4,1,1,1,1,7,3,227,1,999,0,2,1.4,93.918,-42.7,4.957,5228.1,0
36,8,2,4,1,1,1,1,7,3,98,3,999,0,2,1.4,93.918,-42.7,4.963,5228.1,0
35,10,3,3,1,1,1,1,11,3,178,1,999,1,1,-0.1,93.2,-42.0,4.12,5195.8,0
27,1,3,4,1,2,1,1,7,4,130,1,999,0,2,1.4,93.918,-42.7,4.958,5228.1,0
30,1,3,7,1,1,1,1,11,5,258,2,999,1,1,-0.1,93.2,-42.0,4.021,5195.8,0
44,10,3,7,1,1,2,1,7,5,228,2,999,0,2,1.4,93.918,-42.7,4.963,5228.1,0
36,1,3,4,1,2,1,1,5,4,27,1,999,1,1,-1.8,92.893,-46.2,1.327,5099.1,0
52,3,2,3,3,2,1,2,6,1,699,2,999,0,2,1.4,94.465,-41.8,4.961,5228.1,0
36,7,3,1,1,1,1,1,7,4,148,1,999,0,2,1.4,93.918,-42.7,4.968,5228.1,0
30,2,2,3,1,2,1,1,5,5,487,2,999,0,2,-1.8,92.893,-46.2,1.3130000000000002,5099.1,0
40,5,2,8,1,2,1,1,11,4,165,1,999,1,1,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0
25,8,3,2,3,2,1,1,7,4,301,1,999,0,2,1.4,93.918,-42.7,4.958,5228.1,0
32,10,3,7,1,1,1,1,8,2,264,12,999,0,2,1.4,93.444,-36.1,4.966,5228.1,0
33,2,2,4,1,2,1,2,5,3,233,1,999,0,2,1.1,93.994,-36.4,4.856,5191.0,0
46,2,3,3,3,2,1,1,7,4,155,1,999,0,2,1.4,93.918,-42.7,4.963,5228.1,0
54,6,3,4,1,2,1,1,7,4,577,3,999,0,2,1.4,93.918,-42.7,4.962,5228.1,0
32,1,3,6,1,2,1,2,5,1,16,11,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
33,5,2,7,1,2,1,1,5,2,35,6,999,0,2,-1.8,92.893,-46.2,1.344,5099.1,0
28,10,2,3,1,2,1,1,7,1,236,2,999,0,2,1.4,93.918,-42.7,4.96,5228.1,0
32,3,2,4,1,2,1,1,11,3,100,1,999,1,1,-0.1,93.2,-42.0,4.12,5195.8,0
32,3,2,7,1,1,1,1,11,4,73,4,999,0,2,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0
67,4,1,6,1,2,1,1,11,1,655,2,5,5,3,-1.1,94.767,-50.8,1.039,4963.6,1
50,10,2,7,1,2,1,1,7,5,367,1,999,0,2,1.4,93.918,-42.7,4.962,5228.1,0
34,2,3,2,1,2,2,1,7,3,195,1,999,0,2,1.4,93.918,-42.7,4.957,5228.1,0
56,3,2,7,1,2,2,2,6,4,82,1,999,0,2,1.4,94.465,-41.8,4.961,5228.1,0
54,10,2,7,3,1,1,2,6,1,71,4,999,0,2,1.4,94.465,-41.8,4.96,5228.1,0
35,9,3,7,3,1,1,2,6,4,618,1,999,0,2,1.4,94.465,-41.8,4.961,5228.1,1
54,5,2,7,1,1,1,1,5,1,397,1,999,1,1,-1.8,92.893,-46.2,1.264,5099.1,1
48,4,2,1,3,1,2,1,8,1,148,1,999,0,2,1.4,93.444,-36.1,4.97,5228.1,0
60,8,2,4,3,1,1,1,8,2,73,1,999,0,2,1.4,93.444,-36.1,4.966,5228.1,0
40,11,3,4,1,2,1,1,7,1,300,5,999,0,2,1.4,93.918,-42.7,4.96,5228.1,0
53,8,2,4,3,1,1,2,5,4,203,4,999,0,2,1.1,93.994,-36.4,4.86,5191.0,0
44,2,2,4,3,1,1,2,6,2,390,2,999,0,2,1.4,94.465,-41.8,4.961,5228.1,0
58,6,2,1,1,2,1,1,4,4,185,1,2,1,3,-1.8,93.075,-47.1,1.365,5099.1,0
42,7,2,7,1,1,1,1,7,1,84,2,999,0,2,1.4,93.918,-42.7,4.962,5228.1,0
35,2,2,2,1,2,1,2,5,5,115,6,999,0,2,1.1,93.994,-36.4,4.864,5191.0,0
32,8,2,4,1,3,3,2,5,1,72,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
54,1,2,7,1,1,1,1,7,4,9,5,999,0,2,1.4,93.918,-42.7,4.968,5228.1,0
42,10,1,6,3,1,2,2,5,5,286,3,999,0,2,1.1,93.994,-36.4,4.859,5191.0,0
45,10,1,3,3,1,1,1,7,3,80,2,999,0,2,1.4,93.918,-42.7,4.962,5228.1,0
30,1,3,7,1,2,1,1,5,1,232,2,999,1,1,-1.8,92.893,-46.2,1.2990000000000002,5099.1,0
30,1,2,7,1,1,1,2,5,2,178,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
36,2,2,2,1,2,1,2,5,3,167,1,999,0,2,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
52,5,2,7,1,2,1,2,5,5,412,1,999,0,2,1.1,93.994,-36.4,4.859,5191.0,0
35,10,2,6,1,1,1,1,7,4,126,4,999,0,2,1.4,93.918,-42.7,4.968,5228.1,0
36,1,3,7,1,2,1,1,8,4,379,1,999,0,2,1.4,93.444,-36.1,4.963,5228.1,0
36,10,3,4,1,2,1,1,7,3,243,1,999,1,1,-2.9,92.469,-33.6,1.029,5076.2,0
36,10,1,3,1,1,1,2,7,3,372,1,999,0,2,1.4,93.918,-42.7,4.962,5228.1,0
40,1,2,4,1,1,1,2,5,1,160,3,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
36,2,2,3,3,1,1,1,5,3,951,3,999,1,1,-1.8,92.893,-46.2,1.281,5099.1,1
57,8,2,6,3,1,1,1,8,1,153,2,999,0,2,1.4,93.444,-36.1,4.965,5228.1,0
42,8,2,7,1,2,1,1,4,1,257,1,999,0,2,-1.8,93.075,-47.1,1.405,5099.1,0
47,8,3,3,1,1,1,1,11,2,187,2,999,0,2,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0
40,1,2,7,1,2,2,1,8,2,117,1,999,0,2,1.4,93.444,-36.1,4.966,5228.1,0
48,8,2,4,1,1,1,2,9,2,11,1,999,0,2,-1.1,94.199,-37.5,0.8809999999999999,4963.6,0
51,2,2,2,1,1,1,1,8,5,393,1,999,0,2,1.4,93.444,-36.1,4.964,5228.1,0
29,1,3,7,1,2,2,2,5,3,266,2,999,0,2,1.1,93.994,-36.4,4.859,5191.0,0
50,10,2,6,1,1,1,2,5,5,121,2,999,0,2,1.1,93.994,-36.4,4.859,5191.0,0
27,1,2,4,3,1,1,1,7,4,84,3,999,0,2,1.4,93.918,-42.7,4.968,5228.1,0
37,5,1,7,1,2,1,1,5,1,176,1,999,0,2,-1.8,92.893,-46.2,1.244,5099.1,0
34,10,2,7,1,2,1,1,11,3,686,1,999,0,2,-0.1,93.2,-42.0,4.12,5195.8,1
48,10,3,8,3,1,1,2,5,4,257,7,999,0,2,1.1,93.994,-36.4,4.86,5191.0,0
46,4,1,2,1,2,1,2,6,2,143,8,999,0,2,1.4,94.465,-41.8,4.864,5228.1,0
48,2,2,1,1,1,2,2,6,2,291,1,999,0,2,1.4,94.465,-41.8,4.864,5228.1,0
38,1,2,7,1,2,1,1,8,2,35,6,999,0,2,1.4,93.444,-36.1,4.965,5228.1,0
41,2,1,3,1,2,1,1,5,4,102,1,999,0,2,-1.8,92.893,-46.2,1.327,5099.1,0
37,5,2,7,1,2,1,1,7,5,292,1,6,1,3,-1.7,94.215,-40.3,0.8959999999999999,4991.6,1
27,10,3,6,1,1,1,2,5,2,148,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
33,1,2,7,1,2,1,2,5,4,139,2,999,0,2,1.1,93.994,-36.4,4.86,5191.0,0
56,2,2,3,3,1,1,2,6,5,143,2,999,0,2,1.4,94.465,-41.8,4.967,5228.1,0
34,2,2,3,1,2,1,1,7,3,487,5,999,0,2,1.4,93.918,-42.7,4.963,5228.1,0
52,2,2,3,1,1,1,1,8,5,809,1,999,0,2,1.4,93.444,-36.1,4.966,5228.1,1
32,5,1,7,1,1,1,1,5,2,342,3,999,0,2,-1.8,92.893,-46.2,1.344,5099.1,0
50,1,2,3,1,1,1,1,8,4,84,1,999,0,2,1.4,93.444,-36.1,4.968,5228.1,0
39,10,1,4,1,1,1,1,3,1,222,1,12,2,3,-1.8,93.369,-34.8,0.639,5008.7,1
33,1,3,7,1,2,2,1,8,2,275,6,999,0,2,1.4,93.444,-36.1,4.963,5228.1,0
50,2,2,2,1,2,1,1,5,1,293,3,3,1,3,-1.8,92.893,-46.2,1.354,5099.1,1
45,7,1,7,1,1,2,1,5,5,133,1,999,0,2,-1.8,92.893,-46.2,1.25,5099.1,0
25,8,2,4,1,2,1,1,7,5,164,1,999,0,2,1.4,93.918,-42.7,4.957,5228.1,0
28,2,2,2,3,1,1,2,6,2,151,7,999,0,2,1.4,94.465,-41.8,4.864,5228.1,0
44,1,2,4,1,2,1,1,8,5,111,1,999,0,2,1.4,93.444,-36.1,4.964,5228.1,0
55,3,2,6,1,2,2,1,10,1,233,1,999,2,1,-3.4,92.431,-26.9,0.7390000000000001,5017.5,0
33,1,3,7,1,2,1,1,8,4,686,4,999,0,2,1.4,93.444,-36.1,4.963,5228.1,1
35,8,2,6,1,2,1,1,4,4,218,2,6,1,3,-1.8,93.749,-34.6,0.644,5008.7,1
50,1,2,7,1,1,1,1,11,5,206,1,999,0,2,-0.1,93.2,-42.0,4.021,5195.8,0
35,1,3,7,1,1,1,1,8,1,167,2,999,0,2,1.4,93.444,-36.1,4.97,5228.1,0
76,6,2,7,1,1,1,1,8,4,126,1,999,1,1,-1.7,94.027,-38.3,0.899,4991.6,0
33,1,3,7,1,2,2,2,4,3,117,1,999,0,2,-1.8,93.075,-47.1,1.415,5099.1,0
38,1,2,7,1,2,1,1,11,2,64,1,3,3,3,-3.4,92.649,-30.1,0.715,5017.5,1
29,1,3,7,1,1,1,1,8,4,139,1,999,0,2,1.4,93.444,-36.1,4.963,5228.1,0
45,1,3,7,1,1,1,1,8,4,505,1,999,0,2,1.4,93.444,-36.1,4.964,5228.1,1
31,1,2,7,1,2,1,1,8,4,113,1,999,0,2,1.4,93.444,-36.1,4.964,5228.1,0
46,5,2,7,1,2,1,1,11,4,205,6,999,0,2,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0
44,1,2,7,1,2,1,1,5,2,201,1,999,0,2,-1.8,92.893,-46.2,1.344,5099.1,0
26,9,3,4,1,2,1,1,5,1,113,2,999,0,2,-1.8,92.893,-46.2,1.244,5099.1,0
43,5,2,6,1,1,1,1,11,2,257,2,999,0,2,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0
57,6,2,3,1,1,1,1,8,2,388,4,999,0,2,1.4,93.444,-36.1,4.965,5228.1,1
46,5,2,7,1,1,2,1,7,5,153,2,999,0,2,1.4,93.918,-42.7,4.962,5228.1,0
47,5,2,1,3,1,1,2,5,5,190,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
32,1,3,4,1,1,1,1,11,1,74,2,999,2,1,-1.1,94.767,-50.8,1.048,4963.6,0
30,10,2,7,1,2,1,2,7,3,31,2,999,0,2,1.4,93.918,-42.7,4.963,5228.1,0
30,8,2,4,1,1,1,2,6,1,151,3,999,0,2,1.4,94.465,-41.8,4.865,5228.1,0
56,5,2,3,1,2,1,2,6,2,941,3,999,0,2,1.4,94.465,-41.8,4.864,5228.1,1
39,1,2,7,1,2,1,1,8,4,217,3,999,0,2,1.4,93.444,-36.1,4.968,5228.1,0
40,2,2,3,1,2,1,1,7,2,107,4,999,0,2,1.4,93.918,-42.7,4.961,5228.1,0
31,2,3,4,1,2,1,1,5,4,361,1,999,0,2,-1.8,92.893,-46.2,1.327,5099.1,0
41,3,1,6,1,2,1,1,7,4,72,1,999,0,2,1.4,93.918,-42.7,4.963,5228.1,0
24,9,3,4,3,1,1,1,7,2,86,1,999,0,2,1.4,93.918,-42.7,4.962,5228.1,0
37,1,2,4,1,2,1,2,5,1,166,4,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
29,1,3,3,1,1,1,1,5,1,79,2,999,0,2,-1.8,92.893,-46.2,1.2990000000000002,5099.1,0
23,1,3,7,1,2,2,2,7,1,69,3,999,0,2,1.4,93.918,-42.7,4.96,5228.1,0
30,3,2,4,1,2,1,1,11,3,164,3,999,0,2,-0.1,93.2,-42.0,4.12,5195.8,0
51,10,2,8,1,2,1,2,6,5,17,3,999,0,2,1.4,94.465,-41.8,4.959,5228.1,0
39,10,2,6,1,3,3,2,5,3,575,2,999,0,2,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
49,10,1,4,1,2,1,1,7,4,388,1,999,0,2,1.4,93.918,-42.7,4.958,5228.1,0
31,5,2,7,1,2,1,1,8,3,181,2,999,0,2,1.4,93.444,-36.1,4.964,5228.1,0
30,2,3,8,1,2,2,2,5,1,408,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
43,1,2,6,1,2,1,2,6,4,193,2,999,0,2,1.4,94.465,-41.8,4.8660000000000005,5228.1,0
59,6,2,6,3,2,1,2,6,3,59,8,999,0,2,1.4,94.465,-41.8,4.959,5228.1,0
29,9,3,8,1,1,1,2,5,1,1143,4,999,0,2,-1.8,92.893,-46.2,1.2990000000000002,5099.1,0
56,2,2,1,3,2,1,1,7,2,335,2,999,0,2,1.4,93.918,-42.7,4.961,5228.1,0
36,1,2,4,1,1,1,2,5,4,263,3,999,0,2,1.1,93.994,-36.4,4.86,5191.0,0
26,9,3,3,1,2,1,1,3,1,1447,2,999,0,2,-1.8,92.843,-50.0,1.811,5099.1,1
52,2,1,8,1,1,1,1,7,2,111,8,999,0,2,1.4,93.918,-42.7,4.961,5228.1,0
44,1,2,4,1,1,1,2,5,3,83,3,999,0,2,1.1,93.994,-36.4,4.856,5191.0,0
32,1,2,4,1,1,1,1,8,5,52,8,999,0,2,1.4,93.444,-36.1,4.966,5228.1,0
29,5,2,7,1,1,2,1,8,3,181,2,999,0,2,1.4,93.444,-36.1,4.967,5228.1,0
58,2,2,6,1,1,1,2,6,5,15,12,999,0,2,1.4,94.465,-41.8,4.959,5228.1,0
54,10,2,7,3,1,1,2,6,4,322,2,999,0,2,1.4,94.465,-41.8,4.958,5228.1,0
33,3,2,3,3,1,1,2,5,2,82,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
38,2,2,2,1,2,1,2,7,4,389,2,999,0,2,1.4,93.918,-42.7,4.966,5228.1,0
37,5,2,7,1,2,1,1,11,4,252,1,999,0,2,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0
48,1,2,7,1,2,2,1,7,5,154,2,999,0,2,1.4,93.918,-42.7,4.963,5228.1,0
36,4,2,1,1,3,3,1,8,2,23,14,999,0,2,1.4,93.444,-36.1,4.965,5228.1,0
41,10,2,6,1,2,1,1,8,1,984,1,999,0,2,1.4,93.444,-36.1,4.963,5228.1,0
31,1,3,7,1,2,1,2,6,3,357,2,999,0,2,1.4,94.465,-41.8,4.864,5228.1,0
54,10,1,6,1,2,2,1,7,2,797,14,999,0,2,1.4,93.918,-42.7,4.961,5228.1,0
27,1,3,4,1,1,1,2,4,4,198,3,999,0,2,-1.8,93.075,-47.1,1.41,5099.1,0
34,10,2,3,1,1,1,1,5,1,103,1,999,0,2,-1.8,92.893,-46.2,1.2990000000000002,5099.1,0
38,2,2,3,1,1,1,1,5,3,204,1,11,1,3,-1.8,92.893,-46.2,1.281,5099.1,0
43,2,2,8,1,2,1,1,5,2,128,7,999,0,2,-1.8,92.893,-46.2,1.291,5099.1,0
38,1,1,7,1,1,1,1,4,1,360,1,999,0,2,-1.8,93.075,-47.1,1.392,5099.1,1
32,8,3,4,1,3,3,1,5,3,363,1,999,1,1,-1.8,92.893,-46.2,1.281,5099.1,0
43,2,3,1,3,1,1,2,5,3,339,3,999,0,2,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
