,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Label
239,b,38.17,10.125,u,g,x,v,2.5,t,t,6,f,g,520,196,+
180,b,47.67,0.29,u,g,c,bb,15.0,t,t,20,f,g,0,15000,+
78,b,21.67,1.165,y,p,k,v,2.5,t,t,1,f,g,180,20,-
271,b,32.33,2.5,u,g,c,v,1.25,f,f,0,t,g,280,0,-
83,a,?,3.5,u,g,d,v,3.0,t,f,0,t,g,300,0,-
73,b,44.25,0.5,u,g,m,v,10.75,t,f,0,f,s,400,0,-
471,b,21.08,4.125,y,p,i,h,0.04,f,f,0,f,g,140,100,-
629,a,19.58,0.665,u,g,w,v,1.665,f,f,0,f,g,220,5,-
272,b,18.08,6.75,y,p,m,v,0.04,f,f,0,f,g,140,0,-
523,a,22.5,8.5,u,g,q,v,1.75,t,t,10,f,g,80,990,-
322,a,33.67,0.375,u,g,cc,v,0.375,f,f,0,f,g,300,44,+
606,b,16.17,0.04,u,g,c,v,0.04,f,f,0,f,g,0,0,+
160,b,27.67,2.0,u,g,x,h,1.0,t,t,4,f,g,140,7544,+
502,a,64.08,0.165,u,g,ff,ff,0.0,t,t,1,f,g,232,100,+
602,b,29.83,1.25,y,p,k,v,0.25,f,f,0,f,g,224,0,-
684,b,40.58,3.29,u,g,m,v,3.5,f,f,0,t,s,400,0,-
650,b,48.08,3.75,u,g,i,bb,1.0,f,f,0,f,g,100,2,-
394,b,41.17,1.25,y,p,w,v,0.25,f,f,0,f,g,0,195,-
627,b,36.08,2.54,u,g,ff,ff,0.0,f,f,0,f,g,0,1000,-
416,b,22.5,0.125,y,p,k,v,0.125,f,f,0,f,g,200,70,-
249,b,21.83,11.0,u,g,x,v,0.29,t,t,6,f,g,121,0,+
460,a,24.5,2.415,y,p,c,v,0.0,f,f,0,f,g,120,0,-
136,b,39.92,0.54,y,p,aa,v,0.5,t,t,3,f,g,200,1000,+
409,b,17.08,0.25,u,g,q,v,0.335,f,t,4,f,g,160,8,-
35,b,27.83,1.5,u,g,w,v,2.0,t,t,11,t,g,434,35,+
188,a,28.67,1.04,u,g,c,v,2.5,t,t,5,t,g,300,1430,+
241,b,48.25,25.085,u,g,w,v,1.75,t,t,3,f,g,120,14,+
327,?,40.83,3.5,u,g,i,bb,0.5,f,f,0,f,s,1160,0,-
396,b,29.83,2.04,y,p,x,h,0.04,f,f,0,f,g,128,1,-
633,b,32.42,2.165,y,p,k,ff,0.0,f,f,0,f,g,120,0,-
653,b,21.5,11.5,u,g,i,v,0.5,t,f,0,t,g,100,68,-
638,b,28.58,3.625,u,g,aa,v,0.25,f,f,0,t,g,100,0,-
131,b,20.42,1.835,u,g,c,v,2.25,t,t,1,f,g,100,150,+
661,b,29.83,3.5,u,g,c,v,0.165,f,f,0,f,g,216,0,-
468,b,22.08,2.335,u,g,k,v,0.75,f,f,0,f,g,180,0,-
582,b,48.5,4.25,u,g,m,v,0.125,t,f,0,t,g,225,0,+
199,b,22.58,10.04,u,g,x,v,0.04,t,t,9,f,g,60,396,+
368,a,23.58,11.5,y,p,k,h,3.0,f,f,0,t,g,20,16,-
220,a,50.08,12.54,u,g,aa,v,2.29,t,t,3,t,g,156,0,+
203,a,20.75,10.25,u,g,q,v,0.71,t,t,2,t,g,49,0,+
367,b,39.42,1.71,y,p,m,v,0.165,f,f,0,f,s,400,0,-
332,b,34.08,2.5,u,g,c,v,1.0,f,f,0,f,g,460,16,-
644,b,36.17,0.42,y,p,w,v,0.29,f,f,0,t,g,309,2,-
187,b,40.58,5.0,u,g,c,v,5.0,t,t,7,f,g,0,3065,+
325,a,29.5,1.085,y,p,x,v,1.0,f,f,0,f,g,280,13,-
122,a,24.75,12.5,u,g,aa,v,1.5,t,t,12,t,g,120,567,+
612,b,22,0.79,u,g,w,v,0.29,f,t,1,f,g,420,283,-
319,b,36.75,0.125,y,p,c,v,1.5,f,f,0,t,g,232,113,+
450,b,?,3.0,y,p,i,bb,7.0,f,f,0,f,g,0,1,-
547,b,23.92,1.5,u,g,d,h,1.875,t,t,6,f,g,200,327,+
657,a,38.92,1.665,u,g,aa,v,0.25,f,f,0,f,g,0,390,-
493,a,20.5,11.835,u,g,c,h,6.0,t,f,0,f,g,340,0,+
556,b,29.58,4.5,u,g,w,v,7.5,t,t,2,t,g,330,0,+
253,b,23.17,11.125,u,g,x,h,0.46,t,t,1,f,g,100,0,+
575,b,32.25,0.165,y,p,c,h,3.25,t,t,1,t,g,432,8000,+
651,a,15.83,7.625,u,g,q,v,0.125,f,t,1,t,g,0,160,-
124,a,23.5,9.0,u,g,q,v,8.5,t,t,5,t,g,120,0,+
163,b,32,1.75,y,p,e,h,0.04,t,f,0,t,g,393,0,+
622,a,25.58,0.0,?,?,?,?,0.0,f,f,0,f,p,?,0,+
31,b,42,9.79,u,g,x,h,7.96,t,t,8,f,g,0,0,+
339,b,28,3.0,u,g,w,v,0.75,f,f,0,t,g,300,67,-
27,b,56.58,18.5,u,g,d,bb,15.0,t,t,17,t,g,0,0,+
455,b,36.17,18.125,u,g,w,v,0.085,f,f,0,f,g,320,3552,-
485,b,74.83,19.0,y,p,ff,ff,0.04,f,t,2,f,g,0,351,-
1,a,58.67,4.46,u,g,q,h,3.04,t,t,6,f,g,43,560,+
659,a,28.58,3.75,u,g,c,v,0.25,f,t,1,t,g,40,154,-
32,b,49.5,7.585,u,g,i,bb,7.585,t,t,15,t,g,0,5000,+
604,b,23.42,0.585,u,g,c,h,0.085,t,f,0,f,g,180,0,-
112,b,24.58,12.5,u,g,w,v,0.875,t,f,0,t,g,260,0,-
71,b,34.83,4.0,u,g,d,bb,12.5,t,f,0,t,g,?,0,-
683,b,36.42,0.75,y,p,d,v,0.585,f,f,0,f,g,240,3,-
192,b,41.75,0.96,u,g,x,v,2.5,t,f,0,f,g,510,600,+
539,b,80.25,5.5,u,g,?,?,0.54,t,f,0,f,g,0,340,-
206,a,71.58,0.0,?,?,?,?,0.0,f,f,0,f,p,?,0,+
619,b,18.42,10.415,y,p,aa,v,0.125,t,f,0,f,g,120,375,-
513,b,20.25,9.96,u,g,e,dd,0.0,t,f,0,f,g,0,0,+
88,b,34,4.5,u,g,aa,v,1.0,t,f,0,t,g,240,0,-
169,b,37.5,1.125,y,p,d,v,1.5,f,f,0,t,g,431,0,+
304,a,24.75,13.665,u,g,q,h,1.5,f,f,0,f,g,280,1,-
76,b,34.08,6.5,u,g,aa,v,0.125,t,f,0,t,g,443,0,-
147,a,40.33,7.54,y,p,q,h,8.0,t,t,14,f,g,0,2300,+
642,b,31.58,0.75,y,p,aa,v,3.5,f,f,0,t,g,320,0,-
210,b,39.33,5.875,u,g,cc,h,10.0,t,t,14,t,g,399,0,+
444,a,17.67,0.0,y,p,j,ff,0.0,f,f,0,f,g,86,0,-
430,b,51.83,3.0,y,p,ff,ff,1.5,f,f,0,f,g,180,4,-
536,a,24.92,1.25,u,g,ff,ff,0.0,t,f,0,f,g,80,0,-
581,b,41,0.04,u,g,e,v,0.04,f,t,1,f,s,560,0,+
646,a,20.83,8.5,u,g,c,v,0.165,f,f,0,f,g,0,351,-
408,b,16,3.125,u,g,w,v,0.085,f,t,1,f,g,0,6,-
454,b,52.42,1.5,u,g,d,v,3.75,f,f,0,t,g,0,350,-
628,b,29.25,13.0,u,g,d,h,0.5,f,f,0,f,g,228,0,-
634,a,23.75,0.71,u,g,w,v,0.25,f,t,1,t,g,240,4,-
86,b,?,0.375,u,g,d,v,0.875,t,f,0,t,s,928,0,-
93,b,52.33,1.375,y,p,c,h,9.46,t,f,0,t,g,200,100,-
107,a,25,11.0,y,p,aa,v,4.5,t,f,0,f,g,120,0,-
375,a,20.83,0.5,y,p,e,dd,1.0,f,f,0,f,g,260,0,-
477,b,39.17,2.5,y,p,i,h,10.0,f,f,0,t,s,200,0,-
244,b,18.5,2.0,u,g,i,v,1.5,t,t,2,f,g,120,300,+
5,b,32.08,4.0,u,g,m,v,2.5,t,f,0,t,g,360,0,+
157,a,68.67,15.0,u,g,e,z,0.0,t,t,14,f,g,0,3376,+
370,b,33,2.5,y,p,w,v,7.0,f,f,0,t,g,280,0,-
636,b,40.92,0.5,y,p,m,v,0.5,f,f,0,t,g,130,0,-
425,b,24.58,1.25,u,g,c,v,0.25,f,f,0,f,g,110,0,-
505,b,31.33,19.5,u,g,c,v,7.0,t,t,16,f,g,0,5000,+
90,b,62.5,12.75,y,p,c,h,5.0,t,f,0,f,g,112,0,-
630,a,22.92,1.25,u,g,q,v,0.25,f,f,0,t,g,120,809,-
429,b,33.58,0.335,y,p,cc,v,0.085,f,f,0,f,g,180,0,-
161,b,44,2.0,u,g,m,v,1.75,t,t,2,t,g,0,15,+
541,b,42.75,3.0,u,g,i,bb,1.0,t,f,0,f,g,0,200,-
266,b,18.33,1.21,y,p,e,dd,0.0,f,f,0,f,g,100,0,-
517,b,16.08,0.75,u,g,c,v,1.75,t,t,5,t,g,352,690,+
201,a,41.33,1.0,u,g,i,bb,2.25,t,f,0,t,g,0,300,+
0,b,30.83,0.0,u,g,w,v,1.25,t,t,1,f,g,202,0,+
44,b,56.42,28.0,y,p,c,v,28.5,t,t,40,f,g,0,15,+
678,a,17.92,10.21,u,g,ff,ff,0.0,f,f,0,f,g,0,50,-
663,b,32.08,4.0,y,p,cc,v,1.5,f,f,0,t,g,120,0,-
286,a,?,1.5,u,g,ff,ff,0.0,f,t,2,t,g,200,105,-
56,b,23.17,0.0,u,g,cc,v,0.085,t,f,0,f,g,0,0,+
95,a,28.58,3.54,u,g,i,bb,0.5,t,f,0,t,g,171,0,-
282,b,17.67,4.46,u,g,c,v,0.25,f,f,0,f,s,80,0,-
600,a,29.5,0.46,u,g,k,v,0.54,t,t,4,f,g,380,500,+
648,b,25.58,0.335,u,g,k,h,3.5,f,f,0,t,g,340,0,-
422,b,29.42,1.25,u,g,w,v,1.75,f,f,0,f,g,200,0,-
496,a,25,0.875,u,g,x,h,1.04,t,f,0,t,g,160,5860,+
584,a,28.08,15.0,y,p,e,z,0.0,t,f,0,f,g,0,13212,+
230,b,25.17,3.5,u,g,cc,v,0.625,t,t,7,f,g,0,7059,+
229,b,22.08,11.0,u,g,cc,v,0.665,t,f,0,f,g,100,0,+
655,a,21.08,5.0,y,p,ff,ff,0.0,f,f,0,f,g,0,0,-
64,b,26.67,4.25,u,g,cc,v,4.29,t,t,1,t,g,120,0,+
667,a,17.92,0.54,u,g,c,v,1.75,f,t,1,t,g,80,5,-
12,a,38.25,6.0,u,g,k,v,1.0,t,f,0,t,g,0,0,+
571,b,21,3.0,y,p,d,v,1.085,t,t,8,t,g,160,1,+
410,b,31.25,2.835,u,g,ff,ff,0.0,f,t,5,f,g,176,146,-
388,b,26.67,14.585,u,g,i,bb,0.0,f,f,0,t,g,178,0,-
128,b,34.42,4.25,u,g,i,bb,3.25,t,t,2,f,g,274,610,+
293,b,35.75,2.415,u,g,w,v,0.125,f,t,2,f,g,220,1,-
146,b,23.25,1.5,u,g,q,v,2.375,t,t,3,t,g,0,582,+
632,a,38.75,1.5,u,g,ff,ff,0.0,f,f,0,f,g,76,0,-
489,?,45.33,1.0,u,g,q,v,0.125,f,f,0,t,g,263,0,-
318,b,19.17,0.0,y,p,m,bb,0.0,f,f,0,t,s,500,1,+
335,b,27.67,0.75,u,g,q,h,0.165,f,f,0,t,g,220,251,-
337,a,34.83,1.25,y,p,i,h,0.5,f,f,0,t,g,160,0,-
431,b,22.92,3.165,y,p,c,v,0.165,f,f,0,f,g,160,1058,-
287,b,29.5,0.58,u,g,w,v,0.29,f,t,1,f,g,340,2803,-
261,a,52.17,0.0,y,p,ff,ff,0.0,f,f,0,f,g,0,0,-
191,b,42,0.205,u,g,i,h,5.125,t,f,0,f,g,400,0,+
20,b,25,11.25,u,g,c,v,2.5,t,t,17,f,g,200,1208,+
679,a,20.08,1.25,u,g,c,v,0.0,f,f,0,f,g,0,0,-
567,a,25.17,2.875,u,g,x,h,0.875,t,f,0,f,g,360,0,+
176,b,25,12.5,u,g,aa,v,3.0,t,f,0,t,s,20,0,+
519,b,39.17,1.71,u,g,x,v,0.125,t,t,5,t,g,480,0,+
551,b,51.33,10.0,u,g,i,bb,0.0,t,t,11,f,g,0,1249,+
195,b,28.25,5.04,y,p,c,bb,1.5,t,t,8,t,g,144,7,+
500,b,?,4.0,u,g,x,v,5.0,t,t,3,t,g,290,2279,+
418,b,38.42,0.705,u,g,c,v,0.375,f,t,2,f,g,225,500,-
117,b,52.5,6.5,u,g,k,v,6.29,t,t,15,f,g,0,11202,+
155,a,21.67,11.5,y,p,j,j,0.0,t,t,11,t,g,0,0,+
200,a,24.08,0.5,u,g,q,h,1.25,t,t,1,f,g,0,678,+
217,b,55.92,11.5,u,g,ff,ff,5.0,t,t,5,f,g,0,8851,+
548,b,33.17,1.0,u,g,x,v,0.75,t,t,7,t,g,340,4071,+
172,b,56,12.5,u,g,k,h,8.0,t,f,0,t,g,24,2028,+
238,b,42.83,4.625,u,g,q,v,4.58,t,f,0,f,s,0,0,+
386,b,22.58,1.5,y,p,aa,v,0.54,f,f,0,t,g,120,67,-
15,b,36.67,4.415,y,p,k,v,0.25,t,t,10,t,g,320,0,+
7,a,22.92,11.585,u,g,cc,v,0.04,t,f,0,f,g,80,1349,+
345,b,62.75,7.0,u,g,e,z,0.0,f,f,0,f,g,0,12,-
89,a,49,1.5,u,g,j,j,0.0,t,f,0,t,g,100,27,-
601,?,42.25,1.75,y,p,?,?,0.0,f,f,0,t,g,150,1,-
366,a,22.75,6.165,u,g,aa,v,0.165,f,f,0,f,g,220,1000,-
573,a,65.17,14.0,u,g,ff,ff,0.0,t,t,11,t,g,0,1400,+
141,a,56.5,16.0,u,g,j,ff,0.0,t,t,15,f,g,0,247,+
356,b,41.17,1.335,u,g,d,v,0.165,f,f,0,f,g,168,0,-
179,b,20.17,8.17,u,g,aa,v,1.96,t,t,14,f,g,60,158,+
343,b,33.75,2.75,u,g,i,bb,0.0,f,f,0,f,g,180,0,-
443,b,17.25,3.0,u,g,k,v,0.04,f,f,0,t,g,160,40,-
125,b,34.92,5.0,u,g,x,h,7.5,t,t,6,t,g,0,1000,+
389,b,22.92,0.17,u,g,m,v,0.085,f,f,0,f,s,0,0,-
563,b,24.42,12.335,u,g,q,h,1.585,t,f,0,t,g,120,0,+
302,b,23.42,1.0,u,g,c,v,0.5,f,f,0,t,s,280,0,-
69,b,35.17,25.125,u,g,x,h,1.625,t,t,1,t,g,515,500,+
270,b,37.58,0.0,?,?,?,?,0.0,f,f,0,f,p,?,0,+
183,a,57.08,19.5,u,g,c,v,5.5,t,t,7,f,g,0,3000,+
290,b,23,0.75,u,g,m,v,0.5,f,f,0,t,s,320,0,-
580,b,31.67,0.83,u,g,x,v,1.335,t,t,8,t,g,303,3290,+
186,b,40,6.5,u,g,aa,bb,3.5,t,t,1,f,g,0,500,+
520,?,20.42,7.5,u,g,k,v,1.5,t,t,1,f,g,160,234,+
365,b,42.83,1.25,u,g,m,v,13.875,f,t,1,t,g,352,112,-
591,b,27,0.75,u,g,c,h,4.25,t,t,3,t,g,312,150,+
130,b,67.75,5.5,u,g,e,z,13.0,t,t,1,t,g,0,0,+
467,a,30.42,1.375,u,g,w,h,0.04,f,t,3,f,g,0,33,-
462,b,21.92,0.5,u,g,c,v,0.125,f,f,0,f,g,360,0,-
321,a,18.08,0.375,l,gg,cc,ff,10.0,f,f,0,t,s,300,0,+
189,a,33.08,4.625,u,g,q,h,1.625,t,t,2,f,g,0,0,+
381,a,22.67,7.0,u,g,c,v,0.165,f,f,0,f,g,160,0,-
382,a,24.33,2.5,y,p,i,bb,4.5,f,f,0,f,g,200,456,-
680,b,19.5,0.29,u,g,k,v,0.29,f,f,0,f,g,280,364,-
336,b,47.33,6.5,u,g,c,v,1.0,f,f,0,t,g,0,228,-
174,b,22.67,10.5,u,g,q,h,1.335,t,f,0,f,g,100,0,+
385,b,34,5.5,y,p,c,v,1.5,f,f,0,t,g,60,0,-
377,b,20.67,0.835,y,p,c,v,2.0,f,f,0,t,s,240,0,-
509,b,21,4.79,y,p,w,v,2.25,t,t,1,t,g,80,300,+
159,b,34.08,0.08,y,p,m,bb,0.04,t,t,1,t,g,280,2000,+
259,a,24.5,1.75,y,p,c,v,0.165,f,f,0,f,g,132,0,-
68,b,19.42,6.5,u,g,w,h,1.46,t,t,7,f,g,80,2954,+
23,a,27.42,14.5,u,g,x,h,3.085,t,t,1,f,g,120,11,+
102,b,18.67,5.0,u,g,q,v,0.375,t,t,2,f,g,0,38,-
578,b,39.17,1.625,u,g,c,v,1.5,t,t,10,f,g,186,4700,+
2,a,24.5,0.5,u,g,q,h,1.5,t,f,0,f,g,280,824,+
240,b,20.5,10.0,y,p,c,v,2.5,t,f,0,f,s,40,0,+
255,b,18.17,10.25,u,g,c,h,1.085,f,f,0,f,g,320,13,-
59,b,43.25,3.0,u,g,q,h,6.0,t,t,11,f,g,80,0,+
550,b,76.75,22.29,u,g,e,z,12.75,t,t,1,t,g,0,109,+
46,a,41,2.04,y,p,q,h,0.125,t,t,23,t,g,455,1236,+
265,b,17.08,0.085,y,p,c,v,0.04,f,f,0,f,g,140,722,-
480,a,16.92,0.5,u,g,i,v,0.165,f,t,6,t,g,240,35,-
127,b,22.75,11.0,u,g,q,v,2.5,t,t,7,t,g,100,809,+
37,a,23,11.75,u,g,x,h,0.5,t,t,2,t,g,300,551,+
586,b,64.08,20.0,u,g,x,h,17.5,t,t,9,t,g,0,1000,+
269,b,18,0.165,u,g,q,n,0.21,f,f,0,f,g,200,40,+
614,a,38.33,4.415,u,g,c,v,0.125,f,f,0,f,g,160,0,-
534,b,31.83,2.5,u,g,aa,v,7.5,t,f,0,t,g,523,0,-
436,b,19.58,0.585,u,g,ff,ff,0.0,f,t,3,f,g,350,769,-
451,b,39.5,1.625,u,g,c,v,1.5,f,f,0,f,g,0,316,-
656,b,25.67,3.25,u,g,c,h,2.29,f,t,1,t,g,416,21,-
437,a,53.33,0.165,u,g,ff,ff,0.0,f,f,0,t,s,62,27,-
585,b,73.42,17.75,u,g,ff,ff,0.0,t,f,0,t,g,0,0,+
569,a,35.75,0.915,u,g,aa,v,0.75,t,t,4,f,g,0,1583,+
369,b,21.42,0.75,y,p,r,n,0.75,f,f,0,t,g,132,2,-
470,a,21.92,11.665,u,g,k,h,0.085,f,f,0,f,g,320,5,-
403,a,22.67,0.335,u,g,q,v,0.75,f,f,0,f,s,160,0,-
474,b,20.67,0.415,u,g,c,v,0.125,f,f,0,f,g,0,44,-
635,b,18.17,2.46,u,g,c,n,0.96,f,t,2,t,g,160,587,-
371,b,26.33,13.0,u,g,e,dd,0.0,f,f,0,t,g,140,1110,-
538,b,34.25,1.75,u,g,w,bb,0.25,t,f,0,t,g,163,0,-
139,a,26.92,13.5,u,g,q,h,5.0,t,t,2,f,g,0,5000,+
245,b,33.17,3.04,y,p,c,h,2.04,t,t,1,t,g,180,18027,+
334,b,34.75,2.5,u,g,cc,bb,0.5,f,f,0,f,g,348,0,-
224,a,37.75,5.5,u,g,q,v,0.125,t,f,0,t,g,228,0,+
178,a,18.42,9.25,u,g,q,v,1.21,t,t,4,f,g,60,540,+
533,b,40.92,0.835,u,g,ff,ff,0.0,t,f,0,f,g,130,1,-
242,b,28.33,5.0,u,g,w,v,11.0,t,f,0,t,g,70,0,+
250,b,40.25,21.5,u,g,e,z,20.0,t,t,11,f,g,0,1200,+
61,b,31.67,16.165,u,g,d,v,3.0,t,t,9,f,g,250,730,+
278,b,24.58,13.5,y,p,ff,ff,0.0,f,f,0,f,g,?,0,-
380,b,43.17,5.0,u,g,i,bb,2.25,f,f,0,t,g,141,0,-
595,b,25.75,0.75,u,g,c,bb,0.25,t,f,0,f,g,349,23,+
363,b,16.92,0.335,y,p,k,v,0.29,f,f,0,f,s,200,0,-
670,b,47.17,5.835,u,g,w,v,5.5,f,f,0,f,g,465,150,-
346,?,32.25,1.5,u,g,c,v,0.25,f,f,0,t,g,372,122,-
457,b,29.67,0.75,y,p,c,v,0.04,f,f,0,f,g,240,0,-
392,b,27.42,12.5,u,g,aa,bb,0.25,f,f,0,t,g,720,0,-
620,b,22.17,2.25,u,g,i,v,0.125,f,f,0,f,g,160,10,-
453,?,29.75,0.665,u,g,w,v,0.25,f,f,0,t,g,300,0,-
252,a,17.83,11.0,u,g,x,h,1.0,t,t,11,f,g,0,3000,+
494,a,18.83,4.415,y,p,c,h,3.0,t,f,0,f,g,240,0,+
58,b,35.17,4.5,u,g,x,h,5.75,f,f,0,t,s,711,0,+
675,a,41.58,1.04,u,g,aa,v,0.665,f,f,0,f,g,240,237,-
109,a,19.75,0.75,u,g,c,v,0.795,t,t,5,t,g,140,5,-
681,b,27.83,1.0,y,p,d,h,3.0,f,f,0,f,g,176,537,-
484,b,34.67,1.08,u,g,m,v,1.165,f,f,0,f,s,28,0,-
413,b,40.58,1.5,u,g,i,bb,0.0,f,f,0,f,s,300,0,-
279,b,16.25,0.835,u,g,m,v,0.085,t,f,0,f,s,200,0,-
576,b,30.17,0.5,u,g,c,v,1.75,t,t,11,f,g,32,540,+
219,a,18.92,9.25,y,p,c,v,1.0,t,t,4,t,g,80,500,+
148,a,30.5,6.5,u,g,c,bb,4.0,t,t,7,t,g,0,3065,+
144,b,27.25,1.665,u,g,cc,h,5.085,t,t,9,f,g,399,827,+
284,b,23.25,12.625,u,g,c,v,0.125,f,t,2,f,g,0,5552,-
347,b,26.75,4.5,y,p,c,bb,2.5,f,f,0,f,g,200,1210,-
472,b,17.42,6.5,u,g,i,v,0.125,f,f,0,f,g,60,100,-
208,b,35.17,2.5,u,g,k,v,4.5,t,t,7,f,g,150,1270,+
476,b,23.58,0.835,u,g,i,h,0.085,f,f,0,t,g,220,5,-
660,b,22.25,9.0,u,g,aa,v,0.085,f,f,0,f,g,0,0,-
572,b,21.92,0.54,y,p,x,v,0.04,t,t,1,t,g,840,59,+
397,a,23.58,0.585,y,p,ff,ff,0.125,f,f,0,f,g,120,87,-
490,a,47.25,0.75,u,g,q,h,2.75,t,t,1,f,g,333,892,+
55,b,23.33,11.625,y,p,w,v,0.835,t,f,0,t,g,160,300,+
359,a,36.75,4.71,u,g,ff,ff,0.0,f,f,0,f,g,160,0,-
361,b,23.08,2.5,u,g,ff,ff,0.085,f,f,0,t,g,100,4208,-
428,b,49.17,2.29,u,g,ff,ff,0.29,f,f,0,f,g,200,3,-
501,b,39,5.0,u,g,cc,v,3.5,t,t,10,t,g,0,0,+
106,b,28.75,1.165,u,g,k,v,0.5,t,f,0,f,s,280,0,-
498,b,25.75,0.5,u,g,c,v,1.46,t,t,5,t,g,312,0,+
323,b,48.58,0.205,y,p,k,v,0.25,t,t,11,f,g,380,2732,+
603,b,20.08,0.25,u,g,q,v,0.125,f,f,0,f,g,200,0,-
607,b,32.33,3.5,u,g,k,v,0.5,f,f,0,t,g,232,0,-
524,a,28.58,1.665,u,g,q,v,2.415,t,f,0,t,g,440,0,-
317,b,17.5,22.0,l,gg,ff,o,0.0,f,f,0,t,p,450,100000,+
553,b,38.58,3.335,u,g,w,v,4.0,t,t,14,f,g,383,1344,+
676,a,30.58,10.665,u,g,q,h,0.085,f,t,12,t,g,129,3,-
525,b,45.17,1.5,u,g,c,v,2.5,t,f,0,t,g,140,0,-
516,a,60.92,5.0,u,g,aa,v,4.0,t,t,4,f,g,0,99,+
294,a,16.08,0.335,u,g,ff,ff,0.0,f,t,1,f,g,160,126,-
666,a,21.75,11.75,u,g,c,v,0.25,f,f,0,t,g,180,0,-
194,b,34.5,4.04,y,p,i,bb,8.5,t,t,7,t,g,195,0,+
353,b,30.75,1.585,u,g,d,v,0.585,f,f,0,t,s,0,0,-
537,b,35.25,3.165,u,g,x,h,3.75,t,f,0,t,g,680,0,-
461,b,24.08,0.875,u,g,m,v,0.085,f,t,4,f,g,254,1950,-
674,a,37.33,2.5,u,g,i,h,0.21,f,f,0,f,g,260,246,-
211,b,24.33,6.625,y,p,d,v,5.5,t,f,0,t,s,100,0,+
492,b,39.25,9.5,u,g,m,v,6.5,t,t,14,f,g,240,4607,+
173,a,49.83,13.585,u,g,k,h,8.5,t,f,0,t,g,0,0,+
289,a,21.75,1.75,y,p,j,j,0.0,f,f,0,f,g,160,0,-
62,a,23.42,0.79,y,p,q,v,1.5,t,t,2,t,g,80,400,+
618,b,29.58,4.75,u,g,m,v,2.0,f,t,1,t,g,460,68,-
570,b,59.5,2.75,u,g,w,v,1.75,t,t,5,t,g,60,58,+
120,b,39.92,6.21,u,g,q,v,0.04,t,t,1,f,g,200,300,+
110,b,29.17,3.5,u,g,w,v,3.5,t,t,3,t,g,329,0,-
357,a,19.5,0.165,u,g,q,v,0.04,f,f,0,t,g,380,0,-
400,b,20.75,5.085,y,p,j,v,0.29,f,f,0,f,g,140,184,-
213,b,23.08,11.5,u,g,i,v,3.5,t,t,9,f,g,56,742,+
405,a,69.5,6.0,u,g,ff,ff,0.0,f,f,0,f,s,0,0,-
