,buying,maint,doors,persons,lug_boot,safety,Label
1702,low,low,5more,2,small,med,unacc
514,high,vhigh,5more,2,small,med,unacc
1498,low,high,5more,4,med,med,acc
1340,low,vhigh,3,4,big,high,acc
876,med,vhigh,2,4,med,low,unacc
643,high,high,5more,more,med,med,acc
1013,med,high,3,4,med,high,acc
235,vhigh,med,2,more,small,med,unacc
1208,med,low,2,more,small,high,unacc
518,high,vhigh,5more,2,med,high,unacc
473,high,vhigh,3,4,med,high,unacc
1041,med,high,4,4,big,low,unacc
1008,med,high,3,4,small,low,unacc
7,vhigh,vhigh,2,2,big,med,unacc
25,vhigh,vhigh,2,more,big,med,unacc
632,high,high,5more,4,small,high,acc
386,vhigh,low,4,2,big,high,unacc
756,high,low,2,2,small,low,unacc
597,high,high,4,2,med,low,unacc
815,high,low,4,2,med,high,unacc
1528,low,med,2,4,big,med,good
305,vhigh,med,5more,2,big,high,unacc
704,high,med,4,2,small,high,unacc
337,vhigh,low,2,4,med,med,unacc
1323,low,vhigh,3,2,small,low,unacc
1450,low,high,3,more,small,med,acc
987,med,high,2,4,big,low,unacc
112,vhigh,high,2,2,med,med,unacc
1239,med,low,3,more,big,low,unacc
102,vhigh,vhigh,5more,more,med,low,unacc
424,vhigh,low,5more,more,small,med,unacc
913,med,vhigh,3,more,med,med,acc
1562,low,med,3,more,med,high,vgood
1123,med,med,3,4,big,med,acc
516,high,vhigh,5more,2,med,low,unacc
84,vhigh,vhigh,5more,2,med,low,unacc
1497,low,high,5more,4,med,low,unacc
1430,low,high,2,more,big,high,vgood
468,high,vhigh,3,4,small,low,unacc
898,med,vhigh,3,2,big,med,unacc
240,vhigh,med,2,more,big,low,unacc
26,vhigh,vhigh,2,more,big,high,unacc
168,vhigh,high,4,2,big,low,unacc
1272,med,low,5more,2,med,low,unacc
724,high,med,4,more,med,med,acc
1096,med,med,2,4,big,med,acc
256,vhigh,med,3,4,med,med,unacc
1157,med,med,4,more,med,high,vgood
1494,low,high,5more,4,small,low,unacc
945,med,vhigh,5more,2,small,low,unacc
583,high,high,3,4,big,med,acc
1395,low,vhigh,5more,more,small,low,unacc
222,vhigh,med,2,2,big,low,unacc
1418,low,high,2,4,med,high,acc
153,vhigh,high,3,more,small,low,unacc
1198,med,low,2,4,small,med,acc
289,vhigh,med,4,more,small,med,unacc
1460,low,high,4,2,small,high,unacc
621,high,high,5more,2,small,low,unacc
10,vhigh,vhigh,2,4,small,med,unacc
83,vhigh,vhigh,5more,2,small,high,unacc
555,high,high,2,4,big,low,unacc
789,high,low,3,2,big,low,unacc
845,high,low,5more,2,big,high,unacc
1369,low,vhigh,4,more,small,med,unacc
520,high,vhigh,5more,2,big,med,unacc
737,high,med,5more,2,big,high,unacc
1629,low,low,2,4,small,low,unacc
1637,low,low,2,4,big,high,vgood
860,high,low,5more,more,med,high,acc
1626,low,low,2,2,big,low,unacc
1192,med,low,2,2,med,med,unacc
283,vhigh,med,4,4,med,med,acc
485,high,vhigh,3,more,big,high,unacc
1365,low,vhigh,4,4,big,low,unacc
831,high,low,4,more,med,low,unacc
246,vhigh,med,3,2,med,low,unacc
40,vhigh,vhigh,3,4,med,med,unacc
1268,med,low,4,more,big,high,vgood
175,vhigh,high,4,4,med,med,unacc
234,vhigh,med,2,more,small,low,unacc
1668,low,low,3,more,med,low,unacc
301,vhigh,med,5more,2,med,med,unacc
1670,low,low,3,more,med,high,vgood
657,high,med,2,4,small,low,unacc
347,vhigh,low,2,more,med,high,acc
1317,low,vhigh,2,more,med,low,unacc
497,high,vhigh,4,4,small,high,unacc
481,high,vhigh,3,more,med,med,unacc
1559,low,med,3,more,small,high,good
1416,low,high,2,4,med,low,unacc
314,vhigh,med,5more,4,big,high,acc
384,vhigh,low,4,2,big,low,unacc
1501,low,high,5more,4,big,med,acc
407,vhigh,low,5more,2,small,high,unacc
1231,med,low,3,4,big,med,good
120,vhigh,high,2,4,med,low,unacc
245,vhigh,med,3,2,small,high,unacc
581,high,high,3,4,med,high,acc
1329,low,vhigh,3,2,big,low,unacc
1598,low,med,5more,2,med,high,unacc
962,med,vhigh,5more,4,big,high,acc
922,med,vhigh,4,2,med,med,unacc
1371,low,vhigh,4,more,med,low,unacc
1527,low,med,2,4,big,low,unacc
1024,med,high,3,more,big,med,acc
888,med,vhigh,2,more,big,low,unacc
1048,med,high,4,more,med,med,acc
878,med,vhigh,2,4,med,high,acc
437,high,vhigh,2,2,med,high,unacc
1493,low,high,5more,2,big,high,unacc
886,med,vhigh,2,more,med,med,unacc
1397,low,vhigh,5more,more,small,high,acc
552,high,high,2,4,med,low,unacc
1506,low,high,5more,more,med,low,unacc
1548,low,med,3,4,small,low,unacc
138,vhigh,high,3,2,med,low,unacc
875,med,vhigh,2,4,small,high,acc
1717,low,low,5more,4,big,med,good
464,high,vhigh,3,2,med,high,unacc
809,high,low,3,more,big,high,acc
966,med,vhigh,5more,more,med,low,unacc
1254,med,low,4,4,med,low,unacc
709,high,med,4,2,big,med,unacc
1665,low,low,3,more,small,low,unacc
340,vhigh,low,2,4,big,med,acc
380,vhigh,low,4,2,small,high,unacc
1374,low,vhigh,4,more,big,low,unacc
1572,low,med,4,2,big,low,unacc
1383,low,vhigh,5more,2,big,low,unacc
1502,low,high,5more,4,big,high,vgood
1172,med,med,5more,4,small,high,acc
856,high,low,5more,more,small,med,unacc
508,high,vhigh,4,more,med,med,unacc
949,med,vhigh,5more,2,med,med,unacc
626,high,high,5more,2,med,high,unacc
335,vhigh,low,2,4,small,high,acc
259,vhigh,med,3,4,big,med,acc
367,vhigh,low,3,4,big,med,acc
1007,med,high,3,2,big,high,unacc
1181,med,med,5more,more,small,high,acc
826,high,low,4,4,big,med,acc
194,vhigh,high,5more,2,med,high,unacc
1159,med,med,4,more,big,med,acc
1342,low,vhigh,3,more,small,med,unacc
237,vhigh,med,2,more,med,low,unacc
877,med,vhigh,2,4,med,med,unacc
105,vhigh,vhigh,5more,more,big,low,unacc
530,high,vhigh,5more,4,big,high,unacc
1309,low,vhigh,2,4,med,med,unacc
85,vhigh,vhigh,5more,2,med,med,unacc
1671,low,low,3,more,big,low,unacc
752,high,med,5more,more,med,high,acc
782,high,low,2,more,big,high,acc
401,vhigh,low,4,more,med,high,acc
565,high,high,2,more,big,med,acc
295,vhigh,med,4,more,big,med,acc
1491,low,high,5more,2,big,low,unacc
212,vhigh,high,5more,more,med,high,unacc
1373,low,vhigh,4,more,med,high,acc
982,med,high,2,4,small,med,unacc
996,med,high,2,more,big,low,unacc
1723,low,low,5more,more,med,med,good
189,vhigh,high,5more,2,small,low,unacc
833,high,low,4,more,med,high,acc
436,high,vhigh,2,2,med,med,unacc
1708,low,low,5more,2,big,med,unacc
590,high,high,3,more,med,high,acc
1582,low,med,4,4,big,med,good
1311,low,vhigh,2,4,big,low,unacc
795,high,low,3,4,med,low,unacc
1324,low,vhigh,3,2,small,med,unacc
1669,low,low,3,more,med,med,good
426,vhigh,low,5more,more,med,low,unacc
647,high,high,5more,more,big,high,acc
34,vhigh,vhigh,3,2,big,med,unacc
325,vhigh,low,2,2,small,med,unacc
387,vhigh,low,4,4,small,low,unacc
63,vhigh,vhigh,4,4,small,low,unacc
1382,low,vhigh,5more,2,med,high,unacc
1088,med,med,2,2,big,high,unacc
1116,med,med,3,4,small,low,unacc
1320,low,vhigh,2,more,big,low,unacc
981,med,high,2,4,small,low,unacc
1341,low,vhigh,3,more,small,low,unacc
1654,low,low,3,2,big,med,unacc
1086,med,med,2,2,big,low,unacc
41,vhigh,vhigh,3,4,med,high,unacc
267,vhigh,med,3,more,big,low,unacc
89,vhigh,vhigh,5more,2,big,high,unacc
338,vhigh,low,2,4,med,high,acc
176,vhigh,high,4,4,med,high,unacc
958,med,vhigh,5more,4,med,med,acc
1145,med,med,4,4,small,high,acc
1407,low,high,2,2,med,low,unacc
707,high,med,4,2,med,high,unacc
791,high,low,3,2,big,high,unacc
39,vhigh,vhigh,3,4,med,low,unacc
1350,low,vhigh,4,2,small,low,unacc
480,high,vhigh,3,more,med,low,unacc
413,vhigh,low,5more,2,big,high,unacc
1686,low,low,4,4,med,low,unacc
125,vhigh,high,2,4,big,high,unacc
416,vhigh,low,5more,4,small,high,acc
956,med,vhigh,5more,4,small,high,acc
562,high,high,2,more,med,med,unacc
1100,med,med,2,more,small,high,unacc
43,vhigh,vhigh,3,4,big,med,unacc
0,vhigh,vhigh,2,2,small,low,unacc
690,high,med,3,4,big,low,unacc
937,med,vhigh,4,more,small,med,unacc
674,high,med,2,more,big,high,acc
1441,low,high,3,4,small,med,acc
927,med,vhigh,4,4,small,low,unacc
521,high,vhigh,5more,2,big,high,unacc
1270,med,low,5more,2,small,med,unacc
311,vhigh,med,5more,4,med,high,acc
1227,med,low,3,4,med,low,unacc
1021,med,high,3,more,med,med,acc
1474,low,high,4,4,big,med,acc
1424,low,high,2,more,small,high,unacc
211,vhigh,high,5more,more,med,med,unacc
1381,low,vhigh,5more,2,med,med,unacc
920,med,vhigh,4,2,small,high,unacc
504,high,vhigh,4,more,small,low,unacc
1555,low,med,3,4,big,med,good
1520,low,med,2,2,big,high,unacc
250,vhigh,med,3,2,big,med,unacc
309,vhigh,med,5more,4,med,low,unacc
1394,low,vhigh,5more,4,big,high,acc
86,vhigh,vhigh,5more,2,med,high,unacc
417,vhigh,low,5more,4,med,low,unacc
1399,low,vhigh,5more,more,med,med,acc
1721,low,low,5more,more,small,high,good
505,high,vhigh,4,more,small,med,unacc
1189,med,low,2,2,small,med,unacc
916,med,vhigh,3,more,big,med,acc
1249,med,low,4,2,big,med,unacc
491,high,vhigh,4,2,med,high,unacc
866,med,vhigh,2,2,small,high,unacc
797,high,low,3,4,med,high,acc
1524,low,med,2,4,med,low,unacc
942,med,vhigh,4,more,big,low,unacc
60,vhigh,vhigh,4,2,big,low,unacc
957,med,vhigh,5more,4,med,low,unacc
1479,low,high,4,more,med,low,unacc
409,vhigh,low,5more,2,med,med,unacc
1376,low,vhigh,4,more,big,high,acc
1095,med,med,2,4,big,low,unacc
651,high,med,2,2,med,low,unacc
1561,low,med,3,more,med,med,good
398,vhigh,low,4,more,small,high,acc
1118,med,med,3,4,small,high,acc
976,med,high,2,2,med,med,unacc
1129,med,med,3,more,med,med,acc
463,high,vhigh,3,2,med,med,unacc
134,vhigh,high,2,more,big,high,unacc
279,vhigh,med,4,4,small,low,unacc
800,high,low,3,4,big,high,acc
303,vhigh,med,5more,2,big,low,unacc
628,high,high,5more,2,big,med,unacc
953,med,vhigh,5more,2,big,high,unacc
669,high,med,2,more,med,low,unacc
1238,med,low,3,more,med,high,vgood
1182,med,med,5more,more,med,low,unacc
1540,low,med,3,2,small,med,unacc
1346,low,vhigh,3,more,med,high,acc
1403,low,vhigh,5more,more,big,high,acc
890,med,vhigh,2,more,big,high,acc
27,vhigh,vhigh,3,2,small,low,unacc
1292,med,low,5more,more,med,high,vgood
925,med,vhigh,4,2,big,med,unacc
438,high,vhigh,2,2,big,low,unacc
682,high,med,3,2,big,med,unacc
425,vhigh,low,5more,more,small,high,acc
1678,low,low,4,2,med,med,unacc
1154,med,med,4,more,small,high,acc
668,high,med,2,more,small,high,unacc
746,high,med,5more,4,big,high,acc
801,high,low,3,more,small,low,unacc
525,high,vhigh,5more,4,med,low,unacc
1469,low,high,4,4,small,high,acc
408,vhigh,low,5more,2,med,low,unacc
247,vhigh,med,3,2,med,med,unacc
1510,low,high,5more,more,big,med,acc
1682,low,low,4,2,big,high,unacc
821,high,low,4,4,small,high,acc
788,high,low,3,2,med,high,unacc
1377,low,vhigh,5more,2,small,low,unacc
1602,low,med,5more,4,small,low,unacc
983,med,high,2,4,small,high,acc
149,vhigh,high,3,4,med,high,unacc
1513,low,med,2,2,small,med,unacc
852,high,low,5more,4,big,low,unacc
1140,med,med,4,2,big,low,unacc
395,vhigh,low,4,4,big,high,acc
459,high,vhigh,3,2,small,low,unacc
808,high,low,3,more,big,med,acc
933,med,vhigh,4,4,big,low,unacc
191,vhigh,high,5more,2,small,high,unacc
117,vhigh,high,2,4,small,low,unacc
302,vhigh,med,5more,2,med,high,unacc
1557,low,med,3,more,small,low,unacc
1280,med,low,5more,4,small,high,good
157,vhigh,high,3,more,med,med,unacc
12,vhigh,vhigh,2,4,med,low,unacc
495,high,vhigh,4,4,small,low,unacc
946,med,vhigh,5more,2,small,med,unacc
500,high,vhigh,4,4,med,high,unacc
796,high,low,3,4,med,med,unacc
1593,low,med,5more,2,small,low,unacc
663,high,med,2,4,big,low,unacc
1144,med,med,4,4,small,med,acc
1222,med,low,3,2,big,med,unacc
16,vhigh,vhigh,2,4,big,med,unacc
1422,low,high,2,more,small,low,unacc
1662,low,low,3,4,big,low,unacc
992,med,high,2,more,small,high,unacc
1315,low,vhigh,2,more,small,med,unacc
564,high,high,2,more,big,low,unacc
1348,low,vhigh,3,more,big,med,acc
1113,med,med,3,2,big,low,unacc
1079,med,high,5more,more,big,high,acc
397,vhigh,low,4,more,small,med,unacc
1447,low,high,3,4,big,med,acc
1698,low,low,4,more,big,low,unacc
887,med,vhigh,2,more,med,high,acc
891,med,vhigh,3,2,small,low,unacc
748,high,med,5more,more,small,med,unacc
818,high,low,4,2,big,high,unacc
1716,low,low,5more,4,big,low,unacc
1509,low,high,5more,more,big,low,unacc
1358,low,vhigh,4,2,big,high,unacc
23,vhigh,vhigh,2,more,med,high,unacc
271,vhigh,med,4,2,small,med,unacc
215,vhigh,high,5more,more,big,high,unacc
868,med,vhigh,2,2,med,med,unacc
403,vhigh,low,4,more,big,med,acc
185,vhigh,high,4,more,med,high,unacc
377,vhigh,low,3,more,big,high,acc
1432,low,high,3,2,small,med,unacc
768,high,low,2,4,med,low,unacc
593,high,high,3,more,big,high,acc
1225,med,low,3,4,small,med,acc
1551,low,med,3,4,med,low,unacc
312,vhigh,med,5more,4,big,low,unacc
461,high,vhigh,3,2,small,high,unacc
1158,med,med,4,more,big,low,unacc
885,med,vhigh,2,more,med,low,unacc
1508,low,high,5more,more,med,high,vgood
988,med,high,2,4,big,med,acc
648,high,med,2,2,small,low,unacc
456,high,vhigh,2,more,big,low,unacc
1448,low,high,3,4,big,high,vgood
130,vhigh,high,2,more,med,med,unacc
824,high,low,4,4,med,high,acc
879,med,vhigh,2,4,big,low,unacc
1200,med,low,2,4,med,low,unacc
21,vhigh,vhigh,2,more,med,low,unacc
1260,med,low,4,more,small,low,unacc
862,high,low,5more,more,big,med,acc
493,high,vhigh,4,2,big,med,unacc
640,high,high,5more,more,small,med,unacc
1179,med,med,5more,more,small,low,unacc
692,high,med,3,4,big,high,acc
677,high,med,3,2,small,high,unacc
1160,med,med,4,more,big,high,vgood
787,high,low,3,2,med,med,unacc
1033,med,high,4,2,big,med,unacc
582,high,high,3,4,big,low,unacc
544,high,high,2,2,med,med,unacc
1363,low,vhigh,4,4,med,med,acc
492,high,vhigh,4,2,big,low,unacc
1703,low,low,5more,2,small,high,unacc
867,med,vhigh,2,2,med,low,unacc
111,vhigh,high,2,2,med,low,unacc
763,high,low,2,2,big,med,unacc
200,vhigh,high,5more,4,small,high,unacc
760,high,low,2,2,med,med,unacc
1278,med,low,5more,4,small,low,unacc
840,high,low,5more,2,med,low,unacc
802,high,low,3,more,small,med,unacc
1291,med,low,5more,more,med,med,good
1470,low,high,4,4,med,low,unacc
188,vhigh,high,4,more,big,high,unacc
536,high,vhigh,5more,more,med,high,unacc
221,vhigh,med,2,2,med,high,unacc
1625,low,low,2,2,med,high,unacc
91,vhigh,vhigh,5more,4,small,med,unacc
680,high,med,3,2,med,high,unacc
1699,low,low,4,more,big,med,good
1490,low,high,5more,2,med,high,unacc
1066,med,high,5more,4,med,med,acc
1588,low,med,4,more,med,med,good
1241,med,low,3,more,big,high,vgood
187,vhigh,high,4,more,big,med,unacc
127,vhigh,high,2,more,small,med,unacc
822,high,low,4,4,med,low,unacc
902,med,vhigh,3,4,small,high,acc
264,vhigh,med,3,more,med,low,unacc
566,high,high,2,more,big,high,acc
846,high,low,5more,4,small,low,unacc
252,vhigh,med,3,4,small,low,unacc
1318,low,vhigh,2,more,med,med,unacc
1372,low,vhigh,4,more,med,med,acc
563,high,high,2,more,med,high,acc
307,vhigh,med,5more,4,small,med,unacc
1427,low,high,2,more,med,high,acc
36,vhigh,vhigh,3,4,small,low,unacc
216,vhigh,med,2,2,small,low,unacc
1653,low,low,3,2,big,low,unacc
131,vhigh,high,2,more,med,high,unacc
59,vhigh,vhigh,4,2,med,high,unacc
917,med,vhigh,3,more,big,high,acc
629,high,high,5more,2,big,high,unacc
155,vhigh,high,3,more,small,high,unacc
1328,low,vhigh,3,2,med,high,unacc
967,med,vhigh,5more,more,med,med,acc
79,vhigh,vhigh,4,more,big,med,unacc
989,med,high,2,4,big,high,acc
1298,low,vhigh,2,2,small,high,unacc
1544,low,med,3,2,med,high,unacc
924,med,vhigh,4,2,big,low,unacc
1688,low,low,4,4,med,high,vgood
567,high,high,3,2,small,low,unacc
368,vhigh,low,3,4,big,high,acc
907,med,vhigh,3,4,big,med,acc
28,vhigh,vhigh,3,2,small,med,unacc
1000,med,high,3,2,small,med,unacc
1539,low,med,3,2,small,low,unacc
816,high,low,4,2,big,low,unacc
757,high,low,2,2,small,med,unacc
587,high,high,3,more,small,high,acc
610,high,high,4,4,big,med,acc
298,vhigh,med,5more,2,small,med,unacc
1640,low,low,2,more,small,high,unacc
365,vhigh,low,3,4,med,high,acc
572,high,high,3,2,med,high,unacc
20,vhigh,vhigh,2,more,small,high,unacc
712,high,med,4,4,small,med,unacc
38,vhigh,vhigh,3,4,small,high,unacc
1434,low,high,3,2,med,low,unacc
1533,low,med,2,more,med,low,unacc
1627,low,low,2,2,big,med,unacc
691,high,med,3,4,big,med,acc
1645,low,low,2,more,big,med,good
1275,med,low,5more,2,big,low,unacc
1169,med,med,5more,2,big,high,unacc
321,vhigh,med,5more,more,big,low,unacc
664,high,med,2,4,big,med,acc
721,high,med,4,more,small,med,unacc
448,high,vhigh,2,4,big,med,unacc
286,vhigh,med,4,4,big,med,acc
548,high,high,2,2,big,high,unacc
421,vhigh,low,5more,4,big,med,acc
1307,low,vhigh,2,4,small,high,acc
205,vhigh,high,5more,4,big,med,unacc
293,vhigh,med,4,more,med,high,acc
923,med,vhigh,4,2,med,high,unacc
1456,low,high,3,more,big,med,acc
534,high,vhigh,5more,more,med,low,unacc
462,high,vhigh,3,2,med,low,unacc
1284,med,low,5more,4,big,low,unacc
173,vhigh,high,4,4,small,high,unacc
775,high,low,2,more,small,med,unacc
1556,low,med,3,4,big,high,vgood
1234,med,low,3,more,small,med,acc
1361,low,vhigh,4,4,small,high,acc
1212,med,low,2,more,big,low,unacc
261,vhigh,med,3,more,small,low,unacc
77,vhigh,vhigh,4,more,med,high,unacc
1600,low,med,5more,2,big,med,unacc
654,high,med,2,2,big,low,unacc
1676,low,low,4,2,small,high,unacc
1314,low,vhigh,2,more,small,low,unacc
107,vhigh,vhigh,5more,more,big,high,unacc
975,med,high,2,2,med,low,unacc
1414,low,high,2,4,small,med,acc
1133,med,med,3,more,big,high,vgood
66,vhigh,vhigh,4,4,med,low,unacc
465,high,vhigh,3,2,big,low,unacc
360,vhigh,low,3,4,small,low,unacc
951,med,vhigh,5more,2,big,low,unacc
270,vhigh,med,4,2,small,low,unacc
476,high,vhigh,3,4,big,high,unacc
980,med,high,2,2,big,high,unacc
777,high,low,2,more,med,low,unacc
479,high,vhigh,3,more,small,high,unacc
1706,low,low,5more,2,med,high,unacc
352,vhigh,low,3,2,small,med,unacc
1333,low,vhigh,3,4,small,med,unacc
557,high,high,2,4,big,high,acc
1044,med,high,4,more,small,low,unacc
1060,med,high,5more,2,big,med,unacc
1045,med,high,4,more,small,med,unacc
1126,med,med,3,more,small,med,acc
1262,med,low,4,more,small,high,good
472,high,vhigh,3,4,med,med,unacc
385,vhigh,low,4,2,big,med,unacc
1478,low,high,4,more,small,high,acc
1660,low,low,3,4,med,med,acc
1514,low,med,2,2,small,high,unacc
225,vhigh,med,2,4,small,low,unacc
1655,low,low,3,2,big,high,unacc
1327,low,vhigh,3,2,med,med,unacc
1720,low,low,5more,more,small,med,acc
