,Sector_score,LOCATION_ID,PARA_A,Score_A,Risk_A,PARA_B,Score_B,Risk_B,TOTAL,numbers,Score_B.1,Risk_C,Money_Value,Score_MV,Risk_D,District_Loss,PROB,RiSk_E,History,Prob,Risk_F,Score,Inherent_Risk,CONTROL_RISK,Detection_Risk,Audit_Risk,Label
17,3.89,37,4.18,0.6,2.508,4.83,0.2,0.966,9.01,5.5,0.4,2.2,14.03,0.6,8.418,2,0.2,0.4,0,0.2,0.0,3.2,14.492,0.4,0.5,2.8984,1
18,3.89,37,1.81,0.4,0.7240000000000001,1.03,0.2,0.20600000000000002,2.84,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.2,2.33,0.4,0.5,0.466,0
19,3.89,37,4.86,0.6,2.9160000000000004,46.78,0.6,28.068,51.64,5.5,0.4,2.2,63.18,0.6,37.908,2,0.2,0.4,0,0.2,0.0,4.4,71.492,0.4,0.5,14.2984,1
20,3.89,24,6.26,0.6,3.7560000000000002,14.1,0.6,8.46,20.36,5.0,0.2,1.0,34.24,0.6,20.544,2,0.2,0.4,1,0.4,0.4,4.2,34.56,0.8,0.5,13.824000000000002,1
21,3.89,3,0.02,0.2,0.004,5.94,0.4,2.376,5.96,5.0,0.2,1.0,0.01,0.2,0.002,2,0.2,0.4,0,0.2,0.0,2.6,3.782,0.4,0.5,0.7564,0
22,3.89,3,5.31,0.6,3.1860000000000004,22.79,0.6,13.674000000000001,28.1,5.0,0.2,1.0,205.19,0.6,123.11399999999999,2,0.2,0.4,1,0.4,0.4,4.2,141.774,0.8,0.5,56.7096,1
23,3.89,3,0.94,0.2,0.188,0.01,0.2,0.002,0.95,5.0,0.2,1.0,0.1,0.2,0.02,2,0.2,0.4,0,0.2,0.0,2.0,1.61,0.4,0.5,0.322,0
24,3.89,4,5.78,0.6,3.468,57.92,0.6,34.751999999999995,63.7,5.0,0.2,1.0,11.16,0.6,6.696000000000001,2,0.2,0.4,0,0.2,0.0,4.0,46.316,0.4,0.5,9.2632,1
25,3.89,4,7.42,0.6,4.452,2.24,0.2,0.44799999999999995,9.66,5.0,0.2,1.0,1.25,0.2,0.25,2,0.2,0.4,0,0.2,0.0,2.4,6.55,0.4,0.5,1.31,1
26,3.89,4,0.0,0.2,0.0,1.1,0.2,0.22,1.1,5.0,0.2,1.0,0.006999999999999999,0.2,0.0014,2,0.2,0.4,0,0.2,0.0,2.0,1.6214,0.4,0.5,0.32428,0
27,3.89,14,6.85,0.6,4.11,31.76,0.6,19.055999999999997,38.61,5.0,0.2,1.0,1.46,0.2,0.292,2,0.2,0.4,0,0.2,0.0,3.6,24.858,0.4,0.5,4.9716,1
28,3.89,14,0.0,0.2,0.0,1.03,0.2,0.20600000000000002,1.03,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.6059999999999999,0.4,0.5,0.3212,0
29,3.89,37,0.0,0.2,0.0,0.75,0.2,0.15,0.75,5.0,0.2,1.0,6.78,0.4,2.7119999999999997,2,0.2,0.4,0,0.2,0.0,2.2,4.262,0.4,0.5,0.8524,0
30,3.89,37,2.4,0.6,1.44,16.63,0.6,9.978,19.03,5.0,0.2,1.0,1.16,0.2,0.23199999999999998,2,0.2,0.4,0,0.2,0.0,3.6,13.05,0.4,0.5,2.61,1
31,3.89,5,0.0,0.2,0.0,0.05,0.2,0.01,0.05,5.0,0.2,1.0,152.41,0.6,91.446,2,0.2,0.4,0,0.2,0.0,2.4,92.85600000000001,0.4,0.5,18.5712,1
32,3.89,5,0.0,0.2,0.0,1.76,0.2,0.35200000000000004,1.76,5.0,0.2,1.0,1.08,0.2,0.21600000000000003,2,0.2,0.4,0,0.2,0.0,2.0,1.9680000000000002,0.4,0.5,0.3936,0
33,3.89,5,0.0,0.2,0.0,2.97,0.2,0.594,2.97,5.0,0.2,1.0,2.84,0.2,0.568,2,0.2,0.4,0,0.2,0.0,2.0,2.562,0.4,0.5,0.5124,0
34,3.89,5,0.0,0.2,0.0,0.43,0.2,0.086,0.43,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.486,0.4,0.5,0.2972,0
35,3.89,5,0.0,0.2,0.0,0.94,0.2,0.188,0.94,5.0,0.2,1.0,0.9,0.2,0.18,2,0.2,0.4,0,0.2,0.0,2.0,1.768,0.4,0.5,0.3536,0
36,3.89,20,9.01,0.6,5.406000000000001,19.82,0.6,11.892000000000001,28.83,5.0,0.2,1.0,9.67,0.4,3.8680000000000003,2,0.2,0.4,0,0.2,0.0,3.8,22.566,0.4,0.5,4.5132,1
37,3.89,19,0.0,0.2,0.0,0.05,0.2,0.01,0.05,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.41,0.4,0.5,0.282,0
38,3.89,19,11.95,0.6,7.17,30.9,0.6,18.54,42.85,5.0,0.2,1.0,32.68,0.6,19.608,2,0.2,0.4,0,0.2,0.0,4.0,46.718,0.4,0.5,9.3436,1
39,3.89,19,7.97,0.6,4.782,17.18,0.6,10.308,25.15,5.0,0.2,1.0,935.03,0.6,561.018,2,0.2,0.4,0,0.2,0.0,4.0,577.508,0.4,0.5,115.5016,1
40,3.89,19,0.0,0.2,0.0,3.71,0.2,0.742,3.71,5.0,0.2,1.0,29.63,0.6,17.778,2,0.2,0.4,0,0.2,0.0,2.4,19.92,0.4,0.5,3.984,1
41,3.89,19,0.62,0.2,0.124,2.02,0.2,0.40399999999999997,2.64,5.0,0.2,1.0,0.11,0.2,0.022000000000000002,2,0.2,0.4,0,0.2,0.0,2.0,1.95,0.4,0.5,0.39,0
42,3.89,19,0.0,0.2,0.0,2.27,0.2,0.45399999999999996,2.27,5.0,0.2,1.0,2.62,0.2,0.524,2,0.2,0.4,0,0.2,0.0,2.0,2.378,0.4,0.5,0.4756,0
43,3.89,19,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.4,0.4,0.5,0.28,0
44,3.89,19,1.32,0.4,0.528,0.0,0.2,0.0,1.32,5.0,0.2,1.0,0.06,0.2,0.012,2,0.2,0.4,0,0.2,0.0,2.2,1.94,0.4,0.5,0.38799999999999996,0
45,3.89,19,0.0,0.2,0.0,1.03,0.2,0.20600000000000002,1.03,5.0,0.2,1.0,2.43,0.2,0.486,2,0.2,0.4,0,0.2,0.0,2.0,2.092,0.4,0.5,0.4184,0
46,3.89,21,0.0,0.2,0.0,15.38,0.6,9.228,15.38,5.0,0.2,1.0,126.13,0.6,75.678,2,0.2,0.4,0,0.2,0.0,3.6,86.306,0.4,0.5,17.2612,1
47,3.89,21,0.0,0.2,0.0,1.02,0.2,0.204,1.02,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.604,0.4,0.5,0.3208,0
48,3.89,21,0.0,0.2,0.0,20.71,0.6,12.425999999999998,20.71,5.0,0.2,1.0,20.79,0.6,12.474,2,0.2,0.4,2,0.6,1.2,4.0,27.5,1.6,0.5,22.0,1
49,3.89,22,2.95,0.6,1.77,6.56,0.4,2.6239999999999997,9.51,5.0,0.2,1.0,156.92,0.6,94.152,2,0.2,0.4,0,0.2,0.0,3.4,99.946,0.4,0.5,19.9892,1
50,3.89,22,1.97,0.4,0.7879999999999999,2.1,0.2,0.42,4.07,5.0,0.2,1.0,12.29,0.6,7.374,2,0.6,1.2,0,0.2,0.0,3.0,10.782,1.2,0.5,6.4692,1
51,3.89,22,0.0,0.2,0.0,18.05,0.6,10.83,18.05,5.0,0.2,1.0,2.29,0.2,0.45799999999999996,2,0.2,0.4,0,0.2,0.0,3.2,12.687999999999999,0.4,0.5,2.5376,1
52,3.89,22,0.0,0.2,0.0,0.93,0.2,0.18600000000000003,0.93,5.0,0.2,1.0,7.78,0.4,3.112,2,0.2,0.4,0,0.2,0.0,2.2,4.698,0.4,0.5,0.9396,0
53,3.89,9,0.0,0.2,0.0,1.61,0.2,0.322,1.61,5.0,0.2,1.0,2.51,0.2,0.502,2,0.2,0.4,0,0.2,0.0,2.0,2.224,0.4,0.5,0.4448,0
54,3.89,9,6.32,0.6,3.792,9.01,0.4,3.6039999999999996,15.33,5.0,0.2,1.0,8.31,0.4,3.324,2,0.2,0.4,0,0.2,0.0,3.2,12.12,0.4,0.5,2.424,1
55,3.89,9,0.0,0.2,0.0,1.05,0.2,0.21,1.05,5.0,0.2,1.0,0.16,0.2,0.032,2,0.2,0.4,0,0.2,0.0,2.0,1.642,0.4,0.5,0.3284,0
56,3.89,11,0.0,0.2,0.0,6.8,0.4,2.72,6.8,5.0,0.2,1.0,47.9,0.6,28.74,2,0.2,0.4,0,0.2,0.0,3.0,32.86,0.4,0.5,6.572,1
57,3.89,11,14.04,0.6,8.424,10.83,0.6,6.497999999999999,24.87,5.0,0.2,1.0,8.91,0.4,3.5639999999999996,2,0.2,0.4,0,0.2,0.0,3.8,19.886,0.4,0.5,3.9772,1
58,3.89,11,6.67,0.6,4.002,18.02,0.6,10.812000000000001,24.69,5.5,0.4,2.2,4.95,0.2,0.99,2,0.2,0.4,2,0.6,1.2,4.4,19.604,1.6,0.5,15.6832,1
59,3.89,11,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,1.0,1.75,0.2,0.35,2,0.2,0.4,0,0.2,0.0,2.0,1.75,0.4,0.5,0.35,0
60,3.89,11,0.0,0.2,0.0,0.08,0.2,0.016,0.08,5.0,0.2,1.0,0.68,0.2,0.136,2,0.2,0.4,0,0.2,0.0,2.0,1.5519999999999998,0.4,0.5,0.3104,0
61,3.89,11,1.26,0.4,0.504,0.05,0.2,0.01,1.31,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.2,1.9140000000000001,0.4,0.5,0.3828,0
62,3.89,12,0.0,0.2,0.0,0.03,0.2,0.006,0.03,5.0,0.2,1.0,0.06,0.2,0.012,2,0.2,0.4,0,0.2,0.0,2.0,1.4180000000000001,0.4,0.5,0.2836,0
63,3.89,12,0.0,0.2,0.0,0.79,0.2,0.158,0.79,5.0,0.2,1.0,15.82,0.6,9.492,2,0.2,0.4,0,0.2,0.0,2.4,11.05,0.4,0.5,2.21,1
64,3.89,12,4.76,0.6,2.8560000000000003,13.03,0.6,7.818,17.79,5.0,0.2,1.0,0.58,0.2,0.11599999999999999,2,0.2,0.4,1,0.4,0.4,3.8,12.59,0.8,0.5,5.0360000000000005,1
65,3.89,12,8.81,0.6,5.2860000000000005,9.02,0.4,3.608,17.83,5.0,0.2,1.0,215.31,0.6,129.186,2,0.2,0.4,1,0.4,0.4,3.6,139.88,0.8,0.5,55.952,1
66,3.89,12,0.0,0.2,0.0,0.07,0.2,0.013999999999999999,0.07,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.4140000000000001,0.4,0.5,0.2828,0
67,3.89,12,13.92,0.6,8.352,2.2,0.2,0.44,16.12,5.0,0.2,1.0,0.05,0.2,0.01,2,0.2,0.4,0,0.2,0.0,2.4,10.202,0.4,0.5,2.0404,1
68,3.89,12,1.07,0.4,0.428,0.0,0.2,0.0,1.07,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.2,1.828,0.4,0.5,0.3656,0
69,3.89,12,0.0,0.2,0.0,0.89,0.2,0.17800000000000002,0.89,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.578,0.4,0.5,0.3156,0
70,3.89,8,0.0,0.2,0.0,3.98,0.2,0.7959999999999999,3.98,6.0,0.6,3.6,53.34,0.6,32.004,2,0.2,0.4,0,0.2,0.0,3.2,36.8,0.4,0.5,7.36,1
71,3.89,8,10.0,0.6,6.0,74.26,0.6,44.556000000000004,84.26,5.5,0.4,2.2,11.16,0.6,6.696000000000001,2,0.2,0.4,3,0.6,1.8,4.8,61.652,2.2,0.5,67.8172,1
72,3.89,29,4.24,0.6,2.544,8.06,0.4,3.2239999999999998,12.3,5.0,0.2,1.0,10.69,0.6,6.414,2,0.2,0.4,0,0.2,0.0,3.4,13.582,0.4,0.5,2.7164,1
73,3.89,29,12.27,0.6,7.362,72.46,0.6,43.476000000000006,84.73,5.0,0.2,1.0,5.69,0.4,2.276,2,0.2,0.4,0,0.2,0.0,3.8,54.513999999999996,0.4,0.5,10.9028,1
74,3.89,29,0.0,0.2,0.0,0.96,0.2,0.192,0.96,5.0,0.2,1.0,1.35,0.2,0.27,2,0.2,0.4,0,0.2,0.0,2.0,1.8619999999999999,0.4,0.5,0.3724,0
75,3.89,30,12.7,0.6,7.62,1.28,0.2,0.256,13.98,5.0,0.2,1.0,11.69,0.6,7.013999999999999,2,0.2,0.4,0,0.2,0.0,2.8,16.29,0.4,0.5,3.258,1
76,3.89,38,0.0,0.2,0.0,63.13,0.6,37.878,63.13,5.0,0.2,1.0,14.6,0.6,8.76,2,0.2,0.4,1,0.4,0.4,3.8,48.438,0.8,0.5,19.3752,1
77,3.89,31,1.99,0.4,0.7959999999999999,10.24,0.6,6.144,12.23,5.0,0.2,1.0,20.78,0.6,12.468,2,0.2,0.4,0,0.2,0.0,3.8,20.808000000000003,0.4,0.5,4.1616,1
78,3.89,2,0.05,0.2,0.01,0.21,0.2,0.042,0.26,5.5,0.4,2.2,102.22,0.6,61.332,2,0.2,0.4,0,0.2,0.0,2.8,63.983999999999995,0.4,0.5,12.7968,1
79,3.89,2,0.0,0.2,0.0,7.37,0.4,2.948,7.37,5.0,0.2,1.0,0.74,0.2,0.14800000000000002,2,0.2,0.4,0,0.2,0.0,2.6,4.496,0.4,0.5,0.8992,0
80,3.89,2,0.0,0.2,0.0,3.72,0.2,0.7440000000000001,3.72,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,9,0.6,5.4,2.4,7.544,5.8,0.5,21.8776,1
81,3.89,2,71.48,0.6,42.888000000000005,25.63,0.6,15.378,97.11,5.0,0.2,1.0,873.37,0.6,524.0219999999999,2,0.2,0.4,0,0.2,0.0,4.0,583.688,0.4,0.5,116.7376,1
82,3.89,2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.4,0.4,0.5,0.28,0
83,3.89,2,0.74,0.2,0.14800000000000002,1.0,0.2,0.2,1.74,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.7480000000000002,0.4,0.5,0.3496,0
84,3.89,2,0.0,0.2,0.0,0.58,0.2,0.11599999999999999,0.58,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.516,0.4,0.5,0.3032,0
85,3.89,9,8.46,0.6,5.0760000000000005,72.76,0.6,43.656000000000006,81.22,5.0,0.2,1.0,1.4,0.2,0.28,2,0.4,0.8,2,0.6,1.2,4.2,52.012,2.0,0.5,52.012,1
86,3.89,9,0.42,0.2,0.084,0.07,0.2,0.013999999999999999,0.49,5.0,0.2,1.0,0.42,0.2,0.084,2,0.2,0.4,0,0.2,0.0,2.0,1.5819999999999999,0.4,0.5,0.3164,0
87,3.89,32,0.01,0.2,0.002,1.29,0.2,0.258,1.3,5.5,0.4,2.2,36.52,0.6,21.912,4,0.2,0.8,0,0.2,0.0,3.0,25.171999999999997,0.8,0.5,10.0688,1
88,3.89,32,6.85,0.6,4.11,65.93,0.6,39.558,72.78,5.5,0.4,2.2,6.02,0.4,2.408,4,0.2,0.8,0,0.2,0.0,4.4,49.076,0.8,0.5,19.6304,1
89,3.89,32,5.37,0.6,3.222,8.62,0.4,3.448,13.99,5.0,0.2,1.0,17.16,0.6,10.296,4,0.2,0.8,0,0.2,0.0,3.6,18.766,0.8,0.5,7.5064,1
90,3.89,32,4.93,0.6,2.958,6.54,0.4,2.616,11.47,5.5,0.4,2.2,12.91,0.6,7.746,4,0.2,0.8,0,0.2,0.0,4.0,16.32,0.8,0.5,6.528,1
91,3.89,32,1.22,0.4,0.488,0.06,0.2,0.012,1.28,5.0,0.2,1.0,0.0,0.2,0.0,4,0.2,0.8,0,0.2,0.0,2.4,2.3,0.8,0.5,0.92,0
92,3.89,32,0.0,0.2,0.0,0.85,0.2,0.17,0.85,5.0,0.2,1.0,0.0,0.2,0.0,4,0.2,0.8,0,0.2,0.0,2.2,1.97,0.8,0.5,0.7879999999999999,0
93,3.89,16,15.72,0.6,9.432,57.94,0.6,34.764,73.66,6.0,0.6,3.6,10.79,0.6,6.474,6,0.2,1.2,0,0.2,0.0,5.2,55.47,1.2,0.5,33.282,1
94,3.89,16,4.95,0.6,2.97,42.61,0.6,25.566,47.56,5.0,0.2,1.0,3.46,0.2,0.6920000000000001,6,0.2,1.2,1,0.4,0.4,4.2,31.828000000000003,1.6,0.5,25.4624,1
95,3.89,16,0.0,0.2,0.0,0.08,0.2,0.016,0.08,5.0,0.2,1.0,0.06,0.2,0.012,6,0.2,1.2,0,0.2,0.0,2.4,2.228,1.2,0.5,1.3368,1
96,3.89,16,1.19,0.4,0.47600000000000003,12.88,0.6,7.728,14.07,5.0,0.2,1.0,2.33,0.2,0.466,6,0.2,1.2,0,0.2,0.0,3.8,10.87,1.2,0.5,6.522,1
97,3.89,16,0.0,0.2,0.0,2.72,0.2,0.544,2.72,5.0,0.2,1.0,5.58,0.4,2.2319999999999998,6,0.2,1.2,0,0.2,0.0,2.6,4.976,1.2,0.5,2.9856,1
98,3.89,16,0.0,0.2,0.0,1.66,0.2,0.332,1.66,5.0,0.2,1.0,0.76,0.2,0.152,6,0.2,1.2,0,0.2,0.0,2.4,2.6839999999999997,1.2,0.5,1.6104,1
99,3.89,16,6.47,0.6,3.8819999999999997,12.18,0.6,7.308,18.65,5.0,0.2,1.0,25.27,0.6,15.162,6,0.2,1.2,0,0.2,0.0,4.4,28.552,1.2,0.5,17.1312,1
100,3.89,16,1.33,0.4,0.532,0.0,0.2,0.0,1.33,5.0,0.2,1.0,0.2,0.2,0.04,6,0.2,1.2,0,0.2,0.0,2.6,2.772,1.2,0.5,1.6632,1
101,3.89,16,0.0,0.2,0.0,1.1,0.2,0.22,1.1,5.0,0.2,1.0,0.0,0.2,0.0,6,0.2,1.2,0,0.2,0.0,2.4,2.42,1.2,0.5,1.452,1
102,3.89,33,2.57,0.6,1.5419999999999998,4.49,0.2,0.898,7.06,5.0,0.2,1.0,7.56,0.4,3.0239999999999996,2,0.2,0.4,1,0.4,0.4,2.8,7.263999999999999,0.8,0.5,2.9056,1
103,3.89,15,0.0,0.2,0.0,1.88,0.2,0.376,1.88,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.776,0.4,0.5,0.3552,0
104,3.89,15,0.77,0.2,0.154,18.31,0.6,10.985999999999999,19.08,5.0,0.2,1.0,67.03,0.6,40.218,2,0.2,0.4,0,0.2,0.0,3.6,52.758,0.4,0.5,10.5516,1
105,3.89,15,5.23,0.6,3.138,5.89,0.4,2.356,11.12,5.0,0.2,1.0,19.4,0.6,11.64,2,0.2,0.4,0,0.2,0.0,3.4,18.534000000000002,0.4,0.5,3.7068,1
106,3.89,15,6.59,0.6,3.9539999999999997,23.66,0.6,14.196,30.25,5.0,0.2,1.0,34.83,0.6,20.898000000000003,2,0.2,0.4,1,0.4,0.4,4.2,40.848,0.8,0.5,16.3392,1
107,3.89,15,7.18,0.6,4.308,14.63,0.6,8.777999999999999,21.81,5.0,0.2,1.0,98.75,0.6,59.25,2,0.2,0.4,0,0.2,0.0,4.0,73.736,0.4,0.5,14.7472,1
108,3.89,15,1.0,0.4,0.4,0.0,0.2,0.0,1.0,5.0,0.2,1.0,0.36,0.2,0.07200000000000001,2,0.2,0.4,0,0.2,0.0,2.2,1.8719999999999999,0.4,0.5,0.3744,0
109,3.89,13,0.0,0.2,0.0,0.06,0.2,0.012,0.06,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.412,0.4,0.5,0.2824,0
110,3.89,13,2.63,0.6,1.578,2.55,0.2,0.51,5.18,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.4,3.488,0.4,0.5,0.6976,0
111,3.89,13,0.0,0.2,0.0,0.87,0.2,0.174,0.87,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.574,0.4,0.5,0.3148,0
112,3.89,36,10.96,0.6,6.5760000000000005,41.47,0.6,24.881999999999998,52.43,5.0,0.2,1.0,35.21,0.6,21.125999999999998,2,0.2,0.4,1,0.4,0.4,4.2,54.38399999999999,0.8,0.5,21.7536,1
113,3.89,6,0.0,0.2,0.0,0.23,0.2,0.046,0.23,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.446,0.4,0.5,0.2892,0
114,3.41,34,4.25,0.6,2.55,45.51,0.6,27.305999999999997,49.76,5.5,0.4,2.2,8.2,0.4,3.28,2,0.2,0.4,0,0.2,0.0,4.2,35.736,0.4,0.5,7.1472,1
115,3.41,18,1.98,0.4,0.792,51.42,0.6,30.851999999999997,53.4,5.5,0.4,2.2,20.33,0.6,12.198,2,0.2,0.4,1,0.4,0.4,4.4,46.842,0.8,0.5,18.7368,1
116,3.41,25,1.44,0.4,0.5760000000000001,29.25,0.6,17.55,30.69,5.0,0.2,1.0,35.13,0.6,21.078000000000003,2,0.2,0.4,0,0.2,0.0,3.8,40.604,0.4,0.5,8.1208,1
117,3.41,39,1.52,0.4,0.608,37.33,0.6,22.398000000000003,38.85,5.5,0.4,2.2,63.7,0.6,38.22,2,0.2,0.4,0,0.2,0.0,4.2,63.826,0.4,0.5,12.7652,1
118,3.41,39,3.63,0.6,2.178,10.85,0.4,4.34,14.48,5.0,0.2,1.0,0.28,0.2,0.055999999999999994,2,0.2,0.4,0,0.2,0.0,3.0,7.974,0.4,0.5,1.5948,1
119,3.41,2,1.35,0.4,0.54,66.35,0.6,39.81,67.7,5.5,0.4,2.2,27.13,0.6,16.278,2,0.2,0.4,3,0.6,1.8,4.6,61.028,2.2,0.5,67.1308,1
120,3.41,39,9.97,0.6,5.982,88.73,0.6,53.238,98.7,5.0,0.2,1.0,10.27,0.6,6.162000000000001,2,0.2,0.4,0,0.2,0.0,4.0,66.782,0.4,0.5,13.3564,1
121,3.41,27,1.41,0.4,0.564,36.16,0.6,21.695999999999998,37.57,5.0,0.2,1.0,13.05,0.6,7.83,2,0.6,1.2,0,0.2,0.0,4.2,32.29,1.2,0.5,19.374000000000002,1
122,3.41,8,1.98,0.4,0.792,67.91,0.6,40.746,69.89,5.5,0.4,2.2,18.79,0.6,11.274000000000001,2,0.2,0.4,1,0.4,0.4,4.4,55.812,0.8,0.5,22.3248,1
123,3.41,11,10.08,0.6,6.047999999999999,22.31,0.6,13.386,32.39,5.5,0.4,2.2,16.82,0.6,10.092,2,0.2,0.4,0,0.2,0.0,4.4,32.126,0.4,0.5,6.4252,1
124,3.41,11,1.44,0.4,0.5760000000000001,9.65,0.4,3.86,11.09,6.5,0.6,3.9,10.03,0.6,6.018,2,0.2,0.4,0,0.2,0.0,4.0,14.754000000000001,0.4,0.5,2.9508,1
125,3.41,12,25.4,0.6,15.24,51.74,0.6,31.044,77.14,5.0,0.2,1.0,12.67,0.6,7.602,6,0.2,1.2,2,0.6,1.2,4.8,57.286,2.4,0.5,68.7432,1
126,3.41,12,3.21,0.6,1.926,72.07,0.6,43.242,75.28,5.0,0.2,1.0,13.79,0.6,8.274,6,0.2,1.2,1,0.4,0.4,4.6,56.042,1.6,0.5,44.8336,1
