,20140101_N,max_ndvi,20150720_N,20150602_N,20150517_N,20150501_N,20150415_N,20150330_N,20150314_N,20150226_N,20150210_N,20150125_N,20150109_N,20141117_N,20141101_N,20141016_N,20140930_N,20140813_N,20140626_N,20140610_N,20140525_N,20140509_N,20140423_N,20140407_N,20140322_N,20140218_N,20140202_N,20140117_N,class
9664,511.149,7738.67,2488.47,2795.94,479.47,5837.87,6468.79,3708.04,4391.29,1606.68,2455.96,398.765,817.893,7685.56,2265.55,7738.67,800.128,651.1519999999999,3110.08,6540.54,6302.92,2262.23,2581.28,2711.82,400.51800000000003,519.658,4126.74,4078.17,farm
5672,497.575,7754.15,7549.2,7425.01,1105.78,7754.15,507.663,7593.52,2183.25,7689.61,7675.93,7569.84,676.4960000000001,3912.38,621.482,960.557,377.29900000000004,3032.76,1421.8,4010.62,6793.44,656.225,5174.19,748.6310000000001,6253.4,3317.66,7323.72,4530.43,forest
6569,436.38,7937.8,5704.57,829.696,3121.35,7937.8,253.753,577.823,437.978,1896.52,640.375,749.2710000000001,342.595,1299.75,283.22,1018.25,316.28700000000003,1214.24,1295.01,562.181,6904.68,7730.38,992.798,202.736,2086.82,311.29900000000004,6340.77,297.986,forest
10524,2068.65,2768.79,2768.79,1847.4,548.539,1896.19,1773.74,1883.42,1801.24,501.853,1670.8,2192.58,364.17900000000003,961.5060000000001,1010.31,671.951,1003.61,880.2760000000001,1954.73,2327.52,2088.66,1692.72,1628.76,410.68699999999995,354.899,286.322,1514.27,1723.38,impervious
10525,1136.12,3400.0,2934.6,1737.18,1465.29,1964.74,2384.67,1369.24,2329.74,1561.59,2252.08,2636.56,2411.78,3345.41,2585.9,2818.68,2658.77,600.006,2267.47,3400.0,992.7189999999999,2089.2,1909.96,1721.18,2126.45,2124.54,2040.31,1835.64,impervious
8513,870.6060000000001,4662.19,4234.65,3684.88,3575.34,1737.5,1429.7,3758.68,3139.25,2959.39,2399.7,3440.17,4123.5,4662.19,3373.48,548.5419999999999,4224.88,2104.19,3976.06,3595.27,3538.71,2703.23,3374.82,2997.07,626.332,453.561,2501.54,2457.78,farm
6945,7585.63,7585.63,7278.84,6908.46,3761.84,5725.8,2153.73,6709.88,2065.96,6456.94,6875.41,7294.33,758.4,1048.74,459.61800000000005,723.439,387.63699999999994,3354.4,1166.06,5688.49,988.455,1500.49,5452.57,517.179,6410.64,1368.89,6681.96,3408.96,forest
9402,591.97,6668.75,6199.9,5206.78,6033.33,6381.32,5654.09,5614.09,5517.92,5784.68,5687.04,5540.62,1369.8,6668.75,5369.23,4933.62,5573.08,622.686,2239.03,650.274,4791.99,4586.62,3886.89,2708.5,458.13599999999997,530.5369999999999,3360.28,2553.92,impervious
7457,5119.45,7987.22,7297.43,7987.22,7903.14,7906.65,388.12699999999995,844.14,6919.88,3417.58,7007.7,7110.58,4623.66,2316.49,5545.52,324.85400000000004,3852.6,1612.38,6692.31,7836.21,4848.28,4504.55,6938.88,5123.17,3605.52,1373.81,7455.34,7204.6,forest
10324,7084.93,7687.4,7110.28,1755.01,5635.0,5361.36,1622.57,7622.46,3167.08,7663.96,4728.55,7595.35,980.8510000000001,3771.45,5433.32,4130.53,1735.72,672.7280000000001,4837.7,3603.27,1053.84,6199.86,5964.71,3265.07,2770.02,872.188,7687.4,4646.1,grass
3175,556.386,8274.77,2729.02,7125.6,6692.26,6253.91,6482.8,6729.43,5181.9,7543.6,7679.44,7659.84,523.8969999999999,8027.9,5610.09,8274.77,7414.06,876.697,5164.95,7750.1,6155.78,1627.48,5453.53,5428.21,1073.2,6544.64,7467.78,7466.93,forest
2152,916.065,8388.73,2788.24,7660.92,2307.83,5895.87,6730.9,7087.97,1641.87,4293.37,7544.02,7825.93,6632.47,6674.88,7599.1,8388.73,6661.55,719.8969999999999,2956.05,7844.97,2796.53,2826.77,811.472,1031.85,3873.38,4353.48,7058.49,5209.04,forest
252,717.932,7998.51,7487.08,7973.44,7998.51,7926.0,4104.16,7123.67,7102.15,7758.13,6231.36,4922.05,5865.88,3249.07,6181.12,298.113,2787.53,1895.8,6551.58,7873.25,7277.58,7117.95,6963.9,2143.62,798.1239999999999,6269.08,6673.97,7644.07,forest
5314,6075.55,7728.46,7638.37,4831.56,3784.83,6808.95,3937.39,7728.46,4887.17,1945.98,3188.76,7633.4,1345.37,712.273,338.01300000000003,848.691,468.952,3282.97,700.946,2315.77,1603.24,547.273,999.422,524.488,7373.31,2586.32,6778.39,632.03,forest
3396,6925.21,7813.48,1249.06,7697.13,7813.48,7171.1,361.32599999999996,821.538,5105.26,7661.27,4582.34,6322.28,1378.8,2727.52,1704.49,1270.57,649.336,1801.0,1940.92,857.821,4756.14,571.545,5294.65,2737.71,6854.98,710.868,7505.8,831.697,forest
9367,1144.71,1906.95,1872.75,1906.95,355.735,1366.51,1248.21,1477.28,1170.81,1570.18,1450.06,1542.42,505.033,1214.63,579.479,1449.1,1365.83,1444.09,833.9839999999999,1574.11,1618.6,1358.6,556.964,289.384,476.744,375.69599999999997,1313.05,369.653,impervious
2204,1234.65,7870.09,1915.46,2055.13,442.042,2935.23,7041.48,2370.84,5666.29,7288.9,7229.07,6964.68,672.6010000000001,2529.59,6629.07,3700.84,6899.79,297.823,3121.47,7870.09,806.809,733.013,4943.55,7583.33,1148.4,6034.55,7290.95,713.7689999999999,forest
6283,511.35900000000004,8042.6,7646.99,1003.37,8042.6,7860.94,341.795,738.7510000000001,394.93199999999996,7157.1,850.084,421.175,367.49199999999996,3184.07,254.872,1004.21,461.329,1417.5,1272.4,2891.06,1157.47,7355.94,1263.47,289.505,475.061,328.075,7046.17,344.28,forest
4420,6613.01,7576.5,503.47,1983.47,1535.78,2961.74,293.35,7576.5,976.1439999999999,1253.34,5474.91,7055.42,3421.22,675.915,1210.99,717.948,580.526,4122.31,2010.92,2799.41,415.85699999999997,556.9540000000001,6103.99,365.985,1108.27,4182.32,6431.31,2885.3,forest
10343,3863.24,6833.54,6833.54,5139.05,4802.38,4682.56,4755.97,5016.23,5187.65,4493.49,5886.33,4290.92,5147.33,3375.45,5586.61,5833.33,2997.56,688.227,4230.23,2426.96,3809.35,1795.8,2614.02,1719.38,1282.2,823.3,5779.1,1906.89,grass
5078,437.461,7765.9,7765.9,7306.18,2397.51,4379.91,257.572,810.794,1650.1,5969.69,441.166,297.717,610.499,1357.3,361.405,931.584,339.668,1189.06,1638.68,525.674,6132.39,7482.94,1913.35,246.632,986.76,351.57800000000003,6810.06,244.54,forest
7994,294.66700000000003,1242.46,620.805,212.25,316.6,452.142,286.678,49.58,582.192,392.49199999999996,848.034,522.876,338.145,606.98,823.255,794.743,616.405,469.777,653.4830000000001,302.905,1242.46,673.3610000000001,655.323,704.545,488.00199999999995,387.273,401.82,525.898,impervious
8999,1505.47,6589.16,4642.22,6168.01,2850.78,6589.16,2847.18,6106.9,1873.06,3366.94,6351.1,5595.99,400.324,1961.82,4645.93,374.80400000000003,1299.44,1966.13,3951.65,6069.49,5286.01,5873.61,5681.4,2313.65,1171.71,1451.56,3941.06,4517.0,farm
7588,660.926,8107.46,8107.46,610.6569999999999,6025.83,7714.03,2225.51,8043.85,7557.66,1082.43,2399.86,6017.83,1921.53,844.135,3659.47,2802.26,1376.03,1407.89,5244.62,4763.78,7098.02,794.908,3712.96,3823.05,525.386,3184.92,7434.56,495.787,forest
8990,1133.16,4350.29,3608.09,2900.82,1844.01,1668.33,1782.03,1793.44,2020.86,1056.49,960.704,2895.36,2099.9,2856.95,3142.12,4350.29,3304.62,909.834,1772.9,841.1339999999999,2611.82,2117.12,1492.82,1704.98,1300.01,766.975,1834.21,2390.74,impervious
5130,1264.35,6663.73,5699.05,2876.08,3335.71,6663.73,360.291,2029.79,943.324,3389.22,1062.26,74.9626,533.322,1218.15,518.016,1009.55,323.752,1498.39,2219.3,393.996,4742.01,996.931,4847.87,280.284,1702.56,389.73,4776.0,334.32300000000004,forest
705,1177.24,8268.45,7945.7,8168.95,8137.67,7502.73,7492.57,7752.99,7358.63,7903.54,7883.56,7906.86,2567.82,8268.45,3730.88,2507.48,520.02,1521.11,2412.62,7267.7,622.243,2328.75,469.699,7455.91,3250.15,1317.51,7960.24,7736.12,forest
2618,712.5939999999999,8195.35,7813.22,8195.35,8052.72,2795.52,6828.0,7770.55,493.999,7994.04,7026.78,7834.38,5793.61,7948.54,3485.9,6062.5,978.2460000000001,1013.75,4725.59,2606.75,703.24,3374.25,757.7869999999999,5213.94,963.177,7503.57,7599.18,7330.38,forest
2126,712.674,8253.43,5880.87,8144.51,7622.19,1548.79,2061.26,7888.67,5548.92,672.5889999999999,5982.64,7903.41,1329.87,2091.36,7328.03,8253.43,6801.7,483.80199999999996,1227.16,7880.45,1554.83,4960.06,1221.49,1661.57,824.275,1001.04,7770.23,1052.47,forest
5703,441.916,8040.71,7638.06,531.194,5128.71,8040.71,326.748,466.226,351.41900000000004,7885.23,822.513,1239.18,249.213,5366.12,320.466,909.319,443.267,2434.8,1066.65,7738.33,7429.54,415.264,3401.05,561.229,375.07800000000003,348.314,7458.29,380.42199999999997,forest
9066,5334.8,7717.05,6886.08,1661.04,3078.01,2327.93,686.185,4902.2,5234.16,4407.12,4906.43,307.093,830.135,1826.23,296.982,833.8489999999999,787.607,1047.94,2587.07,971.7389999999999,366.92,2190.15,3009.69,760.2539999999999,600.7669999999999,792.692,7717.05,396.34,farm
2446,1493.99,8265.68,7443.41,8139.08,8094.94,7432.66,7392.07,7792.63,796.566,2175.46,7746.26,5787.56,1432.6,8265.68,5371.6,7852.6,6215.51,869.613,4109.08,5938.06,6100.54,4122.43,1079.62,3687.23,2302.54,1206.92,7659.05,7246.7,forest
397,720.959,7927.84,7927.84,7912.14,1513.67,1066.14,517.934,3592.81,6678.33,1710.97,1384.8,878.688,413.415,822.52,536.855,2468.11,1492.03,1711.54,6035.96,780.3919999999999,6907.45,6462.26,1114.09,1370.5,4372.32,322.828,7816.01,491.69300000000004,forest
8581,5278.94,7811.37,2653.77,1986.56,5675.32,3207.99,4013.15,7089.46,7111.14,5665.4,1596.88,5848.71,1626.79,2965.69,4296.7,922.918,267.065,1605.53,3900.97,3480.9,5214.96,5979.74,5082.3,2327.53,752.3530000000001,6007.44,7811.37,579.891,farm
10521,461.786,3788.56,3295.01,2904.62,2232.32,2171.32,2653.8,2419.41,2323.56,2076.1,2522.75,2694.41,1532.13,2559.21,2935.64,3788.56,3520.99,531.716,1359.78,3329.99,2535.89,2555.23,2085.1,725.931,647.138,1047.44,2478.78,1399.34,grass
5062,482.13300000000004,8164.71,1013.48,7864.8,8164.71,8019.34,295.225,7743.38,5785.98,6111.52,1662.94,3268.31,558.038,979.3589999999999,430.026,1020.45,459.68300000000005,1767.08,1521.88,792.692,820.047,315.185,7162.92,315.411,1698.49,1505.07,6890.97,543.7330000000001,forest
2104,1195.72,8471.1,3405.44,8471.1,2035.38,2004.38,6170.9,8008.58,1540.91,7863.47,7718.88,2331.95,989.174,6088.07,5248.38,8231.4,3744.17,481.465,1682.31,8247.61,6640.76,5074.22,549.325,2529.42,1168.71,4537.87,7452.05,2315.98,forest
9952,803.4110000000001,1952.47,511.346,90.7709,-30.2721,77.8578,572.62,1549.02,278.086,6.07386,-1.9902900000000001,123.073,180.187,340.721,466.746,977.556,482.639,1361.07,1952.47,181.07,1192.0,677.795,710.425,1159.44,168.18,1027.47,-28.9997,758.387,impervious
4711,411.648,8094.27,7705.25,715.19,8094.27,7947.2,379.87699999999995,425.556,595.429,4719.66,3287.75,2060.95,365.125,3589.11,301.237,977.8389999999999,400.51300000000003,1653.75,1173.26,7727.18,829.303,1237.49,6801.64,360.19699999999995,612.39,314.536,6938.81,424.061,forest
4773,2047.64,6163.93,6163.93,961.2869999999999,6121.35,5924.18,438.23199999999997,301.7,1070.5,2270.33,2091.65,625.319,331.389,2016.25,478.718,1064.52,728.579,1868.07,1757.29,541.368,4770.56,423.23400000000004,4522.91,310.33,4532.09,761.447,3139.53,445.22,forest
3213,1864.33,8504.96,4710.34,8271.53,7932.74,6463.91,5967.27,6609.24,755.988,7100.88,7570.28,7867.47,1244.69,6173.52,6269.14,8504.96,2230.81,657.357,3905.1,7770.48,4231.58,3311.34,669.96,5530.49,1055.91,6255.92,6794.93,1587.09,forest
6083,6984.63,7417.31,7355.26,6791.22,5106.67,2537.18,973.21,5523.68,6481.22,5317.58,2569.98,7417.31,911.768,1168.26,315.86,881.4639999999999,417.24,3295.48,732.035,5757.73,3988.85,454.135,4475.34,370.00199999999995,6856.95,572.327,6847.0,702.5160000000001,forest
4067,370.719,7637.4,2465.0,482.841,726.5939999999999,7233.49,234.238,5454.4,6037.0,7464.43,2937.87,7637.4,751.5169999999999,886.7360000000001,307.14599999999996,2297.39,1653.73,1819.61,3992.11,830.554,7205.66,1562.05,715.7589999999999,2452.55,2580.54,356.00699999999995,7481.96,1727.91,forest
