20140101_N,max_ndvi,20150720_N,20150602_N,20150517_N,20150501_N,20150415_N,20150330_N,20150314_N,20150226_N,20150210_N,20150125_N,20150109_N,20141117_N,20141101_N,20141016_N,20140930_N,20140813_N,20140626_N,20140610_N,20140525_N,20140509_N,20140423_N,20140407_N,20140322_N,20140218_N,20140202_N,20140117_N,Label
463.586,6883.49,5301.62,6723.0,3748.97,3309.12,1259.81,2459.04,3365.83,4943.6,4647.76,6145.6,1205.51,5239.64,2562.11,6883.49,1583.94,777.678,3140.09,641.175,4479.96,3110.94,2830.84,1083.35,1216.71,2895.77,4602.15,1587.41,1
1696.91,7630.39,7134.77,7630.39,1679.88,7548.67,693.4110000000002,4465.48,4608.84,862.8910000000002,1068.08,6865.38,4821.29,5575.79,5591.0,303.434,4180.94,2756.45,5040.37,7623.19,6709.07,537.534,6507.22,5358.25,602.965,2999.15,7445.87,848.09,0
737.29,7878.62,7561.42,7847.4,2866.58,7393.65,7336.12,7381.48,582.492,7460.03,7651.34,7611.21,6936.97,4715.77,7284.19,2584.65,5888.4,621.241,4243.98,7878.62,2570.51,3064.96,239.24,1053.8,507.085,1458.64,7260.0,7292.04,0
517.748,1786.24,1018.83,786.334,791.3960000000002,859.3530000000002,809.9169999999998,785.3810000000002,876.541,827.0939999999998,904.456,613.123,486.099,1023.53,1065.95,1786.24,1154.61,487.372,661.4789999999998,1640.46,1041.35,915.344,414.003,411.818,490.145,359.7030000000001,1013.2,651.743,1
584.382,7944.42,7772.09,1274.07,355.352,7664.1,354.491,763.698,6821.56,1214.05,1061.6,1584.73,323.607,597.2919999999998,298.6740000000001,1792.61,495.154,2065.76,4904.13,1109.34,7093.83,4925.98,411.18300000000005,872.535,1047.7,259.348,7944.42,701.1560000000002,0
2423.12,6681.09,6681.09,4714.55,1490.54,4652.49,1872.1,5054.61,3129.67,5013.04,6049.38,4563.94,1656.09,5485.78,1279.07,4757.07,3058.85,1989.69,3274.73,5595.34,4711.75,3090.41,1438.67,2461.77,1689.86,1074.79,5663.42,2097.45,3
1458.87,7231.5,599.831,723.92,3566.62,1460.23,274.926,7231.5,6619.72,4808.43,3378.02,7060.82,869.3910000000002,542.4590000000002,900.539,742.823,1258.38,3263.81,1194.07,1431.63,1721.31,564.349,6045.65,383.404,910.012,5329.65,6688.15,1582.91,0
711.967,7155.59,7155.59,6887.68,2772.7,908.588,668.013,5638.41,4532.21,3779.47,2674.61,2382.49,4885.97,4596.43,1547.07,665.75,3046.96,1136.92,6937.48,6805.08,1602.75,4575.08,4825.94,5204.45,578.059,315.473,2843.53,3261.27,2
2139.15,8069.14,2964.87,3871.7,7640.23,6541.47,6398.03,6360.39,494.352,7096.73,6958.31,7231.21,3586.88,8069.14,4985.22,7052.14,3635.62,452.716,2971.02,7947.23,1434.68,2946.41,342.267,647.905,3395.1,2603.95,5835.55,3874.43,0
2852.17,2918.04,1713.06,1336.27,972.232,982.248,693.8910000000002,980.537,1416.0,913.886,1140.58,657.748,626.918,2918.04,1355.56,2658.93,1551.05,1816.94,2102.87,1398.81,1616.69,1487.74,681.2460000000002,1304.27,385.15,318.721,2150.66,2305.44,1
1929.87,6681.54,6681.54,674.432,2018.43,6503.31,252.147,1719.79,6188.43,1247.02,538.3430000000002,5235.38,3923.94,778.796,2390.66,2649.82,4518.66,2252.51,4327.69,500.539,5916.25,816.65,4908.16,1842.59,1977.01,1552.16,5751.15,1090.85,0
6262.57,7818.33,4219.65,797.863,7818.33,4214.4,485.42,7527.44,5241.56,805.2639999999999,7368.2,7137.34,6162.98,491.723,4651.82,808.605,283.394,3902.95,1739.03,1689.1,852.905,386.067,6827.01,549.985,1475.43,3152.72,5778.27,3651.33,0
830.45,8193.09,2269.54,7767.66,7933.96,7861.17,764.8810000000002,4841.04,2531.32,1395.66,3732.73,7496.56,6463.84,5116.2,2900.13,1355.01,2597.46,2309.53,3581.48,3178.51,1320.43,3128.04,3077.04,2598.94,6930.04,602.419,8193.09,1604.58,2
1272.15,8139.16,5646.36,8139.16,1276.52,5104.64,1772.61,6903.88,2281.82,504.702,6040.31,1928.83,2318.39,3822.82,2707.54,6820.32,872.635,539.186,1278.04,8006.63,706.7919999999998,3618.08,848.546,677.707,964.95,6471.41,6293.34,2512.98,0
2447.46,8454.6,2985.34,8454.6,3502.32,7616.75,7723.55,7923.33,601.544,8109.71,8079.22,7866.72,3615.73,8342.28,7382.06,8018.26,4363.52,515.085,4065.9,8209.53,6793.68,3204.06,325.064,605.766,4955.36,1173.73,7925.8,7992.5,0
1301.93,8238.37,7887.26,6527.16,7203.71,8238.37,363.884,7920.49,6058.53,479.723,630.439,7000.31,1097.33,526.4119999999998,291.21,3205.69,565.831,1796.41,5241.73,2818.22,5218.3,1023.85,5559.11,2396.17,6387.91,532.0980000000002,6628.92,743.818,0
5303.61,8293.09,6291.26,7976.39,687.1669999999998,3094.83,3174.9,7899.03,1543.19,7691.08,7713.96,6886.68,1009.21,3357.98,5779.73,8293.09,3584.07,542.435,4086.41,8167.92,6244.96,4943.85,5578.23,6421.04,825.492,3593.72,7650.32,2183.47,0
847.7260000000001,7091.96,5102.9,6996.71,201.956,6130.95,6439.3,6818.67,523.379,593.067,6357.93,6504.84,397.83,1566.24,915.435,1602.51,1807.54,890.3539999999998,3998.8,7091.96,4953.24,3463.52,395.249,438.907,340.747,691.058,6010.04,1762.23,0
947.541,8101.81,5413.29,8101.81,6597.84,7578.02,7600.38,4342.03,7036.05,7643.45,7337.56,7379.46,1594.19,4210.73,3965.4,7794.24,1794.01,522.097,1439.78,8015.97,258.964,3190.21,893.625,2234.86,7555.6,1656.99,7417.04,7245.06,0
1532.07,8139.41,6318.01,3807.57,8139.41,5737.56,6064.25,6291.21,5535.17,7601.31,4394.91,6081.48,1337.03,7195.26,4315.42,7601.88,1487.35,441.127,4848.6,8091.45,6094.78,5110.79,3590.74,2316.04,1043.08,634.969,7521.66,5808.64,0
1430.29,7899.95,7451.84,6943.76,6867.35,1494.11,484.376,6517.0,2172.83,6389.61,7694.7,2873.59,837.648,786.331,2053.08,7899.95,7498.72,655.687,3936.27,7639.53,5725.19,4191.47,2027.14,740.438,872.318,1682.76,7325.88,7357.7,0
6065.63,8069.72,7896.33,1938.67,1638.97,5494.42,1440.58,6193.53,5835.24,1290.73,3125.85,8069.72,5962.33,542.464,402.655,1462.3,718.387,3594.32,723.998,6433.56,3167.1,958.249,714.485,384.959,6969.83,3142.71,6973.98,631.981,0
943.689,5446.55,4847.61,4717.06,4207.73,3607.8,4094.61,4040.47,3418.74,4199.72,4100.31,2953.87,983.375,2640.15,4870.86,5446.55,4470.2,652.071,2578.3,4520.48,5045.02,3687.95,3045.07,1847.36,1155.99,2754.53,2597.76,3609.48,1
7604.69,7874.96,6217.36,7629.13,7874.96,7867.59,226.996,5052.35,7374.37,2246.07,982.827,7603.49,6704.53,1332.7,1498.18,655.373,557.673,2747.05,3471.38,2305.36,6112.28,879.425,6990.67,354.38,2317.07,2244.18,6983.69,870.341,0
737.76,6626.17,4398.04,3147.84,3339.78,3397.35,2857.04,3861.46,4081.76,5168.04,5225.68,1117.96,634.737,6586.75,1782.48,6626.17,897.7,906.409,2388.22,6248.96,3483.93,3339.54,2034.76,1695.49,1214.73,1873.96,5205.89,2871.62,2
3568.91,6781.64,6781.64,919.134,5068.81,5351.58,3133.64,5809.28,6124.34,2727.2,2103.59,6284.47,2062.34,533.571,549.03,1121.84,515.489,2870.1,835.2460000000002,5158.59,4793.12,2057.6,436.129,236.569,1642.14,2564.46,5780.69,570.299,0
582.075,7735.21,1948.29,7735.21,826.06,5333.61,5618.22,7373.13,2281.21,4370.49,7597.26,4512.48,2148.12,3063.73,5809.71,7228.04,718.578,630.281,1491.27,1735.84,241.971,2966.44,1073.87,770.283,2047.92,7036.16,7554.11,1575.92,0
807.387,1713.32,1713.32,1313.51,295.035,1396.7,1228.92,1357.33,687.556,407.075,982.295,1226.31,537.221,747.095,534.178,1305.36,708.299,696.212,1492.0,1229.84,864.944,1235.63,643.317,389.031,421.941,409.72,991.508,1054.96,1
3584.98,4087.18,3000.91,4087.18,394.351,3341.91,3527.94,2936.59,498.051,880.966,2843.03,2573.79,351.9430000000001,621.24,608.5369999999998,854.005,516.3340000000002,697.332,2180.05,3378.92,3130.41,3609.44,1031.47,418.749,313.726,304.848,2953.78,2693.44,1
3305.04,3843.46,3321.46,2982.51,1621.74,2617.25,2671.31,2891.05,2789.01,3443.24,2761.63,3474.5,538.1759999999998,3429.7,3477.57,3843.46,3583.17,667.317,2062.9,564.825,2863.79,2415.4,2650.48,1759.31,893.398,1224.67,2569.88,3736.15,1
586.94,8260.57,7823.91,779.453,522.259,8260.57,239.991,8016.32,7578.04,5519.12,6770.1,7932.43,4191.58,1932.21,334.597,2374.42,635.16,2173.41,4506.59,2072.91,4269.81,1737.63,534.357,1573.03,745.934,259.621,7343.61,6366.85,0
2010.87,8148.06,7445.57,8148.06,1877.98,7462.64,1979.46,2191.42,636.98,4182.67,6211.83,4130.89,827.807,7795.86,6768.58,7848.96,4125.29,590.523,4151.94,7995.03,6388.7,4264.22,5617.0,669.1030000000002,1969.53,6983.9,6621.93,5709.76,0
757.03,8196.45,7557.98,1281.66,8196.45,7949.32,1072.02,2285.56,664.32,7877.98,7578.4,7919.72,449.661,2256.94,442.821,1097.56,651.566,2289.95,1443.6,7738.55,2901.33,2241.25,854.128,330.6430000000001,392.529,344.095,7186.65,775.9860000000001,0
-2244.71,1732.65,997.963,1140.72,-333.547,168.196,377.697,491.816,944.447,-1554.18,504.062,-2248.66,570.182,1252.67,1520.83,96.1142,914.95,1732.65,1505.52,-93.5588,364.567,1454.55,-1501.65,1008.84,446.86,623.568,728.691,-139.319,4
1116.78,8200.57,8000.17,557.164,751.572,8200.57,187.088,3271.86,7609.84,3919.33,413.4980000000001,7959.23,3510.12,609.279,444.853,2026.64,1485.78,1832.1,2348.45,849.8660000000001,7205.45,1531.26,1889.9,2331.15,7611.17,1604.23,7757.83,568.497,0
7195.87,7251.68,7151.57,6655.03,5619.3,6202.06,6521.65,4017.24,263.403,6548.66,5580.03,7251.68,2619.02,3315.3,691.5160000000002,1262.46,285.536,3450.21,1637.95,4543.24,5411.51,350.115,561.991,491.41,6118.25,611.112,6696.05,6726.84,0
3250.27,8052.61,6751.22,7947.64,7990.31,7120.72,6952.02,7151.54,4911.52,7377.77,7480.55,4141.28,5892.91,8052.61,1244.14,4890.54,4939.87,796.197,3053.19,7954.89,5468.52,2731.67,521.3290000000002,5461.67,930.145,647.507,7061.47,4764.16,0
6839.9,8270.77,7774.02,6232.7,2593.25,8270.77,1189.39,7950.99,1704.16,6130.69,8120.19,7623.3,5258.99,765.65,762.064,755.4110000000002,628.847,3851.49,3011.55,3919.6,490.117,7148.53,1414.77,562.008,576.195,2899.37,7627.84,4230.5,0
2407.94,7922.35,6023.63,7493.47,7381.93,7922.35,214.132,3474.95,1887.82,3962.42,1186.14,2880.63,1305.78,6246.37,725.9960000000002,1434.92,632.554,1602.22,3015.71,907.875,4690.25,937.069,7375.32,304.036,6355.46,989.011,6145.15,486.351,0
508.987,7978.18,7667.16,7819.7,7594.88,6918.11,4118.16,3336.07,960.235,5601.5,6510.51,7753.34,1121.89,6245.39,1025.83,7978.18,2572.27,592.1,3484.93,7915.91,511.352,4235.28,3926.86,5299.6,1700.43,5166.0,7319.38,6673.31,0
5818.85,8146.24,7804.9,3470.2,7202.77,6012.21,6125.4,6476.11,6404.1,6826.55,6196.1,7341.26,2026.94,8146.24,1073.86,2458.18,2426.52,930.188,1216.82,7320.6,5197.5,3224.48,1144.1,5275.76,2422.11,3375.24,6964.29,6084.4,0
795.185,7525.0,6577.69,4590.25,1219.62,1876.99,7025.09,5896.82,1319.41,717.0360000000002,1215.42,7380.68,1383.27,1665.96,476.157,743.8860000000002,455.006,4096.0,661.852,7525.0,2433.44,6974.14,6944.92,357.612,2388.41,4039.07,6702.63,644.56,0
555.102,8379.02,3829.67,8379.02,4291.99,8069.74,6521.29,8002.19,6880.86,7844.05,1531.4,3035.62,1256.11,4947.42,7068.03,4472.36,7251.37,431.636,4611.39,2377.8,3378.4,4679.22,954.732,1529.27,980.889,851.9839999999998,7296.1,4450.21,0
733.301,7366.77,6682.89,970.734,1185.97,5526.88,293.4,3846.49,1297.44,4886.29,7366.77,7274.81,6407.44,1376.94,391.032,1896.04,1458.15,1487.39,4183.14,7252.01,1029.05,2133.97,239.123,1049.9,5189.13,286.551,6881.45,4461.39,0
717.932,7998.51,7487.08,7973.44,7998.51,7926.0,4104.16,7123.67,7102.15,7758.13,6231.36,4922.05,5865.88,3249.07,6181.12,298.113,2787.53,1895.8,6551.58,7873.25,7277.58,7117.95,6963.9,2143.62,798.1239999999998,6269.08,6673.97,7644.07,0
482.319,7897.68,7856.77,1805.29,2295.38,7217.9,707.675,7897.68,1359.76,632.689,639.757,492.345,273.757,2036.45,928.721,528.1469999999998,663.38,1050.59,1577.58,7673.32,6908.61,6318.73,2326.23,401.277,1738.0,631.069,5587.65,1075.08,0
2919.69,7661.31,7661.31,3770.57,2719.45,2191.21,608.611,2566.79,4734.95,6117.11,5686.1,7504.49,7493.46,831.5889999999998,767.934,2655.46,1585.35,1694.7,4445.67,1878.17,2704.01,3034.54,1813.37,3514.92,3290.15,841.842,7130.46,6243.77,0
8195.91,8195.91,8191.62,5640.22,497.955,4394.25,7233.87,7602.52,930.162,8061.27,8116.43,8189.42,4548.32,1904.62,592.362,1513.02,282.526,4120.37,657.37,7011.21,6019.03,2407.78,1009.1,523.439,7293.3,1516.2,7388.17,2610.07,0
950.95,7764.13,7764.13,4092.41,3156.88,7664.34,339.77,7748.56,7512.84,530.092,4329.31,7682.44,2723.98,1998.02,895.758,3011.91,1609.61,2451.11,6114.84,672.091,6758.21,800.426,6688.25,5437.08,2394.9,604.616,7393.11,460.135,0
6923.25,7825.9,7304.49,7825.9,4104.18,721.475,4896.16,497.6230000000001,3939.27,787.576,682.0419999999998,5585.98,2292.72,1656.17,3774.83,3602.55,289.94,1626.75,2877.99,2653.84,6289.75,7752.39,6429.3,533.2819999999998,809.299,477.052,5121.98,837.9910000000001,0
2721.45,6058.2,5148.01,4112.42,1225.52,3369.69,3615.37,4491.37,4422.35,4408.23,5568.25,5474.32,583.325,4374.61,606.015,6058.2,2773.03,2501.12,3267.39,5478.58,4389.52,3656.53,3745.6,1348.85,1627.21,954.202,4730.57,2466.19,3
1383.81,4506.3,3921.43,4506.3,3325.02,3420.83,3071.37,3487.31,2655.03,2751.96,3243.38,3061.4,484.812,4155.39,2483.91,3768.39,1055.82,595.96,1864.99,429.166,4119.11,2854.85,2890.79,1457.21,1127.38,2292.89,3540.64,3505.24,1
1514.86,7992.73,6262.48,7992.73,7662.59,6931.63,6894.92,6905.71,766.8589999999998,7852.86,2383.37,7918.82,2871.6,2411.69,4578.79,4906.37,2223.39,537.011,1385.7,5450.54,5243.46,2734.69,2423.24,3629.83,5377.29,7017.03,7642.4,2381.82,0
858.8989999999999,7895.34,7481.77,1462.16,6624.23,7895.34,543.534,2966.76,4206.57,1790.52,961.161,6094.51,529.82,3180.7,932.321,859.092,493.076,1346.9,2161.51,7848.76,6838.56,566.861,6338.78,411.345,5216.55,414.393,5611.57,837.428,0
602.521,7956.61,7902.57,1802.64,2001.88,3978.77,624.599,7956.61,1371.58,2069.78,809.716,669.2689999999999,177.11700000000005,3570.83,509.538,547.405,617.95,1738.07,2182.16,7661.92,7503.43,4162.11,1983.31,378.084,3778.92,593.748,6387.9,1562.06,0
6829.06,8177.64,7681.01,4145.95,5743.9,8177.64,5733.78,1293.38,620.697,8015.39,6320.2,8045.16,1205.74,2506.25,1313.71,1184.29,279.524,4064.35,874.487,7806.4,6255.97,7276.77,1573.4,366.512,1565.88,402.388,7249.46,7388.89,0
521.5,7969.2,7969.2,7905.75,2801.85,1447.68,287.17,6308.52,1266.62,4557.37,783.1210000000002,350.457,809.69,1060.35,363.342,889.497,276.332,956.181,2536.4,1755.58,7299.41,2765.69,5543.49,208.361,1293.98,390.355,7234.35,344.641,0
1473.08,7944.93,6634.31,6618.06,2576.16,5325.03,464.09,1255.24,3910.53,3544.14,5445.54,7277.56,514.354,505.149,362.251,796.71,247.379,2431.39,3848.08,5210.88,1895.47,7944.93,809.164,1050.48,542.116,381.781,7565.01,1471.62,0
1972.27,7722.16,7722.16,6648.85,5805.08,5814.69,1194.5,6393.09,4803.14,6227.53,7003.4,5291.2,488.011,948.078,2437.04,716.41,592.121,550.977,6443.51,7351.04,4523.31,5877.04,5213.19,1802.97,5673.74,830.199,7168.44,922.963,3
