No,year,month,day,hour,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station_Nongzhanguan,wd_E,wd_ENE,wd_ESE,wd_N,wd_NE,wd_NNE,wd_NNW,wd_NW,wd_S,wd_SE,wd_SSE,wd_SSW,wd_SW,wd_W,wd_WNW,wd_WSW,Label
20507,2015,7,3,10,19.0,2.0,16.0,300,69.0,26.3,1005.6,9.2,0.0,1.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0
14612,2014,10,30,19,246.0,42.0,154.0,1900,2.0,12.7,1018.4,7.8,0.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.0
2405,2013,6,9,4,95.0,3.0,46.0,2200,2.0,19.9,1003.1,19.7,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.0
10793,2014,5,24,16,77.0,2.0,43.0,1100,55.0,21.0,1003.1,19.3,0.0,1.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0
20616,2015,7,7,23,121.0,10.0,49.0,800,116.0,26.5,1005.2,16.4,0.0,1.9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,71.0
29212,2016,6,30,3,42.0,2.0,54.0,600,40.0,21.5,1000.7,17.9,0.0,0.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42.0
23935,2015,11,23,6,18.0,8.0,32.0,600,54.0,-4.4,1032.4,-7.3,0.0,0.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0
16008,2014,12,27,23,403.0,104.0,178.0,5100,2.0,-4.0,1020.0,-8.0,0.0,1.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,356.0
7641,2014,1,13,8,120.0,98.0,79.0,2900,4.0,-5.8,1029.3,-16.4,0.0,1.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.0
24474,2015,12,15,17,9.0,3.0,26.0,600,44.0,1.4,1022.8,-15.6,0.0,4.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.0
23176,2015,10,22,15,21.0,3.0,37.0,500,29.0,10.9,1019.1,5.0,0.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21.0
20963,2015,7,22,10,81.0,2.0,70.0,1100,49.0,25.9,1000.9,21.3,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81.0
86,2013,3,4,13,13.0,4.0,19.0,400,88.0,14.8,1019.5,-15.5,0.0,1.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
30541,2016,8,24,12,78.0,8.0,40.0,1100,99.0,28.9,1000.5,21.1,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,68.0
20829,2015,7,16,20,39.0,2.0,40.0,700,78.0,24.1,1003.0,18.7,0.0,1.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.0
9378,2014,3,26,17,271.0,90.0,65.0,1900,181.0,22.0,1004.0,9.8,0.0,2.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,240.0
10626,2014,5,17,17,119.0,22.0,30.0,800,239.0,26.5,1005.5,4.3,0.0,2.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,119.0
14861,2014,11,10,4,87.0,4.0,82.0,1600,2.0,1.0,1020.0,-2.1,0.0,0.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,87.0
18696,2015,4,18,23,143.0,10.0,75.0,1200,48.0,16.4,1008.3,10.9,0.0,1.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,113.0
7178,2013,12,25,1,299.0,156.0,130.0,4800,15.0,-6.2,1025.4,-8.8,0.0,0.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.0
1815,2013,5,15,14,129.0,44.0,23.0,1300,202.0,27.5,1010.9,5.1,0.0,1.8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,69.0
766,2013,4,1,21,19.0,3.0,27.0,400,81.0,10.8,1019.2,-15.7,0.0,1.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16.0
15870,2014,12,22,5,143.0,57.0,81.0,2300,2.0,-6.0,1020.0,-15.3,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,98.0
17466,2015,2,26,17,19.0,6.0,16.0,400,84.0,5.0,1019.0,-22.1,0.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0
8910,2014,3,7,5,144.0,34.0,68.0,2000,2.0,-2.9,1027.1,-8.4,0.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,89.0
27055,2016,4,1,6,151.0,10.0,94.0,900,7.0,13.8,1000.2,7.8,0.0,1.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,85.0
28872,2016,6,15,23,37.0,2.0,47.0,600,63.0,21.5,998.2,14.6,0.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21.0
19927,2015,6,9,6,60.0,4.0,79.0,600,12.0,20.2,997.5,12.4,0.0,1.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0
20531,2015,7,4,10,46.0,11.0,61.0,700,44.0,23.8,1005.7,12.4,0.0,2.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0
23932,2015,11,23,3,33.0,8.0,32.0,800,51.0,-3.8,1031.9,-6.6,0.0,1.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0
32249,2016,11,3,16,307.0,20.0,112.0,2200,17.0,11.2,1010.5,3.2,0.0,1.8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,267.0
7740,2014,1,17,11,69.0,70.0,58.0,1500,14.0,1.3,1027.3,-7.7,0.0,1.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0
8720,2014,2,27,7,5.0,8.0,15.0,300,63.0,2.8,1027.3,-15.3,0.0,6.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.0
24469,2015,12,15,12,7.0,2.0,12.0,600,67.0,1.2,1022.8,-14.1,0.0,5.9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.0
31921,2016,10,21,0,35.0,2.0,39.0,900,15.0,11.0,1018.0,8.4,0.0,1.3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,35.0
16314,2015,1,9,17,53.0,10.0,38.0,400,56.0,4.0,1025.0,-17.6,0.0,0.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0
34841,2017,2,19,16,139.0,2.0,3.0,200,85.0,10.3,1005.2,-21.3,0.0,6.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13.0
2415,2013,6,9,14,6.0,3.0,27.0,400,42.0,17.1,1008.2,16.3,2.7,2.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0
24857,2015,12,31,16,71.0,19.0,92.0,1500,38.0,3.4,1026.5,-9.6,0.0,1.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,64.0
25841,2016,2,10,16,112.0,75.0,70.0,3600,64.0,8.5,1011.7,-12.1,0.0,1.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,112.0
3058,2013,7,6,9,184.0,29.0,122.0,2100,59.0,31.5,997.9,20.8,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,157.0
32682,2016,11,21,17,22.0,4.0,22.0,400,53.0,-1.5,1029.9,-16.9,0.0,4.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.0
8942,2014,3,8,13,231.0,97.0,90.0,2800,28.0,8.3,1016.2,-4.2,0.0,1.6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,185.0
32073,2016,10,27,8,65.0,13.0,53.0,1400,2.0,9.3,1023.9,2.4,0.0,1.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0
3935,2013,8,11,22,11.0,3.0,62.0,1300,19.0,25.4,1000.1,24.2,0.1,2.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60.0
7485,2014,1,6,20,167.0,68.0,89.0,2200,5.0,0.0,1020.6,-4.3,0.0,1.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,152.0
18994,2015,5,1,9,194.0,28.0,87.0,1800,31.0,21.2,1004.6,14.4,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,184.0
18044,2015,3,22,19,94.0,5.0,34.0,400,74.0,11.1,1022.7,-9.9,0.0,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30.0
15036,2014,11,17,11,25.0,22.0,34.0,500,49.0,9.0,1026.0,-10.0,0.0,2.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16.0
14041,2014,10,7,0,128.0,8.0,110.0,900,5.0,11.1,1016.1,7.4,0.0,0.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0
17271,2015,2,18,14,9.0,4.0,14.0,300,91.0,9.0,1024.0,-14.1,0.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0
1653,2013,5,8,20,125.0,20.0,66.0,1200,83.0,20.9,1009.6,10.7,0.0,4.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,103.0
25033,2016,1,8,0,17.0,11.0,45.0,500,31.0,-3.5,1024.1,-17.1,0.0,2.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17.0
486,2013,3,21,5,64.0,12.0,48.0,700,22.0,-0.3,1009.9,-4.4,0.0,1.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,63.0
8400,2014,2,13,23,238.0,104.0,101.0,3600,4.0,-3.5,1026.5,-8.4,0.0,1.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.0
29416,2016,7,8,15,132.0,10.0,26.0,1900,224.0,32.2,1002.4,21.7,0.0,1.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,132.0
27388,2016,4,15,3,49.0,10.0,75.0,500,10.0,10.0,1011.3,0.3,0.0,1.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0
22510,2015,9,24,21,26.0,2.0,37.0,600,77.0,17.7,1005.6,14.8,0.0,1.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0
18842,2015,4,25,1,157.0,10.0,116.0,1000,16.0,14.1,1013.0,4.9,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65.0
10806,2014,5,25,5,131.0,2.0,31.0,1000,36.0,19.9,1003.2,18.7,0.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,131.0
11097,2014,6,6,8,163.0,38.0,63.0,2900,34.0,24.6,999.9,18.8,0.0,2.2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,94.0
18782,2015,4,22,13,68.0,4.0,21.0,300,123.0,24.8,1012.4,-1.9,0.0,3.3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,33.0
22581,2015,9,27,20,78.0,2.0,102.0,900,28.0,21.8,1010.8,13.2,0.0,0.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0
3215,2013,7,12,22,107.0,14.0,9.0,1400,96.0,26.6,1002.9,23.7,0.0,1.2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,143.0
4542,2013,9,6,5,58.0,16.0,61.0,1500,17.0,18.0,1013.0,16.5,0.0,0.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.0
25575,2016,1,30,14,24.0,10.0,29.0,700,58.0,-4.0,1030.5,-24.3,0.0,1.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0
8050,2014,1,30,9,52.0,32.0,59.0,1200,14.0,4.5,1016.6,-20.0,0.0,3.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26.0
10135,2014,4,27,6,82.0,2.0,67.0,800,2.0,12.3,1016.9,8.4,0.0,1.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,66.0
10372,2014,5,7,3,160.0,25.0,103.0,2800,2.0,12.1,998.5,10.0,0.0,0.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,123.0
19031,2015,5,2,22,52.0,2.0,40.0,600,105.0,21.0,1005.4,11.9,0.0,2.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52.0
7818,2014,1,20,17,27.0,4.0,25.0,300,49.0,1.0,1027.6,-18.9,0.0,4.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0
8120,2014,2,2,7,163.0,41.0,54.0,2900,1.0,0.8,1008.9,-0.5,0.0,1.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.0
3632,2013,7,30,7,161.0,7.0,50.0,2000,3.0,26.7,994.9,24.5,0.0,1.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.0
826,2013,4,4,9,146.0,112.0,83.0,2799,25.0,9.8,1011.8,-5.0,0.0,1.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,81.0
24000,2015,11,25,23,11.0,4.0,17.0,400,56.0,-8.8,1031.2,-20.6,0.0,3.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.0
26736,2016,3,18,23,24.0,5.0,38.0,200,63.0,14.2,1012.6,-7.3,0.0,2.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0
25338,2016,1,20,17,126.0,72.0,93.0,3100,10.0,-4.6,1028.8,-16.2,0.0,1.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.0
27769,2016,5,1,0,169.0,19.0,32.0,1200,150.0,19.5,998.1,13.9,0.0,1.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.0
2496,2013,6,12,23,103.0,26.0,31.0,800,141.0,20.4,1004.6,14.1,0.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.0
33807,2017,1,7,14,139.0,13.0,60.0,2400,9.0,1.7,1019.1,0.2,0.1,1.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,139.0
29056,2016,6,23,15,81.0,16.0,28.0,1900,165.0,30.4,998.1,16.0,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,81.0
15244,2014,11,26,3,283.0,17.0,102.0,4600,2.0,-1.0,1010.0,-1.6,0.0,0.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,262.0
3115,2013,7,8,18,102.0,5.0,68.0,1399,83.0,26.4,997.8,24.6,0.2,1.3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,110.0
3804,2013,8,6,11,225.0,6.0,85.0,1500,40.0,31.0,995.6,27.1,0.0,1.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.0
10952,2014,5,31,7,187.0,74.0,104.0,3100,37.0,25.7,1004.8,12.5,0.0,1.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0
8862,2014,3,5,5,5.0,10.0,42.0,400,31.0,-4.5,1026.4,-18.4,0.0,0.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
25470,2016,1,26,5,43.0,8.0,19.0,400,55.0,-3.7,1023.5,-23.5,0.0,1.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17.0
33348,2016,12,19,11,128.0,33.0,79.0,2900,7.0,3.1,1021.7,-6.1,0.0,1.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,128.0
24855,2015,12,31,14,48.0,9.0,73.0,1400,45.0,3.1,1027.2,-9.9,0.0,1.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,48.0
1712,2013,5,11,7,177.0,15.0,102.0,1300,3.0,20.6,991.4,5.0,0.0,1.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,64.0
24003,2015,11,26,2,7.0,3.0,11.0,400,59.0,-8.9,1030.0,-21.0,0.0,5.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.0
22093,2015,9,7,12,28.0,2.0,37.0,700,92.0,27.2,1008.8,15.6,0.0,1.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20.0
13366,2014,9,8,21,56.0,4.0,46.0,500,88.0,20.4,1005.1,8.1,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.0
11683,2014,6,30,18,78.0,15.0,26.0,700,235.0,33.1,1000.0,13.7,0.0,2.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,50.0
11146,2014,6,8,9,104.0,31.0,57.0,1300,23.0,24.1,998.5,13.9,0.0,1.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28.0
5356,2013,10,10,3,187.0,15.0,38.0,1800,1.0,13.9,1002.6,13.3,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,169.0
12637,2014,8,9,12,97.0,19.0,25.0,1200,210.0,30.4,1001.6,16.4,0.0,1.7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,72.0
24051,2015,11,28,2,320.0,48.0,127.0,4300,8.0,-2.7,1023.9,-6.7,0.0,1.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,320.0
9474,2014,3,30,17,36.0,3.0,7.0,300,113.0,23.6,1010.0,-7.5,0.0,2.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.0
32773,2016,11,25,12,117.0,22.0,80.0,2000,9.0,3.4,1021.6,-8.3,0.0,0.9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,102.0
1842,2013,5,16,17,111.0,33.0,28.0,1100,197.0,24.9,1009.6,7.5,0.0,1.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0
21233,2015,8,2,16,82.0,2.0,26.0,1100,226.0,31.3,995.8,23.4,0.0,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,82.0
