No,year,month,day,hour,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station_Wanshouxigong,wd_E,wd_ENE,wd_ESE,wd_N,wd_NE,wd_NNE,wd_NNW,wd_NW,wd_S,wd_SE,wd_SSE,wd_SSW,wd_SW,wd_W,wd_WNW,wd_WSW,Label
22364,2015,9,18,19,116.0,2.0,58.0,800,71.0,22.9,1011.2,15.7,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30.0
10106,2014,4,26,1,40.0,2.0,18.0,400,55.0,13.2,1012.3,9.4,0.5,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30.0
3722,2013,8,3,1,19.0,3.0,27.0,500,103.0,23.3,999.5,19.9,0.0,0.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0
13924,2014,10,2,3,72.0,2.0,48.0,1000,2.0,9.1,1005.9,8.6,0.0,0.7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,72.0
34227,2017,1,25,2,180.0,39.0,110.0,3900,4.0,-4.65,1031.0,-11.7,0.0,1.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,175.0
8772,2014,3,1,11,5.0,24.0,26.0,600,64.0,9.9,1017.7,-18.3,0.0,1.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0
11612,2014,6,27,19,61.0,2.0,40.0,400,137.0,29.3,999.5,13.5,0.0,0.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.0
303,2013,3,13,14,6.0,7.0,14.0,400,74.0,8.6,1021.5,-13.8,0.0,2.6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12.0
15234,2014,11,25,17,205.0,30.0,95.0,1900,28.0,6.3,1017.0,-1.1,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,183.0
984,2013,4,10,23,64.0,4.0,69.0,1000,2.0,2.7,1012.6,-7.8,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,45.0
10736,2014,5,22,7,269.0,15.5,109.2,2300,6.7,24.8,1000.6,16.5,0.0,2.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.5
25430,2016,1,24,13,25.0,6.0,12.0,900,63.0,-7.1,1034.6,-28.1,0.0,3.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.0
11115,2014,6,7,2,14.0,2.0,44.0,600,12.0,14.8,998.3,14.3,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14.0
3926,2013,8,11,13,127.0,8.0,27.0,2100,131.0,31.9,998.2,27.1,0.0,1.9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,259.0
1581,2013,5,5,20,302.0,58.0,40.0,2100,148.0,21.4,1008.5,15.0,0.0,0.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,241.0
25025,2016,1,7,16,16.0,5.0,16.0,300,56.0,0.6,1024.6,-17.7,0.0,3.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16.0
3049,2013,7,6,0,110.0,8.0,62.0,1100,84.0,25.4,994.2,21.1,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30.0
33712,2017,1,3,15,423.0,24.0,199.0,6200,19.0,7.2,1016.2,-3.4,0.0,1.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,380.0
16320,2015,1,9,23,334.0,119.0,154.0,4000,9.0,0.0,1020.0,-11.4,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,294.0
2844,2013,6,27,11,103.0,47.0,49.0,2200,180.0,31.2,992.0,18.5,0.0,2.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,210.0
23757,2015,11,15,20,265.0,20.0,87.0,3900,8.0,9.5,1019.4,4.1,0.0,1.7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,265.0
3072,2013,7,6,23,39.0,12.0,16.0,800,179.0,22.1,995.8,21.3,6.7,1.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0
31356,2016,9,27,11,15.0,2.0,14.0,500,53.0,17.9,1018.0,2.4,0.0,5.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.0
16538,2015,1,19,1,45.0,9.0,12.0,300,68.0,3.0,1016.0,-15.7,0.0,3.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.0
12545,2014,8,5,16,160.0,5.0,42.0,900,221.0,28.8,999.4,21.1,0.0,2.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46.0
14382,2014,10,21,5,26.0,27.0,45.0,1400,25.0,12.8,1018.0,-3.5,0.0,1.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26.0
6720,2013,12,5,23,176.0,51.0,62.0,2200,2.0,1.0,1015.4,-8.5,0.0,1.7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,94.0
31792,2016,10,15,15,166.0,4.0,113.0,1700,2.0,16.7,1017.0,12.6,0.0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.0
19959,2015,6,10,14,103.0,7.0,49.0,1100,81.0,21.7,994.7,17.3,0.0,2.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,103.0
23982,2015,11,25,5,109.0,19.0,56.0,2300,3.0,-7.1,1026.4,-9.3,0.0,1.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,109.0
23946,2015,11,23,17,19.0,7.0,21.0,500,60.0,-1.7,1034.6,-10.0,0.0,1.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.0
5016,2013,9,25,23,98.0,4.0,76.0,700,1.0,10.5,1011.7,7.6,0.0,1.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.0
28435,2016,5,28,18,86.0,14.0,21.0,700,205.0,28.0,998.9,8.8,0.0,4.2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,46.0
21943,2015,9,1,6,15.0,2.0,14.0,600,52.0,18.5,1008.2,17.5,0.2,2.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15.0
4023,2013,8,15,14,94.0,8.0,22.0,1200,209.0,33.1,995.2,26.6,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,92.0
881,2013,4,6,16,3.0,6.0,12.0,400,91.0,14.9,1005.0,-11.6,0.0,1.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0
16317,2015,1,9,20,143.0,38.0,119.0,2200,6.0,1.0,1022.0,-12.4,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,119.0
32372,2016,11,8,19,99.0,5.0,83.0,900,6.0,6.9,1029.1,-3.1,0.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,66.0
25849,2016,2,11,0,166.0,78.0,73.0,2000,10.0,0.0,1013.7,-7.3,0.0,0.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,166.0
25893,2016,2,12,20,257.0,13.0,71.0,2600,3.0,6.3,1012.1,4.5,1.0,1.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,257.0
15712,2014,12,15,15,56.0,3.0,8.0,300,67.0,1.4,1028.0,-21.1,0.0,6.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0
24722,2015,12,26,1,494.0,8.0,104.0,8100,11.0,-3.5,1013.0,-3.5,0.0,1.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.0
9890,2014,4,17,1,166.0,29.0,113.0,1600,2.0,14.9,1003.1,5.1,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,87.0
4678,2013,9,11,21,82.0,18.0,70.0,1500,100.0,23.1,1007.6,15.9,0.0,1.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,59.0
18373,2015,4,5,12,127.0,2.0,10.0,300,96.0,15.8,1013.4,-10.8,0.0,7.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31.0
9180,2014,3,18,11,125.0,14.0,29.0,500,78.0,15.2,1017.6,-4.7,0.0,2.9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26.0
14673,2014,11,2,8,20.0,6.0,29.0,300,39.0,9.5,1025.0,-10.6,0.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.0
17160,2015,2,13,23,327.0,48.0,162.0,5100,8.0,-1.0,1004.0,-10.1,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,306.0
34890,2017,2,21,17,29.0,4.0,43.0,600,42.0,-1.4,1023.2,-5.6,0.0,2.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0
11470,2014,6,21,21,15.0,2.0,26.0,600,95.0,18.4,1002.7,17.1,0.0,1.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.0
32256,2016,11,3,23,304.0,3.0,87.0,3400,2.0,3.7,1010.5,3.0,0.0,0.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.0
27425,2016,4,16,16,33.0,2.0,9.0,200,86.0,18.3,1003.5,-4.4,0.0,5.7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.0
2978,2013,7,3,1,74.0,7.0,52.0,900,44.0,24.0,989.3,21.3,0.0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23.0
21339,2015,8,7,2,100.0,5.0,30.0,1800,88.0,24.4,1006.2,21.9,0.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0
13071,2014,8,27,14,91.0,8.0,24.0,800,206.0,32.0,1005.8,15.9,0.0,2.3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,44.0
25620,2016,2,1,11,17.0,7.0,18.0,500,61.0,0.4,1032.7,-20.0,0.0,4.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.0
26631,2016,3,14,14,92.0,20.0,56.0,1100,72.0,14.7,1016.9,-11.7,0.0,2.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,88.0
21671,2015,8,20,22,96.0,2.0,32.0,900,118.0,27.7,1002.6,14.3,0.0,1.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50.0
7390,2014,1,2,21,322.0,110.0,135.0,5600,1.0,0.0,1010.9,-5.8,0.0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,193.0
21402,2015,8,9,17,47.0,2.0,20.0,700,233.0,33.7,1004.3,20.1,0.0,2.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47.0
25007,2016,1,6,22,35.0,7.0,27.0,500,38.0,-2.9,1029.4,-18.5,0.0,3.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.0
13997,2014,10,5,4,60.0,2.0,47.0,1200,2.0,10.6,1016.4,10.1,0.0,1.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60.0
18064,2015,3,23,15,36.0,2.0,14.0,300,124.0,17.9,1022.3,-18.5,0.0,3.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.0
18301,2015,4,2,12,36.0,2.0,28.0,800,78.0,7.8,995.5,3.3,0.1,2.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36.0
19785,2015,6,3,8,131.0,9.0,49.0,700,58.0,23.0,1011.1,12.9,0.0,1.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0
6739,2013,12,6,18,186.0,46.0,87.0,2300,1.0,2.6,1012.0,-4.8,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,140.0
10392,2014,5,7,23,72.0,2.0,51.0,500,52.0,16.6,1007.4,7.2,0.0,1.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22.0
16338,2015,1,10,17,138.0,36.0,86.0,1600,42.0,8.0,1013.0,-15.6,0.0,2.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,126.0
17914,2015,3,17,9,300.0,21.0,72.0,1800,26.0,9.6,1017.6,4.8,0.0,0.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,248.0
17093,2015,2,11,4,257.0,73.0,112.0,4600,8.0,3.0,1009.0,-9.6,0.0,2.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,197.0
3787,2013,8,5,18,71.0,4.0,30.0,800,217.0,29.4,990.4,21.9,0.0,1.7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,42.0
10313,2014,5,4,16,55.0,2.0,13.0,200,87.0,17.3,1010.8,-13.5,0.0,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45.0
19766,2015,6,2,13,22.0,2.0,9.0,200,104.0,30.5,1004.4,0.0,0.0,4.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.0
20413,2015,6,29,12,228.0,7.0,72.0,1500,75.0,25.9,1000.0,21.3,0.0,2.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.0
385,2013,3,17,0,179.0,52.0,77.0,1800,101.0,6.9,1011.3,1.6,0.0,0.9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,154.0
12054,2014,7,16,5,82.0,2.0,55.0,700,33.0,22.7,997.1,20.8,0.0,1.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,82.0
1566,2013,5,5,5,150.0,12.0,102.0,1399,2.0,16.0,1011.0,9.0,0.0,1.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,121.0
1053,2013,4,13,20,31.0,3.0,9.0,400,83.0,17.4,1002.2,-7.2,0.0,2.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39.0
9898,2014,4,17,9,109.0,4.0,91.0,1600,2.0,12.3,1007.4,9.3,0.5,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,83.0
4991,2013,9,24,22,72.0,5.0,71.0,800,1.0,16.9,1015.4,-2.8,0.0,1.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24.0
25287,2016,1,18,14,63.0,6.0,6.0,700,69.0,-7.1,1022.5,-26.3,0.0,5.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.0
30160,2016,8,8,15,24.0,2.0,13.0,500,155.0,32.6,1004.4,18.4,0.0,2.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0
11522,2014,6,24,1,67.0,2.0,77.0,1000,48.0,19.9,999.3,17.9,0.0,0.3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,49.0
20308,2015,6,25,3,109.0,6.0,68.0,1100,31.0,22.6,998.6,18.2,0.0,1.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.0
18333,2015,4,3,20,63.0,4.0,36.0,800,106.0,12.4,1009.2,2.3,0.0,2.2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,62.0
846,2013,4,5,5,82.0,11.0,46.0,2299,8.0,6.5,1009.7,5.8,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,113.0
25709,2016,2,5,4,14.0,7.0,9.0,400,71.0,-1.1,1026.8,-18.2,0.0,2.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.0
21931,2015,8,31,18,34.0,2.0,37.0,800,66.0,22.0,1008.3,19.4,0.0,0.7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33.0
24715,2015,12,25,18,484.0,8.0,109.0,5800,9.0,-3.6,1012.8,-4.0,0.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.0
34487,2017,2,4,22,12.0,8.0,27.0,500,57.0,6.3,1015.4,-13.4,0.0,2.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.0
19097,2015,5,5,16,51.0,4.0,20.0,300,126.0,27.5,998.5,-6.9,0.0,5.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29.0
24117,2015,11,30,20,618.0,33.0,182.0,9100,9.0,-1.5,1019.2,-1.5,0.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,618.0
20881,2015,7,19,0,51.0,2.0,43.0,900,54.0,22.0,1002.9,21.0,0.1,0.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0
30761,2016,9,2,16,27.0,2.0,16.0,300,83.0,27.9,998.3,13.8,0.0,1.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.0
2627,2013,6,18,10,103.0,14.0,103.0,400,73.0,29.6,991.3,16.4,0.0,2.7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,45.0
10749,2014,5,22,20,87.0,8.0,40.0,900,139.0,28.1,1001.0,12.8,0.0,1.8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,57.0
11083,2014,6,5,18,95.0,9.0,30.0,1000,248.0,30.8,996.0,15.6,0.0,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,56.0
4691,2013,9,12,10,221.0,41.0,92.0,1900,38.0,25.5,1006.9,17.4,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,146.0
15389,2014,12,2,4,5.0,9.0,28.0,600,36.0,-5.6,1026.0,-23.5,0.0,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0
81,2013,3,4,8,28.0,32.0,61.0,1100,8.0,9.0,1019.8,-11.1,0.0,2.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.0
19030,2015,5,2,21,97.0,2.0,40.0,600,101.0,20.6,1004.9,13.3,0.0,1.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,51.0
19677,2015,5,29,20,60.0,2.0,34.0,600,127.0,26.5,1001.4,12.9,0.0,2.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,34.0
29937,2016,7,30,8,186.0,2.0,7.0,1500,70.0,27.3,1004.3,25.9,0.0,1.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.0
34989,2017,2,25,20,26.0,3.0,27.0,400,65.0,10.0,1018.1,-11.4,0.0,1.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17.0
16760,2015,1,28,7,15.0,9.0,30.0,300,40.0,-4.0,1030.0,-20.3,0.0,1.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.0
17704,2015,3,8,15,19.0,4.0,14.0,300,96.0,12.0,1017.8,-16.6,0.0,4.9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.0
28632,2016,6,5,23,81.0,9.0,52.0,900,64.0,23.1,1006.1,14.6,0.0,2.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38.0
19387,2015,5,17,18,227.0,14.0,68.0,1500,155.0,24.7,992.0,17.4,0.0,2.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,147.0
669,2013,3,28,20,149.0,19.0,50.0,1100,51.0,8.1,1015.0,-2.8,0.0,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,97.0
1860,2013,5,17,11,148.0,44.0,83.0,1600,30.0,22.0,1005.3,12.3,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,120.0
8945,2014,3,8,16,202.0,92.0,89.0,2300,67.0,10.2,1012.4,-6.2,0.0,3.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,191.0
757,2013,4,1,12,33.0,18.0,12.0,600,66.0,15.3,1009.9,-5.7,0.0,6.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29.0
12628,2014,8,9,3,124.0,6.0,68.0,1500,76.0,22.6,1000.8,18.8,0.0,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,99.0
16775,2015,1,28,22,124.0,56.0,91.0,2300,6.0,-1.0,1023.0,-18.1,0.0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,99.0
28869,2016,6,15,20,92.0,2.0,38.0,600,157.0,26.2,997.5,15.6,0.0,2.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0
28726,2016,6,9,21,154.0,3.0,33.0,700,157.0,29.6,999.6,13.4,0.0,4.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48.0
30639,2016,8,28,14,11.0,2.0,9.0,200,102.0,31.6,1006.7,5.9,0.0,1.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.0
16577,2015,1,20,16,115.0,71.0,73.0,1700,30.0,5.0,1012.0,-7.8,0.0,1.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.0
20741,2015,7,13,4,53.0,3.0,34.0,800,103.0,26.2,993.0,18.1,0.0,1.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,53.0
16217,2015,1,5,16,116.0,8.0,15.0,400,63.0,7.0,1012.0,-17.2,0.0,3.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
7043,2013,12,19,10,44.0,19.0,43.0,900,1.0,-1.3,1024.9,-17.5,0.0,2.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.0
21296,2015,8,5,7,124.0,2.0,55.0,1300,20.0,24.3,998.6,22.0,0.0,1.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0
29521,2016,7,13,0,22.0,2.0,35.0,600,53.0,25.0,999.0,20.7,0.0,1.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.0
21760,2015,8,24,15,9.0,2.0,11.0,400,141.0,29.3,1005.8,14.7,0.0,2.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0
16930,2015,2,4,9,14.0,20.0,37.0,500,43.0,1.0,1023.0,-16.0,0.0,2.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.0
30601,2016,8,27,0,70.0,2.0,94.0,700,2.0,20.5,1010.3,12.5,0.0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34.0
608,2013,3,26,7,202.0,25.0,51.0,1700,2.0,3.2,1009.8,-1.0,0.0,1.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,195.0
9638,2014,4,6,13,77.0,9.0,22.0,500,116.0,24.1,1009.1,-8.2,0.0,4.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28.0
26277,2016,2,28,20,26.0,2.0,15.0,300,74.0,-0.4,1031.1,-21.3,0.0,5.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.0
19779,2015,6,3,2,153.0,8.0,33.0,600,62.0,19.4,1010.3,11.4,0.0,1.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0
23924,2015,11,22,19,43.0,8.0,49.0,900,16.0,-4.0,1032.6,-5.5,0.4,1.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,43.0
18550,2015,4,12,21,8.0,2.0,11.0,300,89.0,5.6,1026.5,-4.0,0.0,3.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.0
7419,2014,1,4,2,212.0,38.0,69.0,2700,1.0,-2.0,1018.7,-5.0,0.0,0.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.0
27303,2016,4,11,14,32.0,9.0,20.0,500,94.0,14.2,1011.5,-6.7,0.0,3.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32.0
17775,2015,3,11,14,13.0,7.0,12.0,300,92.0,9.0,1018.0,-21.1,0.0,2.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0
26420,2016,3,5,19,200.0,2.0,20.0,400,71.0,9.4,1015.2,-15.2,0.0,1.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,63.0
26768,2016,3,20,7,94.0,10.0,64.0,1200,2.0,3.0,1023.1,-2.3,0.0,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,65.0
