No,year,month,day,hour,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station_Guanyuan,wd_E,wd_ENE,wd_ESE,wd_N,wd_NE,wd_NNE,wd_NNW,wd_NW,wd_S,wd_SE,wd_SSE,wd_SSW,wd_SW,wd_W,wd_WNW,wd_WSW,Label
9662,2014,4,7,13,155.0,25.0,94.0,800,80.0,24.6,1006.3,0.1,0.0,1.7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,115.0
20586,2015,7,6,17,57.0,7.0,19.0,900,242.0,29.9,1004.1,14.0,0.0,2.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,57.0
2781,2013,6,24,20,162.0,4.0,38.0,1200,137.0,21.1,995.4,20.3,1.0,1.7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,133.0
31194,2016,9,20,17,33.0,2.0,24.0,400,108.0,25.7,1014.1,6.8,0.0,1.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.0
19271,2015,5,12,22,62.0,2.0,111.0,1500,2.0,15.3,989.3,9.6,0.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0
22574,2015,9,27,13,48.0,4.0,34.0,600,127.0,27.0,1010.0,6.9,0.0,1.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48.0
19297,2015,5,14,0,460.0,2.0,19.0,300,62.0,22.6,997.5,1.0,0.0,3.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,84.0
33733,2017,1,4,12,223.0,24.0,132.0,3500,14.0,3.6,1021.9,-5.4,0.0,1.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,223.0
13185,2014,9,1,8,114.0,4.0,64.0,2200,9.0,22.5,1008.5,22.5,0.0,1.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.0
29643,2016,7,18,2,142.0,2.0,61.0,1100,60.0,24.6,1003.2,20.1,0.0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,136.0
32574,2016,11,17,5,147.0,26.0,64.0,2100,2.0,6.4,1020.8,0.5,0.0,1.2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,116.0
32546,2016,11,16,1,227.0,22.0,84.0,3300,2.0,3.5,1017.8,1.4,0.0,1.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,134.0
15999,2014,12,27,14,195.0,75.0,163.0,4600,6.0,4.3,1031.0,-7.5,0.0,1.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,170.0
15548,2014,12,8,19,95.0,41.0,80.0,1400,18.0,-3.0,1019.0,-7.5,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,81.0
12926,2014,8,21,13,164.0,16.0,49.0,1400,168.0,31.5,999.9,21.1,0.0,0.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.0
30759,2016,9,2,14,28.0,2.0,21.0,300,74.0,28.3,998.0,13.0,0.0,2.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.0
28790,2016,6,12,13,88.0,11.0,24.0,800,199.0,29.7,1001.8,14.7,0.0,2.7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,88.0
13081,2014,8,28,0,159.0,16.0,90.0,1100,72.0,23.1,1007.8,19.9,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,103.0
19948,2015,6,10,3,60.0,2.0,29.0,1000,66.0,18.6,996.9,16.7,0.5,2.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60.0
12274,2014,7,25,9,91.0,18.0,49.0,1600,78.0,28.9,1000.5,19.2,0.0,1.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.0
31591,2016,10,7,6,41.0,2.0,52.0,1700,2.0,12.1,1017.1,11.2,1.3,1.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0
7193,2013,12,25,16,300.0,40.0,44.0,900,39.0,3.5,1020.8,-14.2,0.0,4.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,60.0
24118,2015,11,30,21,631.0,22.0,187.0,9400,2.0,-1.6,1019.5,-1.6,0.0,0.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,597.0
34461,2017,2,3,20,348.0,68.0,94.0,2500,68.0,-0.7,1016.9,-10.6,0.0,0.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,285.0
1317,2013,4,24,20,31.0,3.0,60.0,400,43.0,15.8,1007.6,-0.5,0.0,2.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13.0
23655,2015,11,11,14,74.0,3.0,52.0,1300,12.0,6.4,1026.7,2.5,0.0,1.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0
1568,2013,5,5,7,189.0,41.0,116.0,1300,9.0,17.9,1013.2,9.0,0.0,1.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.0
6047,2013,11,7,22,117.0,24.0,85.0,1500,0.2142,2.7,1014.3,-0.8,0.0,1.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0
5713,2013,10,25,0,49.0,5.0,42.0,700,41.0,7.6,1023.0,0.8,0.0,1.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40.0
26134,2016,2,22,21,61.0,9.0,17.0,300,71.0,2.6,1029.6,-15.5,0.0,4.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26.0
3473,2013,7,23,16,54.0,8.0,19.0,400,165.0,30.2,991.6,21.0,0.0,3.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24.0
20784,2015,7,14,23,26.0,2.0,46.0,600,96.0,28.5,1001.0,13.6,0.0,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26.0
28486,2016,5,30,21,229.0,28.0,45.0,1500,222.0,29.1,997.1,17.0,0.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,118.0
20681,2015,7,10,16,76.0,9.0,17.0,700,220.0,32.1,1003.7,17.2,0.0,3.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,63.0
31914,2016,10,20,17,94.0,13.0,60.0,1500,16.0,13.5,1017.4,7.3,0.0,0.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42.0
10213,2014,4,30,12,186.0,36.0,66.0,1100,153.0,26.0,1002.9,11.4,0.0,2.6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,177.0
15277,2014,11,27,12,24.0,2.0,39.0,400,37.0,6.1,1018.0,-15.9,0.0,3.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16.0
26450,2016,3,7,1,265.0,42.0,96.0,2500,2.0,3.0,1013.3,-5.7,0.0,0.9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,117.0
32418,2016,11,10,17,83.0,5.0,44.0,700,40.0,10.9,1007.7,-5.6,0.0,3.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,75.0
22054,2015,9,5,21,25.0,2.0,39.0,700,45.0,17.9,1008.8,15.5,0.0,1.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22.0
32781,2016,11,25,20,379.0,34.0,109.0,1900,2.0,1.6,1020.1,-3.5,0.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,325.0
18215,2015,3,29,22,374.0,10.0,45.0,600,67.0,16.3,1006.7,4.6,0.0,1.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0
7362,2014,1,1,17,64.0,12.0,55.0,600,30.0,3.3,1009.9,-10.7,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18.0
26422,2016,3,5,21,205.0,4.0,35.0,500,43.0,7.6,1016.0,-14.0,0.0,0.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,54.0
34591,2017,2,9,6,10.0,3.0,10.0,400,122.0,-4.1,1025.4,-21.3,0.0,2.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.0
28015,2016,5,11,6,169.0,20.0,26.0,1000,109.0,19.4,999.8,12.6,0.0,3.6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,154.0
13135,2014,8,30,6,163.0,4.0,71.0,1700,10.0,22.4,1010.1,21.2,0.0,1.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,161.0
17826,2015,3,13,17,29.0,5.0,26.0,300,81.0,12.0,1016.8,-21.4,0.0,0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16.0
684,2013,3,29,11,83.0,43.0,53.0,1800,53.0,9.6,1016.3,-8.5,0.0,1.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0
34514,2017,2,6,1,18.0,7.0,32.0,400,68.0,2.2,1024.0,-15.5,0.0,2.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.0
7999,2014,1,28,6,22.0,26.0,40.0,600,29.0,-5.5,1024.1,-16.1,0.0,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.0
10666,2014,5,19,9,89.0,10.0,65.0,1100,79.0,22.5,1000.3,17.0,0.0,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,78.0
3208,2013,7,12,15,84.0,3.0,26.0,500,228.0,31.2,998.5,24.3,0.0,3.3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,74.0
19311,2015,5,14,14,26.0,2.0,16.0,300,117.0,25.0,1003.1,2.4,0.0,2.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.0
7368,2014,1,1,23,135.0,46.0,105.0,2400,1.0,-2.4,1013.0,-8.7,0.0,0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0
9490,2014,3,31,9,184.0,37.0,118.0,2100,6.0,16.8,1011.6,6.6,0.0,2.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,159.0
2011,2013,5,23,18,181.0,38.0,47.0,1300,222.0,26.5,1001.6,12.9,0.0,1.2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,87.0
10106,2014,4,26,1,30.0,2.0,24.0,200,53.0,11.9,1013.2,10.8,0.9,1.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0
16515,2015,1,18,2,136.2,74.2,109.1,2900,2.2,-1.0,1015.0,-14.6,0.0,1.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.2
16902,2015,2,3,5,168.0,33.0,95.0,2600,2.0,-5.0,1025.0,-6.4,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.0
11873,2014,7,8,16,15.0,2.0,37.0,300,86.0,32.6,995.8,10.6,0.0,3.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15.0
567,2013,3,24,14,6.0,5.0,23.0,300,81.0,10.4,1013.6,-15.2,0.0,2.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0
19007,2015,5,1,22,32.0,2.0,30.0,500,51.0,14.6,1007.3,11.9,1.0,1.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32.0
31295,2016,9,24,22,282.0,3.0,89.0,1700,43.0,21.5,1006.4,19.2,0.0,1.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,216.0
33167,2016,12,11,22,265.0,56.0,122.0,3600,2.0,1.3,1018.7,-3.4,0.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,217.0
313,2013,3,14,0,89.0,37.0,66.0,1100,82.0,2.5,1024.2,-3.8,0.0,2.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,55.0
26089,2016,2,21,0,55.0,16.0,83.0,1200,2.0,-3.4,1022.8,-15.1,0.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0
7332,2013,12,31,11,231.0,8.0,28.0,400,56.0,8.3,1006.6,-12.8,0.0,6.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33.0
23295,2015,10,27,14,46.0,2.0,21.0,300,58.0,16.7,1009.7,-5.2,0.0,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.0
25959,2016,2,15,14,27.0,2.0,12.0,400,75.0,3.0,1019.3,-18.4,0.0,6.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.0
29582,2016,7,15,13,45.0,2.0,38.0,900,79.0,22.9,999.9,19.1,0.0,2.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0
13584,2014,9,17,23,65.0,3.0,80.0,900,6.0,13.3,1015.8,13.3,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53.0
31028,2016,9,13,19,75.0,3.0,32.0,1100,139.0,25.7,1012.2,17.4,0.0,1.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,75.0
21399,2015,8,9,14,77.0,4.0,39.0,800,220.0,33.0,1006.0,18.8,0.0,1.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0
2208,2013,5,31,23,144.0,28.0,30.0,600,106.0,20.9,997.9,18.3,0.0,0.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,112.0
29276,2016,7,2,19,23.0,3.0,19.0,500,158.0,31.9,999.5,13.2,0.0,2.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23.0
13325,2014,9,7,4,187.0,19.0,48.0,1200,70.0,21.7,1002.8,20.7,0.0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,145.0
4149,2013,8,20,20,148.0,4.0,83.0,1800,62.0,24.1,1003.6,23.6,0.4,0.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,122.0
13382,2014,9,9,13,82.0,7.0,50.0,700,123.0,29.6,1003.3,13.8,0.0,1.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,50.0
4824,2013,9,17,23,102.0,9.0,82.0,2900,1.0,19.5,1013.0,19.3,0.0,0.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,93.0
14023,2014,10,6,6,25.0,2.0,63.0,500,2.0,5.8,1021.5,5.8,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25.0
25522,2016,1,28,9,145.0,65.0,104.0,3100,2.0,-4.9,1026.5,-17.1,0.0,1.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.0
4127,2013,8,19,22,60.0,3.0,41.0,500,85.0,25.5,1004.3,19.4,0.0,0.7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32.0
21518,2015,8,14,13,28.0,2.0,12.0,500,99.0,31.0,999.3,12.4,0.0,4.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28.0
10374,2014,5,7,5,174.0,35.0,111.0,2600,6.0,11.0,998.7,8.9,0.0,0.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,132.0
20541,2015,7,4,20,81.0,2.0,85.0,1100,38.0,20.5,1005.1,17.9,0.0,1.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.0
3593,2013,7,28,16,61.0,11.0,24.0,300,186.0,35.8,993.3,23.1,0.0,3.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0
8029,2014,1,29,12,123.0,106.0,75.0,1900,10.0,1.5,1006.2,-6.6,0.0,1.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,102.0
6502,2013,11,26,21,213.0,1.0,15.0,300,50.0,-0.4,1018.8,-19.6,0.0,4.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.0
25721,2016,2,5,16,31.0,2.0,13.0,300,79.0,2.4,1025.0,-18.9,0.0,5.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0
27543,2016,4,21,14,124.0,7.0,45.0,600,128.0,29.8,995.7,3.7,0.0,1.6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,124.0
34614,2017,2,10,5,12.0,2.0,8.0,200,84.0,-2.7,1025.1,-22.1,0.0,3.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.0
22364,2015,9,18,19,65.0,2.0,39.0,700,98.0,22.9,1011.2,15.7,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26.0
12296,2014,7,26,7,179.0,4.0,56.0,1700,48.0,25.6,1003.5,20.2,0.0,0.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.0
19519,2015,5,23,6,217.0,14.0,98.0,1300,2.0,17.4,1005.2,11.9,0.0,1.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,112.0
17621,2015,3,5,4,152.0,79.0,74.0,1800,6.0,-2.6,1023.4,-17.1,0.0,1.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,148.0
154,2013,3,7,9,342.0,140.0,184.0,5900,12.0,10.1,1006.1,-0.7,0.0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,262.0
26578,2016,3,12,9,168.0,44.0,87.0,2500,2.0,1.9,1015.1,-10.0,0.0,1.4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,104.0
13206,2014,9,2,5,21.0,2.0,15.0,1000,80.0,19.5,1004.0,19.5,0.7,1.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21.0
10834,2014,5,26,9,60.0,5.0,65.0,600,62.0,29.8,995.5,4.4,0.0,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.0
19348,2015,5,16,3,99.0,4.0,89.0,1000,3.0,12.8,1008.7,8.7,0.0,1.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,57.0
471,2013,3,20,14,17.0,13.0,24.0,600,83.0,5.4,1016.6,-3.4,0.0,3.8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,48.0
5391,2013,10,11,14,88.0,19.0,33.0,400,88.0,22.9,1007.0,5.3,0.0,2.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49.0
29628,2016,7,17,11,114.0,7.0,35.0,1200,123.0,27.7,1003.4,19.5,0.0,1.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.0
11807,2014,7,5,22,148.0,2.0,31.0,1600,148.0,27.6,999.9,23.2,0.0,1.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,132.0
17246,2015,2,17,13,30.0,6.0,18.0,300,66.0,9.0,1015.0,-11.6,0.0,1.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15.0
15333,2014,11,29,20,305.4,19.3,112.7,3900,3.0,3.5,1021.0,2.3,0.0,0.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,256.9
6102,2013,11,10,5,16.0,11.0,14.0,300,52.6932,0.3,1025.9,-20.1,0.0,3.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.0
7270,2013,12,28,21,43.0,21.0,73.0,800,7.0,-5.1,1018.4,-17.6,0.0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26.0
8513,2014,2,18,16,75.0,27.0,42.0,900,63.0,1.5,1022.3,-8.3,0.0,3.6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,75.0
10068,2014,4,24,11,120.0,24.0,57.0,900,68.0,19.4,1009.8,12.4,0.0,1.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97.0
18888,2015,4,26,23,173.0,19.0,31.0,600,108.0,24.1,1003.3,9.7,0.0,3.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,56.0
31062,2016,9,15,5,42.0,2.0,65.0,600,9.0,19.4,1011.0,18.2,0.0,0.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0
32162,2016,10,31,1,19.0,2.0,10.0,600,51.0,3.5,1031.7,-19.3,0.0,2.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
15807,2014,12,19,14,12.0,2.0,17.0,300,63.0,5.2,1026.0,-14.8,0.0,6.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.0
25927,2016,2,14,6,8.0,4.0,11.0,300,59.0,-6.7,1027.7,-21.8,0.0,3.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0
16529,2015,1,18,16,64.0,2.0,19.0,300,70.0,5.0,1011.0,-15.0,0.0,4.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.0
17657,2015,3,6,16,220.0,66.0,64.0,1700,87.0,9.6,1011.4,-10.0,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,203.0
