No,year,month,day,hour,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station_Huairou,wd_E,wd_ENE,wd_ESE,wd_N,wd_NE,wd_NNE,wd_NNW,wd_NW,wd_S,wd_SE,wd_SSE,wd_SSW,wd_SW,wd_W,wd_WNW,wd_WSW,Label
29315,2016,7,4,10,136.0,6.0,23.0,1700,93.0,28.2,999.8,21.2,0.0,1.8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,136.0
22959,2015,10,13,14,14.0,3.0,12.0,300,73.0,26.2,1009.6,0.0,0.0,1.7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0
17848,2015,3,14,15,120.0,52.0,56.0,1800,54.0,8.3,1007.7,-7.5,0.0,2.8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,114.0
10020,2014,4,22,11,56.0,9.0,17.0,400,107.0,24.8,1004.7,-4.5,0.0,3.7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28.0
10025,2014,4,22,16,70.0,5.0,26.0,400,146.0,26.4,999.8,0.9,0.0,4.2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,42.0
10868,2014,5,27,19,41.0,2.0,11.0,200,97.0,29.1,989.6,-1.1,0.0,3.7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.0
14348,2014,10,19,19,350.0,9.0,109.0,2200,13.0,15.8,1005.8,12.2,0.0,0.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,228.0
6891,2013,12,13,2,24.0,11.0,14.0,1100,45.0,-8.8,1016.7,-19.7,0.0,1.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0
20784,2015,7,14,23,24.0,2.0,7.0,400,136.0,27.0,996.6,15.4,0.0,1.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18.0
9482,2014,3,31,1,76.0,6.0,45.0,600,27.0,15.8,1007.1,2.6,0.0,1.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43.0
830,2013,4,4,13,109.0,67.0,44.0,1700,57.0,7.5,1004.5,3.2,0.6,0.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0
22968,2015,10,13,23,31.0,3.0,19.0,500,37.0,11.0,1010.1,6.9,0.0,0.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.0
33089,2016,12,8,16,10.0,2.0,7.0,200,75.0,6.6,1009.2,-13.1,0.0,4.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0
12790,2014,8,15,21,85.0,2.0,39.0,700,153.0,23.3,998.2,17.7,0.0,1.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40.0
16814,2015,1,30,13,8.0,2.0,7.0,200,71.0,0.0,1028.0,-22.9,0.0,2.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0
29710,2016,7,20,21,5.0,2.0,6.0,500,43.0,23.6,991.8,20.5,1.3,5.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0
22654,2015,9,30,21,28.0,2.0,18.0,600,31.0,13.9,1004.3,13.4,2.7,1.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28.0
5580,2013,10,19,11,23.0,4.0,16.0,300,48.0,17.8,1016.3,-1.5,0.0,2.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23.0
32654,2016,11,20,13,53.0,2.0,44.0,1500,2.0,1.8,1015.5,1.1,1.1,2.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0
15838,2014,12,20,21,15.0,2.0,2.0,200,64.0,-2.2,1015.0,-21.6,0.0,5.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0
4656,2013,9,10,23,12.0,1.0,16.0,300,37.0,15.1,1005.7,15.1,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.0
25502,2016,1,27,13,40.0,12.0,31.0,700,25.0,0.8,1018.0,-19.1,0.0,1.7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28.0
17344,2015,2,21,15,203.0,2.0,48.0,2200,7.0,2.0,1008.0,0.8,0.0,0.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,203.0
7597,2014,1,11,12,41.0,57.0,41.0,800,41.0,1.3,1019.6,-20.5,0.0,1.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0
20975,2015,7,22,22,15.0,2.0,4.0,400,83.0,22.4,996.1,21.6,1.1,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.0
30837,2016,9,5,20,40.0,2.0,20.0,500,49.0,22.3,1000.4,17.7,0.0,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21.0
30195,2016,8,10,2,125.0,6.0,25.0,1000,20.0,26.2,998.5,24.2,0.0,0.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0
13543,2014,9,16,6,27.0,2.0,15.0,300,29.0,11.6,1010.2,8.8,0.0,2.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15.0
21497,2015,8,13,16,216.0,7.0,23.0,1400,386.0,33.1,993.0,24.3,0.0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,165.0
14143,2014,10,11,6,209.0,2.0,18.0,2700,36.0,15.2,1011.9,14.4,0.0,0.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.0
31324,2016,9,26,3,104.0,5.0,17.0,1200,35.0,20.4,1005.0,17.8,0.0,2.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,98.0
24897,2016,1,2,8,159.0,6.0,49.0,2400,2.0,-6.5,1011.1,-8.3,0.0,2.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,159.0
8962,2014,3,9,9,105.0,30.0,59.0,1300,19.0,4.7,1019.2,-11.0,0.0,0.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,73.0
15362,2014,12,1,1,298.0,2.0,2.0,300,60.0,-4.8,1014.0,-23.3,0.0,8.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19.0
34230,2017,1,25,5,104.0,10.0,2.0,2100,2.0,-7.9,1025.0,-13.3,0.0,1.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,102.0
26859,2016,3,24,2,5.0,2.0,3.0,100,69.0,5.9,1025.1,-14.2,0.0,1.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0
32302,2016,11,5,21,315.0,2.0,99.0,4000,4.0,8.0,1014.5,5.6,0.0,0.9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,236.0
6584,2013,11,30,7,38.0,24.0,52.0,1200,12.6378,3.8,1014.3,-13.1,0.0,1.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0
14260,2014,10,16,3,23.0,2.0,4.0,200,45.0,3.1,1013.5,-1.3,0.0,0.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0
9853,2014,4,15,12,246.0,44.0,50.0,1800,101.0,20.6,1010.5,11.8,0.0,3.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,157.0
14779,2014,11,6,18,20.0,2.0,31.0,400,44.0,7.0,1003.0,-15.1,0.0,0.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0
21664,2015,8,20,15,35.0,4.0,4.0,600,157.0,31.2,996.8,17.9,0.0,2.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0
7601,2014,1,11,16,122.0,70.0,78.0,1100,23.0,0.5,1018.0,-17.3,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,70.0
30795,2016,9,4,2,75.0,2.0,19.0,900,58.0,21.8,1000.6,19.7,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,73.0
13166,2014,8,31,13,40.0,2.0,5.0,900,139.0,25.8,1003.4,18.2,0.0,1.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0
33294,2016,12,17,5,77.0,5.0,50.0,1500,2.0,-5.6,1012.7,-8.8,0.0,1.3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,68.0
6688,2013,12,4,15,61.0,32.0,42.0,700,43.911,11.4,1009.1,-8.0,0.0,0.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38.0
19812,2015,6,4,11,80.0,2.0,19.0,600,56.0,19.0,996.5,16.6,0.6,0.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,35.0
26342,2016,3,2,13,153.0,25.0,51.0,1300,76.0,15.7,1006.4,-7.2,0.0,1.8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,140.0
21902,2015,8,30,13,69.0,2.0,8.0,700,54.0,20.0,1003.4,19.2,15.9,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0
10208,2014,4,30,7,114.0,5.0,30.0,800,65.0,17.0,1002.2,9.4,0.0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,95.0
5224,2013,10,4,15,215.0,50.0,39.0,2100,76.0,20.4,1003.7,12.9,0.0,1.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,169.0
11600,2014,6,27,7,32.0,2.0,21.0,500,54.0,28.3,999.4,11.8,0.0,2.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13.0
11304,2014,6,14,23,79.0,2.0,23.0,700,139.0,23.0,997.2,19.4,0.0,0.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,54.0
21368,2015,8,8,7,38.0,2.0,7.0,500,26.0,19.1,1005.1,18.6,0.0,0.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.0
30653,2016,8,29,4,21.0,2.0,13.0,300,16.0,18.4,1002.5,12.4,0.0,1.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.0
16870,2015,2,1,21,88.0,39.0,55.0,1600,9.0,-4.0,1023.0,-19.1,0.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,78.0
23105,2015,10,19,16,128.0,7.0,45.0,700,40.0,18.2,1003.9,7.9,0.0,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,67.0
3128,2013,7,9,7,50.0,3.0,6.0,800,78.0,23.6,995.1,23.6,1.9,0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50.0
34393,2017,2,1,0,34.0,5.0,21.0,700,54.0,-2.6,1024.5,-21.4,0.0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.0
6385,2013,11,22,0,58.0,12.0,38.0,1100,17.7786,-1.5,1017.7,-7.2,0.0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,64.0
34209,2017,1,24,8,39.0,2.0,39.0,1300,75.0,-12.55,1028.5,-17.5,0.0,1.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30.0
17765,2015,3,11,4,57.0,2.0,13.0,1000,25.0,-5.6,1014.9,-15.1,0.0,0.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56.0
34327,2017,1,29,6,63.0,2.0,6.0,200,81.0,-1.2,1017.75,-23.5,0.0,4.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.0
6562,2013,11,29,9,61.0,42.0,54.0,1200,13.0662,4.3,1013.2,-12.2,0.0,0.9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0
28235,2016,5,20,10,82.0,24.0,20.0,1000,162.0,24.3,1008.0,10.2,0.0,1.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,82.0
7594,2014,1,11,9,90.0,61.0,67.0,1400,7.0,-4.5,1022.8,-18.7,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,50.0
908,2013,4,7,19,155.0,54.0,52.0,1000,62.0,10.6,997.4,-0.6,0.0,2.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,91.0
4882,2013,9,20,9,63.0,4.0,27.0,500,36.0,25.0,1008.3,11.5,0.0,1.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0
18073,2015,3,24,0,56.0,5.0,35.0,700,36.0,5.8,1020.3,-14.3,0.0,1.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35.0
14663,2014,11,1,22,11.0,2.0,9.0,200,61.0,12.1,1008.0,-5.9,0.0,2.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10.0
12491,2014,8,3,10,62.0,2.0,19.0,800,90.0,32.0,992.7,23.5,0.0,0.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50.0
14474,2014,10,25,1,228.0,2.0,24.0,1900,36.0,9.2,1002.9,8.4,0.0,0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.0
32182,2016,10,31,21,14.0,2.0,10.0,300,63.0,-0.7,1027.2,-10.9,0.0,2.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.0
24647,2015,12,22,22,477.0,13.0,105.0,8100,23.0,-3.5,1018.1,-4.0,0.0,0.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,442.0
12688,2014,8,11,15,19.0,2.0,11.0,300,104.0,34.3,993.2,8.1,0.0,2.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0
33589,2016,12,29,12,16.0,3.0,15.0,400,57.0,0.0,1026.1,-17.7,0.0,2.4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16.0
15012,2014,11,16,11,276.0,85.0,127.0,2800,5.0,8.1,1019.0,-4.1,0.0,0.7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,187.0
19350,2015,5,16,5,22.0,2.0,13.0,400,43.0,9.0,1004.0,7.3,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22.0
31359,2016,9,27,14,12.0,2.0,9.0,300,47.0,19.725,1013.0,2.8,0.0,4.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.0
33293,2016,12,17,4,90.0,6.0,55.0,1800,2.0,-5.3,1013.0,-9.9,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,72.0
18202,2015,3,29,9,172.0,11.0,30.0,900,41.0,14.6,1009.2,0.4,0.0,0.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.0
21896,2015,8,30,7,22.0,2.0,10.0,500,41.0,21.5,1002.9,17.5,0.0,1.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0
15546,2014,12,8,17,74.0,30.0,62.0,900,28.0,0.3,1019.0,-15.3,0.0,1.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44.0
24929,2016,1,3,16,216.0,22.0,84.0,2500,6.0,1.4,1012.9,-5.1,0.0,1.6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,216.0
2736,2013,6,22,23,29.0,3.0,3.0,300,11.0,20.0,998.5,20.0,0.0,0.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0
30243,2016,8,12,2,98.0,6.0,7.0,700,2.0,27.7,996.6,26.6,0.0,1.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,98.0
33496,2016,12,25,15,130.0,37.0,83.0,1700,2.0,1.1,1017.4,-6.9,0.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,123.0
25859,2016,2,11,10,143.0,38.0,54.0,2700,2.0,2.6,1008.5,-6.8,0.0,0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.0
18031,2015,3,22,6,44.0,2.0,2.0,100,87.0,5.7,1018.9,-18.2,0.0,3.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.0
15263,2014,11,26,22,269.0,17.0,108.0,3100,2.0,1.8,1016.0,0.2,0.0,1.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,239.0
25047,2016,1,8,14,10.0,3.0,7.0,200,48.0,1.0,1017.6,-19.5,0.0,1.4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.0
21623,2015,8,18,22,152.0,2.0,33.0,800,65.0,23.4,1002.1,18.9,0.0,1.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.0
10792,2014,5,24,15,53.0,2.0,37.0,1000,42.0,19.9,998.3,18.6,0.0,1.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0
25549,2016,1,29,12,54.0,39.0,36.0,1300,14.0,-3.4,1027.1,-16.7,0.0,1.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,44.0
13385,2014,9,9,16,129.0,14.0,18.0,600,240.0,28.0,1000.1,13.1,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,57.0
23090,2015,10,19,1,112.0,7.0,50.0,1100,2.0,10.6,1012.8,5.1,0.0,1.2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50.0
31577,2016,10,6,16,92.0,6.0,36.0,1800,2.0,15.2,1015.9,12.5,0.0,0.9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,66.0
32450,2016,11,12,1,103.0,2.0,21.0,1400,16.0,1.3,1009.0,0.0,0.0,0.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,60.0
25163,2016,1,13,10,37.0,6.0,28.0,600,24.0,-4.7,1017.0,-21.3,0.0,2.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0
15378,2014,12,1,17,5.0,2.0,7.0,200,61.0,-2.6,1021.0,-25.8,0.0,0.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
34489,2017,2,5,0,45.0,7.0,29.0,800,42.0,0.7,1010.6,-11.1,0.0,1.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45.0
14108,2014,10,9,19,290.0,2.0,57.0,2200,66.0,15.1,1011.1,13.3,0.0,0.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,290.0
5469,2013,10,14,20,39.0,18.0,50.0,400,36.0,5.3,1023.5,0.5,0.0,0.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18.0
32202,2016,11,1,17,92.0,8.0,78.0,700,14.0,4.9,1021.3,-9.0,0.0,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52.0
34515,2017,2,6,2,14.0,2.0,8.0,200,74.0,0.5,1019.2,-15.4,0.0,3.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.0
24964,2016,1,5,3,9.0,2.0,4.0,300,47.0,-7.9,1022.5,-20.1,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.0
6610,2013,12,1,9,56.0,44.0,55.0,1200,13.923,3.0,1016.5,-11.4,0.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0
11629,2014,6,28,12,20.0,3.0,15.0,600,112.0,33.7,995.8,13.2,0.0,3.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0
30994,2016,9,12,9,33.0,2.0,14.0,700,6.0,21.3,1009.3,16.9,0.0,1.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0
16867,2015,2,1,18,47.0,15.0,43.0,600,36.0,0.0,1022.0,-17.3,0.0,0.9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29.0
28221,2016,5,19,20,147.0,14.0,33.0,900,249.0,24.2,1004.4,10.1,0.0,1.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0
2660,2013,6,19,19,153.0,3.0,16.0,600,150.0,29.0,993.5,15.5,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.0
10930,2014,5,30,9,36.0,26.0,57.0,1200,87.0,32.9,998.6,10.3,0.0,1.8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,36.0
21306,2015,8,5,17,91.0,5.0,12.0,1100,231.0,29.8,992.5,23.3,0.0,2.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,72.0
