No,year,month,day,hour,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station_Changping,wd_E,wd_ENE,wd_ESE,wd_N,wd_NE,wd_NNE,wd_NNW,wd_NW,wd_S,wd_SE,wd_SSE,wd_SSW,wd_SW,wd_W,wd_WNW,wd_WSW,Label
19973,2015,6,11,4,13.0,2.0,26.0,400,43.0,19.7,989.5,10.4,0.0,2.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.0
25947,2016,2,15,2,24.0,20.0,17.0,600,33.0,-4.4,1020.9,-19.4,0.0,5.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.0
15975,2014,12,26,14,109.0,55.0,61.0,1900,23.0,2.3,1029.0,-10.9,0.0,1.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0
5547,2013,10,18,2,148.0,8.0,66.0,1200,7.0,6.9,1016.8,4.6,0.0,0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,160.0
6041,2013,11,7,16,80.0,17.0,38.0,500,45.4104,12.3,1009.2,-6.7,0.0,1.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38.0
21923,2015,8,31,10,49.0,2.0,39.0,600,18.0,22.2,1004.6,17.1,0.0,0.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25.0
28538,2016,6,2,1,72.0,2.0,24.0,600,102.0,20.9,1002.8,9.8,0.0,1.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0
14140,2014,10,11,3,312.0,6.0,40.0,3000,42.0,15.1,1011.5,13.8,0.0,0.7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,312.0
8294,2014,2,9,13,6.0,26.0,13.0,400,66.0,-1.5,1025.4,-20.5,0.0,3.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.0
25021,2016,1,7,12,13.0,7.0,28.0,700,47.0,-1.5,1022.6,-18.1,0.0,5.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.0
5997,2013,11,5,20,167.0,22.0,98.0,1800,9.2106,7.7,1010.3,2.0,0.0,1.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,165.0
13157,2014,8,31,4,19.0,2.0,26.0,600,45.0,19.4,1004.1,17.5,0.0,0.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0
14760,2014,11,5,23,15.0,2.0,2.0,200,71.0,11.5,1009.0,-10.1,0.0,3.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0
34947,2017,2,24,2,25.0,22.0,15.0,500,19.0,1.9,1017.3,-12.3,0.0,1.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22.0
25413,2016,1,23,20,68.0,5.0,17.0,800,53.0,-15.8,1036.1,-31.8,0.0,5.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.0
24539,2015,12,18,10,36.0,20.0,38.0,700,32.0,4.1,1025.3,-13.3,0.0,3.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26.0
863,2013,4,5,22,14.0,3.0,9.0,400,86.0,5.6,1015.0,-10.2,0.0,2.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.0
27050,2016,4,1,1,275.0,11.0,35.0,500,52.0,18.3,993.7,7.4,0.0,1.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0
9141,2014,3,16,20,270.0,74.0,69.0,1600,64.0,12.5,1003.4,-3.4,0.0,1.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0
12222,2014,7,23,5,10.0,6.0,29.0,400,48.0,24.6,996.2,15.2,0.0,1.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.0
33914,2017,1,12,1,41.0,8.0,39.0,800,42.0,-2.4,1014.333333,-14.3,0.0,2.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34.0
1989,2013,5,22,20,73.0,13.0,41.0,500,113.0,24.4,1003.6,0.6,0.0,1.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38.0
1580,2013,5,5,19,242.0,66.0,34.0,1399,227.0,24.2,1005.4,13.7,0.0,1.9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,213.0
1994,2013,5,23,1,74.0,5.0,27.0,400,63.0,18.1,1003.2,2.8,0.0,0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28.0
23940,2015,11,23,11,56.0,20.0,38.0,1100,30.0,-0.6,1029.2,-7.0,0.0,0.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0
24168,2015,12,2,23,65.0,2.0,22.0,600,37.0,-0.6,1010.8,-14.9,0.0,8.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0
20652,2015,7,9,11,118.0,17.0,18.0,1200,131.0,28.6,1005.1,17.5,0.0,2.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,111.0
5408,2013,10,12,7,93.0,3.0,69.0,900,1.0,12.3,1011.5,7.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,60.0
7152,2013,12,23,23,93.0,49.0,68.0,2200,4.0,-4.3,1026.4,-12.2,0.0,1.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,77.0
8260,2014,2,8,3,108.0,37.0,63.0,2000,6.0,-5.2,1015.2,-6.6,0.0,0.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,136.0
13731,2014,9,24,2,16.0,2.0,11.0,700,33.0,16.2,1007.7,15.6,0.7,0.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16.0
19301,2015,5,14,4,49.0,4.0,23.0,200,57.0,17.3,995.9,0.4,0.0,2.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18.0
24664,2015,12,23,15,67.0,23.0,61.0,1100,33.0,8.2,1015.8,-9.3,0.0,1.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,67.0
1398,2013,4,28,5,137.0,31.0,56.0,1700,56.0,12.2,1001.4,4.7,0.0,1.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,107.0
34415,2017,2,1,22,63.0,25.0,32.0,1100,35.0,-4.1,1026.0,-21.7,0.0,0.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,60.0
9130,2014,3,16,9,171.0,96.0,87.0,2800,11.0,13.5,1009.5,-10.4,0.0,1.6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,90.0
12006,2014,7,14,5,28.0,2.0,30.0,300,45.0,22.0,994.6,13.4,0.0,1.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15.0
33275,2016,12,16,10,80.0,36.0,68.0,1900,3.0,-0.6,1019.6,-12.9,0.0,0.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0
8092,2014,2,1,3,149.0,81.0,58.0,2400,11.0,1.2,1008.7,-5.5,0.0,1.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,130.0
7686,2014,1,15,5,172.0,60.0,85.0,5700,9.0,-9.0,1023.0,-17.3,0.0,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,131.0
7047,2013,12,19,14,32.0,27.0,23.0,700,43.0,2.6,1020.1,-17.0,0.0,4.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.0
24678,2015,12,24,5,139.0,21.0,88.0,4400,3.0,-0.5,1016.9,-7.5,0.0,0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,139.0
20973,2015,7,22,20,11.0,2.0,10.0,200,104.0,21.8,996.3,20.1,5.0,1.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.0
427,2013,3,18,18,20.0,6.0,31.0,400,76.0,8.8,997.3,-5.1,0.0,4.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18.0
26092,2016,2,21,3,51.0,8.0,89.0,1300,2.0,-5.7,1017.9,-16.0,0.0,1.3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,45.0
33651,2017,1,1,2,318.0,51.0,69.0,4500,2.0,-5.4,1017.2,-10.6,0.0,0.3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,265.0
31733,2016,10,13,4,96.0,2.0,42.0,1200,3.0,10.0,1011.2,9.2,0.0,1.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,96.0
3335,2013,7,17,22,157.0,13.0,44.0,1200,111.0,28.4,996.3,19.3,0.0,1.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0
33264,2016,12,15,23,23.0,8.0,27.0,400,33.0,-1.9,1023.6,-14.4,0.0,1.3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17.0
20216,2015,6,21,7,46.0,2.0,30.0,500,71.0,21.6,1001.2,14.0,0.0,1.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26.0
18838,2015,4,24,21,144.0,6.0,50.0,700,86.0,20.9,1008.1,1.2,0.0,1.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,64.0
14829,2014,11,8,20,113.0,8.0,64.0,1500,32.0,5.2,1015.0,-2.6,0.0,0.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,96.0
30464,2016,8,21,7,65.0,2.0,24.0,1000,72.0,23.9,1001.2,20.4,0.0,0.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37.0
33013,2016,12,5,12,65.0,4.0,23.0,500,41.0,4.2,1021.1,-16.2,0.0,6.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0
28474,2016,5,30,9,116.0,10.0,51.0,1100,65.0,24.3,995.9,9.8,0.0,1.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0
8494,2014,2,17,21,129.0,61.0,76.0,1700,21.0,0.4,1026.4,-11.7,0.0,2.6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,95.0
272,2013,3,12,7,125.0,17.0,82.0,1800,42.0,3.1,1004.0,1.3,0.3,1.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,124.0
15708,2014,12,15,11,136.0,14.0,16.0,400,56.0,1.0,1027.0,-17.4,0.0,7.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16.0
23992,2015,11,25,15,23.0,4.0,25.0,400,39.0,-5.7,1022.1,-16.3,0.0,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0
18836,2015,4,24,19,190.0,6.0,37.0,600,127.0,24.1,1006.7,1.0,0.0,1.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.0
23393,2015,10,31,16,48.0,4.0,52.0,400,40.0,15.5,1019.6,-4.5,0.0,2.2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25.0
618,2013,3,26,17,270.0,66.0,85.0,1700,59.0,11.9,1000.3,-1.3,0.0,0.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.0
1417,2013,4,29,0,46.0,3.0,6.0,200,101.0,16.9,1005.1,-10.0,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.0
20664,2015,7,9,23,66.0,4.0,35.0,500,104.0,27.8,1002.9,13.3,0.0,1.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0
31695,2016,10,11,14,40.0,4.0,28.0,300,57.0,21.2,1011.1,5.1,0.0,2.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40.0
14399,2014,10,21,22,44.0,6.0,62.0,1100,6.0,7.6,1015.4,-0.6,0.0,1.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,44.0
32874,2016,11,29,17,179.0,28.0,97.0,3200,2.0,2.7,1023.4,-4.5,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,126.0
22661,2015,10,1,4,11.0,2.0,20.0,300,32.0,14.3,1002.0,4.8,0.0,3.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11.0
13950,2014,10,3,5,29.0,2.0,34.0,500,6.0,11.6,1008.5,8.1,0.0,0.8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29.0
11293,2014,6,14,12,48.0,3.0,16.0,500,168.0,29.9,997.3,16.7,0.0,1.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0
3860,2013,8,8,19,80.0,8.0,28.0,700,220.0,31.1,992.4,14.3,0.0,3.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33.0
34748,2017,2,15,19,252.0,25.0,120.0,2000,29.0,3.3,1006.5,-5.9,0.0,0.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252.0
5346,2013,10,9,17,174.0,23.0,62.0,1200,70.0,17.0,1000.4,12.9,0.0,0.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,157.0
11559,2014,6,25,14,132.0,11.0,42.0,1300,178.0,24.6,993.9,20.1,0.7,2.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,119.0
14433,2014,10,23,8,152.0,2.0,68.0,1200,2.0,12.8,1008.2,6.4,0.0,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,121.0
23219,2015,10,24,10,80.0,4.0,52.0,1100,3.0,14.5,1017.4,8.4,0.0,1.6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80.0
31682,2016,10,11,1,128.0,2.0,85.0,1100,11.0,10.1,1009.4,7.3,0.0,1.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,128.0
23492,2015,11,4,19,298.0,12.0,136.0,2600,4.0,11.2,1014.9,5.9,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,255.0
1857,2013,5,17,8,128.0,28.0,43.0,900,47.0,19.1,1004.5,10.9,0.0,1.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,113.0
3451,2013,7,22,18,93.0,17.0,29.0,2300,116.0,28.1,993.4,19.9,0.0,0.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.0
6928,2013,12,14,15,25.0,22.0,21.0,600,50.0,5.2,1018.7,-19.4,0.0,2.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0
12525,2014,8,4,20,50.0,2.0,62.0,600,7.0,22.6,998.1,19.2,0.0,1.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18.0
9566,2014,4,3,13,41.0,2.0,7.0,200,97.0,19.2,1013.2,-24.0,0.0,6.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0
15851,2014,12,21,10,35.0,18.0,24.0,600,36.0,-3.3,1030.0,-22.0,0.0,5.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.0
7227,2013,12,27,2,19.0,15.0,30.0,300,33.0,-5.3,1024.9,-19.1,0.0,0.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.0
22192,2015,9,11,15,7.0,3.0,17.0,500,66.0,24.1,1004.7,8.9,0.0,1.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.0
11821,2014,7,6,12,248.0,5.0,29.0,1400,161.0,30.2,995.6,22.1,0.0,2.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,248.0
732,2013,3,31,11,208.0,15.0,53.0,1399,8.0,4.3,1011.3,2.0,0.0,1.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,160.0
7058,2013,12,20,1,44.0,36.0,40.0,1400,19.0,-7.2,1023.8,-15.6,0.0,0.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36.0
25949,2016,2,15,4,31.0,4.0,30.0,400,45.0,-3.7,1018.8,-18.8,0.0,3.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.0
4699,2013,9,12,18,203.0,28.0,61.0,1600,93.0,23.3,999.9,18.0,0.0,0.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.0
4947,2013,9,23,2,75.0,3.0,51.0,1400,10.0,19.2,1005.2,18.0,5.1,0.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,71.0
1631,2013,5,7,22,259.0,57.0,59.0,2000,174.0,23.9,1005.1,10.2,0.0,1.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,210.0
34542,2017,2,7,5,53.0,20.0,55.0,1200,67.0,-0.8,1022.3,-16.3,0.0,1.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0
20381,2015,6,28,4,94.0,5.0,18.0,700,58.0,24.5,998.2,18.0,0.0,2.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0
25342,2016,1,20,21,172.0,40.0,91.0,4000,4.0,-6.7,1024.5,-15.4,0.0,0.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,129.0
30151,2016,8,8,6,41.0,2.0,39.0,800,9.0,22.8,1002.2,21.1,0.0,0.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20.0
30294,2016,8,14,5,28.0,4.0,37.0,800,25.0,23.1,997.5,17.1,0.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.0
28493,2016,5,31,4,119.0,3.0,21.0,600,76.0,24.5,995.2,16.5,0.0,0.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.0
226,2013,3,10,9,17.0,14.0,31.0,600,94.0,9.4,1019.2,-18.7,0.0,3.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16.0
12196,2014,7,22,3,18.0,4.0,35.0,300,43.0,28.5,997.1,14.0,0.0,2.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.0
18573,2015,4,13,20,75.0,2.0,48.0,600,83.0,14.6,1008.5,1.8,0.0,1.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0
22232,2015,9,13,7,33.0,4.0,43.0,700,27.0,18.2,1008.2,6.4,0.0,2.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.0
24216,2015,12,4,23,26.0,13.0,40.0,600,36.0,4.9,1016.3,-11.7,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.0
76,2013,3,4,3,20.0,4.0,10.0,400,76.0,6.6,1014.2,-14.8,0.0,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0
26874,2016,3,24,17,17.0,3.0,23.0,400,82.0,14.8,1018.5,-14.4,0.0,2.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17.0
11478,2014,6,22,5,17.0,2.0,19.0,400,57.0,17.6,1000.9,14.5,0.0,1.3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.0
30152,2016,8,8,7,51.0,2.0,59.0,1100,2.0,24.4,1002.2,21.3,0.0,0.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29.0
19261,2015,5,12,12,31.0,2.0,10.0,300,99.0,24.1,985.6,1.7,0.0,2.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0
319,2013,3,14,6,66.0,28.0,52.0,1300,92.0,-1.6,1021.4,-5.3,0.0,1.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,56.0
6943,2013,12,15,6,74.0,68.0,53.0,2400,10.0,-5.7,1024.3,-15.0,0.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,72.0
20161,2015,6,19,0,42.0,15.0,15.0,500,71.0,25.4,996.8,5.6,0.0,1.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.0
19460,2015,5,20,19,36.0,2.0,27.0,400,94.0,27.5,1003.2,-0.6,0.0,1.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.0
16297,2015,1,9,0,200.0,82.0,106.0,4500,13.0,-4.0,1016.0,-14.8,0.0,1.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,196.0
1502,2013,5,2,13,109.0,32.0,44.0,1000,122.0,23.2,1001.5,2.1,0.0,1.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0
3667,2013,7,31,18,73.0,4.0,21.0,700,234.0,29.3,989.6,18.7,0.0,8.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,61.0
7246,2013,12,27,21,92.0,53.0,65.0,1300,7.0,-0.4,1018.0,-14.7,0.0,1.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,68.0
7435,2014,1,4,18,173.0,44.0,81.0,5400,9.0,-1.2,1011.5,-6.0,0.0,1.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,153.0
27523,2016,4,20,18,121.0,3.0,38.0,100,118.0,25.2,998.1,2.0,0.0,2.6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,61.0
22064,2015,9,6,7,30.0,2.0,40.0,300,13.0,18.3,1005.3,15.7,0.0,0.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14.0
19601,2015,5,26,16,180.0,26.0,21.0,1200,298.0,33.4,993.7,14.0,0.0,3.8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,105.0
361,2013,3,16,0,244.0,51.0,105.0,2100,81.0,4.5,1012.7,-1.3,0.0,0.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,234.0
31542,2016,10,5,5,33.0,2.0,30.0,1100,2.0,12.0,1008.8,11.2,0.0,1.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.0
25597,2016,1,31,12,14.0,7.0,34.0,500,54.0,-2.0,1028.7,-23.2,0.0,5.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.0
22537,2015,9,26,0,11.0,2.0,42.0,600,23.0,12.9,1004.3,5.1,0.0,1.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.0
12194,2014,7,22,1,13.0,3.0,33.0,300,50.0,28.6,996.5,14.1,0.0,1.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0
1376,2013,4,27,7,71.0,21.0,44.0,700,40.0,15.5,1003.0,-2.5,0.0,0.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38.0
20831,2015,7,16,22,30.0,2.0,20.0,400,41.0,22.6,999.6,18.8,0.0,0.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28.0
24080,2015,11,29,7,241.0,12.0,95.0,7100,6.0,-4.7,1016.9,-6.4,0.0,0.9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,215.0
27783,2016,5,1,14,195.0,25.0,37.0,2200,198.0,26.6,990.8,15.6,0.0,2.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,195.0
8366,2014,2,12,13,22.0,29.0,25.0,700,66.0,3.7,1022.1,-16.7,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,41.0
32838,2016,11,28,5,32.0,8.0,51.0,1000,6.0,-3.3,1023.2,-12.5,0.0,1.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25.0
11215,2014,6,11,6,75.0,2.0,18.0,1100,38.0,19.4,1003.1,15.3,0.0,1.3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,75.0
12165,2014,7,20,20,128.0,8.0,23.0,1000,178.0,32.6,993.1,23.3,0.0,1.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,95.0
22456,2015,9,22,15,229.0,11.0,95.0,1900,56.0,22.1,999.5,17.9,0.0,2.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,229.0
33252,2016,12,15,11,69.0,7.0,19.0,400,40.0,2.0,1025.7,-14.2,0.0,7.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11.0
1142,2013,4,17,13,66.0,14.0,30.0,600,95.0,15.7,999.1,-3.3,0.0,1.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,41.0
