No,year,month,day,hour,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station_Dingling,wd_E,wd_ENE,wd_ESE,wd_N,wd_NE,wd_NNE,wd_NNW,wd_NW,wd_S,wd_SE,wd_SSE,wd_SSW,wd_SW,wd_W,wd_WNW,wd_WSW,Label
22146,2015,9,9,17,16.0,2.0,7.0,400,72.0,22.6,1011.1,13.9,0.0,1.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.0
26882,2016,3,25,1,5.0,2.0,2.0,300,87.0,6.8,1021.3,-12.9,0.0,1.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0
32497,2016,11,14,0,115.0,2.0,37.0,1600,3.0,4.3,1007.6,2.6,0.0,1.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,110.0
26632,2016,3,14,15,93.0,12.0,53.0,1100,80.0,16.6,1010.2,-12.0,0.0,2.6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,59.0
4721,2013,9,13,16,99.0,1.0,43.0,900,22.0,20.2,995.7,18.7,0.0,0.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,112.0
16254,2015,1,7,5,48.0,26.0,48.0,1300,13.0,-6.0,1018.0,-18.1,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40.0
32709,2016,11,22,20,19.0,2.0,7.0,400,53.0,-3.8,1030.0,-16.4,0.0,1.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.0
25589,2016,1,31,4,11.0,7.0,7.0,300,66.0,-7.2,1028.0,-24.9,0.0,5.7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.0
7146,2013,12,23,17,114.0,51.0,81.0,1600,20.0,0.5,1023.5,-11.6,0.0,2.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,101.0
3670,2013,7,31,21,20.0,3.0,2.0,500,125.0,21.9,992.6,20.7,2.2,4.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0
22607,2015,9,28,22,54.0,2.0,15.0,900,25.0,15.7,1017.6,13.9,0.0,0.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,34.0
13076,2014,8,27,19,134.0,13.0,28.0,600,205.0,29.0,1003.9,14.8,0.0,1.6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,61.0
7776,2014,1,18,23,138.0,27.0,78.0,1900,9.0,-1.1,1020.6,-11.5,0.0,2.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.0
31409,2016,9,29,16,35.0,2.0,34.0,300,127.0,20.4,1007.3,5.6,0.0,1.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,35.0
17831,2015,3,13,22,28.0,7.0,9.0,500,66.0,5.3,1015.1,-21.9,0.0,1.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.0
12811,2014,8,16,18,65.0,4.0,19.0,400,233.0,30.7,997.2,17.8,0.0,1.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29.0
18724,2015,4,20,3,23.0,2.0,16.0,200,50.0,9.6,1007.0,-7.6,0.0,1.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23.0
32774,2016,11,25,13,226.0,37.0,106.0,3200,6.0,3.3,1015.4,-7.8,0.0,0.9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,167.0
14958,2014,11,14,5,20.0,10.0,14.0,400,39.0,1.4,1023.0,-12.4,0.0,1.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.0
30929,2016,9,9,16,30.0,7.0,5.0,400,92.0,31.6,998.5,10.9,0.0,2.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.0
14536,2014,10,27,15,92.0,21.0,45.0,700,50.0,14.4,1020.1,-3.4,0.0,1.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0
1444,2013,4,30,3,19.0,3.0,3.0,200,82.0,14.9,1005.6,-8.6,0.0,1.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.0
1194,2013,4,19,17,57.0,11.0,22.0,500,96.0,7.2,1012.7,-3.1,0.0,3.3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,42.0
2897,2013,6,29,16,73.0,3.0,17.0,1800,58.0,24.2,995.5,21.1,0.0,1.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,99.0
19321,2015,5,15,0,30.0,2.0,3.0,200,101.0,21.0,1003.1,3.7,0.0,2.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.0
6368,2013,11,21,7,34.0,11.0,25.0,400,26.5608,-0.2,1018.3,-7.0,0.0,1.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20.0
27944,2016,5,8,7,86.0,3.0,37.0,700,22.0,13.5,1006.3,3.0,0.0,1.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31.0
22153,2015,9,10,0,23.0,2.0,16.0,300,42.0,20.2,1013.7,13.9,0.0,1.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0
29793,2016,7,24,8,45.0,2.0,19.0,700,30.0,26.1,996.5,23.0,0.0,1.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34.0
21058,2015,7,26,9,65.0,21.0,28.0,700,53.0,29.5,995.4,20.4,0.0,1.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0
224,2013,3,10,7,8.0,12.0,10.0,300,91.0,5.7,1019.8,-19.0,0.0,3.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.0
2982,2013,7,3,5,11.0,5.0,10.0,800,61.0,26.0,987.9,17.1,0.0,0.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.0
31759,2016,10,14,6,147.0,2.0,18.0,1200,27.0,11.6,1011.3,10.8,0.0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,147.0
15675,2014,12,14,2,54.0,18.0,30.0,800,14.0,-4.9,1017.0,-17.7,0.0,2.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,41.0
30311,2016,8,14,22,18.0,2.0,6.0,400,72.0,27.4,998.2,18.4,0.0,1.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13.0
27562,2016,4,22,9,191.0,2.0,2.0,200,102.0,18.7,1001.1,-14.9,0.0,5.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48.0
33316,2016,12,18,3,169.0,13.0,65.0,1900,15.0,-3.4,1015.3,-7.9,0.0,0.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.0
1374,2013,4,27,5,59.0,15.0,20.0,500,58.0,10.5,1001.9,-2.9,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35.0
29171,2016,6,28,10,41.0,2.0,13.0,500,99.0,20.9,997.5,18.1,0.0,2.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,41.0
26683,2016,3,16,18,337.0,33.0,123.0,1900,79.0,14.2,1005.1,0.4,0.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.0
13232,2014,9,3,7,16.0,9.0,13.0,500,37.0,21.6,1003.4,11.6,0.0,1.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16.0
28158,2016,5,17,5,29.0,2.0,13.0,100,65.0,13.9,999.6,5.5,0.0,2.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.0
14473,2014,10,25,0,261.0,2.0,30.0,1600,42.0,10.5,1003.0,8.8,0.0,0.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,261.0
10234,2014,5,1,9,150.0,9.0,57.0,800,44.0,20.9,999.9,13.3,0.0,1.6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,133.0
7060,2013,12,20,3,6.0,6.0,4.0,200,75.0,-7.0,1023.9,-15.2,0.0,1.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.0
12913,2014,8,21,0,137.0,12.0,16.0,1200,154.0,27.3,998.5,18.6,0.0,1.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,109.0
34383,2017,1,31,14,36.0,17.0,16.0,700,76.0,6.4,1016.1,-25.6,0.0,4.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36.0
22955,2015,10,13,10,22.0,18.0,14.0,600,74.0,22.5,1013.0,0.3,0.0,1.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.0
23691,2015,11,13,2,151.0,7.0,52.0,3200,2.0,6.9,1016.5,5.0,0.0,1.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.0
13870,2014,9,29,21,14.0,2.0,10.0,200,51.0,15.4,1017.8,1.1,0.0,1.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
4236,2013,8,24,11,34.0,19.0,15.0,600,68.0,32.9,1000.6,13.5,0.0,1.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18.0
22698,2015,10,2,17,21.0,13.0,14.0,400,108.0,26.1,999.0,5.6,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21.0
23785,2015,11,17,0,73.0,2.0,40.0,1600,2.0,4.2,1012.9,2.1,0.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,73.0
17924,2015,3,17,19,208.0,22.0,41.0,2000,126.0,13.8,1009.2,-4.0,0.0,3.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,150.0
16375,2015,1,12,6,114.0,17.0,58.0,3000,2.0,-6.0,1028.0,-11.5,0.0,1.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,114.0
20045,2015,6,14,4,5.0,2.0,24.0,200,43.0,17.6,999.8,13.9,0.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0
33403,2016,12,21,18,406.0,16.0,178.0,6900,4.0,2.9,1015.3,-3.0,0.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,406.0
21721,2015,8,23,0,21.0,6.0,10.0,800,64.0,23.5,999.6,18.6,0.0,1.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21.0
9501,2014,3,31,20,29.0,9.0,13.0,500,96.0,15.5,1005.9,4.2,0.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0
22080,2015,9,6,23,22.0,2.0,11.0,400,40.0,18.6,1003.8,15.3,0.0,1.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.0
29770,2016,7,23,9,117.0,2.0,30.0,1000,41.0,28.1,992.8,24.9,0.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,117.0
10997,2014,6,2,4,32.0,2.0,9.0,100,51.0,17.9,1003.8,14.2,0.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22.0
20684,2015,7,10,19,104.0,10.0,18.0,600,254.0,31.6,998.5,17.1,0.0,2.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,67.0
23309,2015,10,28,4,8.0,2.0,3.0,500,61.0,6.8,1013.7,-6.9,0.0,1.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0
11315,2014,6,15,10,83.0,11.0,38.0,900,133.0,29.8,996.1,17.3,0.0,2.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.0
30166,2016,8,8,21,31.0,2.0,5.0,500,69.0,28.4,1000.5,19.1,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22.0
22160,2015,9,10,7,16.0,2.0,9.0,300,27.0,17.6,1013.7,14.7,0.2,1.3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.0
11242,2014,6,12,9,5.0,31.0,16.0,300,91.0,30.9,998.1,12.3,0.0,1.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18.0
15269,2014,11,27,4,33.0,4.0,4.0,200,67.0,6.5,1017.0,-14.9,0.0,2.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.0
20036,2015,6,13,19,12.0,2.0,8.0,300,104.0,20.8,998.0,17.4,4.4,3.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.0
12113,2014,7,18,16,192.0,9.0,21.0,2000,277.0,32.3,996.8,23.5,0.0,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.0
19935,2015,6,9,14,100.0,16.0,12.0,600,191.0,28.3,991.9,12.6,0.0,2.8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33.0
26784,2016,3,20,23,92.0,4.0,46.0,800,39.0,8.9,1016.0,-5.4,0.0,0.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,62.0
16263,2015,1,7,14,24.0,16.0,16.0,600,57.0,3.0,1019.0,-19.7,0.0,1.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24.0
10490,2014,5,12,1,5.0,2.0,21.0,100,8.0,11.3,991.1,9.6,0.0,1.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0
26559,2016,3,11,14,28.0,3.0,2.0,300,93.0,8.5,1012.3,-19.4,0.0,2.9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.0
27796,2016,5,2,3,55.0,3.0,2.0,200,107.0,20.5,997.0,7.1,0.0,3.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,55.0
33695,2017,1,2,22,179.0,12.0,74.0,3000,25.0,-2.3,1015.7,-9.5,0.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,179.0
9503,2014,3,31,22,51.0,7.0,13.0,400,67.0,14.1,1006.6,8.9,0.0,2.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0
25797,2016,2,8,20,17.0,4.0,5.0,300,79.0,7.9,1008.5,-12.0,0.0,1.8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13.0
12801,2014,8,16,8,20.0,2.0,13.0,300,82.0,28.3,1000.3,13.8,0.0,1.7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.0
17870,2015,3,15,13,122.0,10.0,16.0,400,87.0,15.7,1006.7,-17.2,0.0,3.3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29.0
14971,2014,11,14,18,93.0,18.0,67.0,1000,7.0,9.0,1022.0,-10.5,0.0,0.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,51.0
16055,2014,12,29,22,32.0,2.0,3.0,200,73.0,5.0,1023.0,-15.0,0.0,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.0
14031,2014,10,6,14,19.0,2.0,14.0,300,79.0,21.1,1012.3,-2.1,0.0,2.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.0
25295,2016,1,18,22,34.0,2.0,2.0,200,74.0,-8.7,1020.2,-23.2,0.0,2.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.0
10158,2014,4,28,5,72.0,2.0,33.0,1000,22.0,12.2,1012.9,6.9,0.0,1.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,92.0
27361,2016,4,14,0,105.0,2.0,2.0,200,93.0,14.7,1001.4,-5.7,0.0,1.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24.0
31273,2016,9,24,0,58.0,2.0,8.0,200,110.0,21.8,1003.5,16.1,0.0,3.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,58.0
16246,2015,1,6,21,61.0,22.0,41.0,1100,17.0,-1.0,1018.0,-19.1,0.0,0.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,53.0
6757,2013,12,7,12,253.0,99.0,127.0,3100,10.0,6.4,1010.3,-5.0,0.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,205.0
4994,2013,9,25,1,43.0,1.0,5.0,200,38.0,12.4,1014.1,0.5,0.0,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.0
9806,2014,4,13,13,191.0,32.0,53.0,1200,194.0,22.5,1007.1,5.4,0.0,1.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,182.0
25760,2016,2,7,7,62.0,16.0,11.0,600,66.0,-1.0,1012.5,-15.3,0.0,2.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24.0
19100,2015,5,5,19,46.0,2.0,3.0,100,114.0,24.2,995.3,-9.4,0.0,2.7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.0
3925,2013,8,11,12,119.0,12.0,16.0,1700,106.0,29.8,996.4,25.8,0.0,3.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.0
20086,2015,6,15,21,116.0,13.0,17.0,800,182.0,26.7,995.4,13.8,0.0,0.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,79.0
28396,2016,5,27,3,11.0,2.0,8.0,200,61.0,18.1,1001.1,3.5,0.0,1.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.0
