No,year,month,day,hour,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station_Gucheng,wd_E,wd_ENE,wd_ESE,wd_N,wd_NE,wd_NNE,wd_NNW,wd_NW,wd_S,wd_SE,wd_SSE,wd_SSW,wd_SW,wd_W,wd_WNW,wd_WSW,Label
28528,2016,6,1,15,55.0,4.0,30.0,600,168.0,29.1,1003.2,7.6,0.0,2.2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,38.0
24481,2015,12,16,0,5.0,4.0,7.0,400,42.0,-1.4,1021.6,-17.2,0.0,2.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0
9902,2014,4,17,13,98.0,9.0,76.0,2600,39.0,15.3,1005.0,9.0,0.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0
28087,2016,5,14,6,21.0,2.0,21.0,300,99.0,12.4,1010.0,9.4,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21.0
3046,2013,7,5,21,78.0,3.0,59.0,600,122.0,29.1,992.5,18.5,0.0,1.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31.0
3595,2013,7,28,18,3.0,3.0,21.0,600,155.0,32.4,991.7,21.9,0.0,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21.0
11979,2014,7,13,2,57.0,3.0,37.0,500,96.0,23.6,995.0,14.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.0
30635,2016,8,28,10,46.0,3.0,39.0,400,41.0,28.6,1006.6,8.3,0.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.0
30951,2016,9,10,14,31.0,2.0,25.0,400,75.0,29.6,1001.6,10.2,0.0,1.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0
3433,2013,7,22,0,100.0,3.0,70.0,1300,31.0,24.7,997.4,21.6,0.0,1.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,100.0
32148,2016,10,30,11,112.0,7.0,60.0,1200,9.0,8.5,1017.5,-1.3,0.0,1.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0
22030,2015,9,4,21,38.0,2.0,30.0,1600,64.0,20.0,1004.2,19.0,1.0,0.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,38.0
8300,2014,2,9,19,20.0,13.0,24.0,600,66.0,-4.4,1027.7,-17.6,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12.0
9771,2014,4,12,2,325.0,22.0,119.0,1600,5.0,8.9,1008.7,1.5,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,119.0
26564,2016,3,11,19,81.0,14.0,37.0,700,59.0,6.0,1012.6,-15.9,0.0,2.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,41.0
11337,2014,6,16,8,212.0,2.0,43.0,1100,36.0,25.7,996.0,19.3,0.0,1.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,187.0
23009,2015,10,15,16,125.0,11.0,44.0,1000,195.0,25.3,1007.5,9.6,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,104.0
18343,2015,4,4,6,52.0,3.0,40.0,600,42.0,8.7,1003.7,2.9,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,42.0
19399,2015,5,18,6,30.0,6.0,25.0,400,77.0,20.3,993.3,11.2,0.0,0.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0
17829,2015,3,13,20,130.0,23.0,95.0,1200,15.0,8.7,1015.2,-16.6,0.0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,57.0
3072,2013,7,6,23,162.0,3.0,19.0,500,138.0,22.1,994.0,20.9,5.4,1.4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18.0
18490,2015,4,10,9,206.0,14.0,61.0,1200,44.0,12.9,1013.9,5.8,0.0,1.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.0
34575,2017,2,8,14,45.0,4.0,12.0,400,52.0,3.4,1022.2,-21.7,0.0,4.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.0
33930,2017,1,12,17,153.0,28.0,80.0,2000,37.0,4.075,1007.5,-12.0,0.0,2.3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,111.0
2743,2013,6,23,6,36.0,3.0,34.0,700,31.0,22.5,997.7,18.7,0.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0
23084,2015,10,18,19,93.0,16.0,59.0,1300,16.0,15.4,1015.7,2.5,0.0,2.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,44.0
2795,2013,6,25,10,71.0,3.0,34.0,1200,90.0,23.7,993.3,20.4,0.0,0.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,73.0
10857,2014,5,27,8,549.0,5.0,45.0,500,73.0,31.0,987.2,2.2,0.0,3.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,117.0
20561,2015,7,5,16,72.0,9.0,20.0,1000,248.0,30.0,1000.4,14.5,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,61.0
1335,2013,4,25,14,70.0,3.0,8.0,300,94.0,22.2,1003.7,-9.7,0.0,3.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.0
22042,2015,9,5,9,13.0,2.0,29.0,600,81.0,18.5,1002.5,17.7,1.9,0.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.0
3717,2013,8,2,20,27.0,3.0,39.0,700,102.0,25.1,997.6,18.5,0.0,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25.0
23697,2015,11,13,8,230.0,9.0,57.0,2900,2.0,6.8,1016.7,4.8,0.0,0.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,230.0
22471,2015,9,23,6,24.0,2.0,48.0,700,3.0,15.0,1002.6,14.2,0.0,0.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24.0
24271,2015,12,7,6,182.0,41.0,93.0,4000,2.0,1.7,1024.3,-3.0,0.0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.0
25167,2016,1,13,14,88.0,25.0,33.0,1200,47.0,1.4,1014.5,-24.1,0.0,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,46.0
28173,2016,5,17,20,171.0,20.0,54.0,1200,177.0,26.8,1001.2,11.3,0.0,2.8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,83.0
11058,2014,6,4,17,130.0,4.0,39.0,700,164.0,26.7,996.9,15.7,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48.0
26744,2016,3,19,7,120.0,22.0,47.0,1100,44.0,9.3,1015.6,-4.3,0.0,1.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,80.0
3946,2013,8,12,9,41.0,3.0,27.0,800,37.0,27.0,998.2,23.5,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,50.0
31853,2016,10,18,4,99.0,2.0,77.0,1600,2.0,12.0,1013.2,10.4,0.0,0.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.0
15763,2014,12,17,18,215.0,54.0,104.0,2200,4.0,2.1,1017.0,-15.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,113.0
23627,2015,11,10,10,149.0,3.0,58.0,1900,3.0,5.7,1022.5,4.0,0.0,0.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.0
9381,2014,3,26,20,435.0,45.0,106.0,2000,87.0,16.3,1002.2,9.7,0.0,0.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,368.0
10874,2014,5,28,1,62.0,2.0,38.0,300,71.0,20.8,994.2,3.9,0.0,0.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16.0
33861,2017,1,9,20,89.0,7.0,70.0,1600,19.0,-1.175,1013.0,-9.8,0.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,87.0
4446,2013,9,2,5,7.0,1.0,33.0,500,49.0,18.2,1008.7,12.6,0.0,0.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25.0
3282,2013,7,15,17,20.0,3.0,36.0,1100,47.0,24.6,988.3,23.9,0.3,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48.0
1435,2013,4,29,18,102.0,4.0,15.0,300,107.0,26.3,1001.5,-9.1,0.0,3.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.0
5045,2013,9,27,4,92.0,5.0,71.0,800,1.0,10.4,1005.2,9.2,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42.0
28912,2016,6,17,15,41.0,2.0,16.0,300,137.0,29.6,991.6,12.5,0.0,3.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13.0
30497,2016,8,22,16,74.0,2.0,18.0,500,131.0,31.5,1002.3,18.8,0.0,2.8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,33.0
27298,2016,4,11,9,91.0,8.0,26.0,600,75.0,10.6,1013.9,-5.4,0.0,3.3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27.0
3453,2013,7,22,20,78.0,6.0,64.0,1100,71.0,26.3,995.8,19.2,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,68.0
5001,2013,9,25,8,40.0,8.0,52.0,600,12.0,18.9,1016.0,3.9,0.0,1.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.0
22165,2015,9,10,12,28.0,2.0,25.0,300,32.0,17.0,1015.3,12.7,0.3,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.0
9116,2014,3,15,19,225.0,37.0,109.0,1200,74.0,14.0,1002.9,-5.2,0.0,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,118.0
16863,2015,2,1,14,50.0,30.0,63.0,1300,23.0,3.0,1024.0,-19.7,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,48.0
15375,2014,12,1,14,10.0,7.0,11.0,400,58.0,-0.1,1021.0,-23.0,0.0,3.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10.0
15923,2014,12,24,10,29.0,24.0,34.0,600,35.0,3.5,1024.0,-14.7,0.0,2.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
4696,2013,9,12,15,181.0,26.0,87.0,1600,97.0,25.1,1001.9,18.1,0.0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.0
22370,2015,9,19,1,16.0,2.0,17.0,200,58.0,18.3,1010.5,15.2,0.0,0.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13.0
16719,2015,1,26,14,30.0,10.0,17.0,400,53.0,3.0,1023.0,-15.2,0.0,2.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.0
31636,2016,10,9,3,40.0,2.0,48.0,500,2.0,4.5,1016.7,3.2,0.0,0.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20.0
5146,2013,10,1,9,48.0,2.0,54.0,1700,2.0,17.1,1009.4,16.3,2.6,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,174.0
31205,2016,9,21,4,80.0,2.0,60.0,500,3.0,15.7,1011.4,13.4,0.0,0.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36.0
3742,2013,8,3,21,117.0,3.0,49.0,1000,111.0,26.7,995.9,22.3,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48.0
17484,2015,2,27,11,17.0,12.0,38.0,600,38.0,0.2,1027.3,-16.6,0.0,0.9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12.0
19611,2015,5,27,2,185.0,26.0,37.0,800,108.0,23.3,997.2,14.6,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,93.0
34543,2017,2,7,6,136.0,29.0,72.0,2000,2.0,-0.8,1023.4,-12.4,0.0,1.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,113.0
644,2013,3,27,19,28.0,3.0,21.0,400,99.0,11.7,1006.9,-15.9,0.0,2.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0
13142,2014,8,30,13,171.0,2.0,68.0,1600,39.0,26.0,1005.9,21.4,0.0,0.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.0
11142,2014,6,8,5,11.0,2.0,35.0,300,40.0,20.5,995.3,10.9,0.0,1.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.0
22882,2015,10,10,9,10.0,3.0,12.0,300,42.0,12.5,1010.4,-4.6,0.0,2.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.0
15433,2014,12,4,0,8.0,4.0,8.0,300,70.0,-2.2,1018.0,-25.4,0.0,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.0
23205,2015,10,23,20,119.0,2.0,78.0,1000,6.0,14.1,1009.5,10.7,0.0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,77.0
2277,2013,6,3,20,143.0,18.0,80.0,1399,167.0,24.9,998.7,14.4,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,127.0
3280,2013,7,15,15,6.0,3.0,30.0,1300,37.0,25.0,990.0,24.1,2.0,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36.0
21509,2015,8,14,4,210.0,2.0,62.0,1500,48.0,26.1,995.0,23.2,0.0,0.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,139.0
11967,2014,7,12,14,17.0,2.0,13.0,300,151.0,34.2,993.3,12.0,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0
22058,2015,9,6,1,12.0,2.0,9.0,300,97.0,17.8,1005.1,16.3,0.0,0.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
27064,2016,4,1,15,48.0,2.0,10.0,300,95.0,21.0,1001.7,-4.3,0.0,5.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.0
18761,2015,4,21,16,473.0,2.0,14.0,300,101.0,26.6,999.5,-10.4,0.0,3.3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,92.0
30348,2016,8,16,11,44.0,2.0,24.0,400,120.0,28.8,999.2,18.6,0.0,1.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0
25549,2016,1,29,12,82.0,47.0,38.0,1800,31.0,-2.8,1028.5,-17.2,0.0,3.3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,63.0
27513,2016,4,20,8,84.0,9.0,61.0,900,23.0,12.4,1007.8,5.1,0.0,2.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,69.0
23837,2015,11,19,4,96.0,3.0,46.0,1800,2.0,3.9,1016.9,2.7,0.2,0.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,96.0
12649,2014,8,10,0,17.0,2.0,30.0,500,99.0,20.1,997.1,20.1,0.0,0.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17.0
4824,2013,9,17,23,88.0,4.0,98.0,2400,1.0,19.4,1010.7,18.6,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,110.0
3932,2013,8,11,19,58.0,3.0,51.0,1000,49.0,24.6,999.6,23.6,0.0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46.0
29226,2016,6,30,17,39.0,2.0,22.0,600,247.0,33.1,993.5,18.5,0.0,1.3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,39.0
7084,2013,12,21,3,106.0,35.0,76.0,3700,8.0,-6.7,1029.1,-14.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,70.0
7320,2013,12,30,23,172.0,79.0,104.0,3000,15.0,-2.3,1005.6,-14.4,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,129.0
4371,2013,8,30,2,9.0,1.0,17.0,300,43.0,19.5,1003.9,12.0,0.0,1.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
17474,2015,2,27,1,28.0,7.0,20.0,700,49.0,0.1,1024.1,-19.2,0.0,1.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0
5550,2013,10,18,5,198.0,8.0,110.0,1900,2.0,6.3,1018.1,5.4,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,188.0
23312,2015,10,28,7,19.0,2.0,12.0,300,51.0,9.0,1016.0,-8.6,0.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0
1353,2013,4,26,8,103.0,10.0,92.0,1000,5.0,16.8,1004.0,-5.1,0.0,1.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0
26366,2016,3,3,13,318.0,68.0,129.0,3500,32.0,12.6,1003.8,0.3,0.0,1.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.0
13567,2014,9,17,6,67.0,2.0,51.0,600,2.0,15.6,1013.7,12.0,0.0,0.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32.0
9849,2014,4,15,8,221.0,8.0,122.0,1600,3.0,19.5,1013.5,11.5,0.0,1.4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,156.0
29407,2016,7,8,6,80.0,2.0,47.0,700,23.0,25.1,1002.4,21.2,0.0,1.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,68.0
21713,2015,8,22,16,10.0,2.0,7.0,300,119.0,32.0,995.5,14.6,0.0,0.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0
7165,2013,12,24,12,161.0,112.0,119.0,3300,12.0,0.9,1025.6,-10.6,0.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.0
23733,2015,11,14,20,378.0,12.0,82.0,3500,2.0,9.4,1009.1,6.7,0.0,0.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,378.0
9713,2014,4,9,16,169.0,2.0,12.0,200,107.0,28.3,1001.8,-2.8,0.0,1.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0
26686,2016,3,16,21,378.0,63.0,94.0,2700,72.0,12.8,1007.3,1.5,0.0,0.7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,377.0
23532,2015,11,6,11,20.0,2.0,42.0,800,11.0,1.2,1023.9,0.2,0.6,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20.0
21569,2015,8,16,16,144.0,3.0,31.0,700,348.0,35.4,996.0,17.1,0.0,1.9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,45.0
14745,2014,11,5,8,115.0,6.0,69.0,2600,10.0,6.7,1011.0,0.6,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,77.0
1078,2013,4,14,21,159.0,14.0,43.0,600,71.0,12.4,997.9,-1.2,0.0,0.9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,110.0
17573,2015,3,3,4,32.0,4.0,3.0,100,72.0,3.6,1012.4,-23.2,0.0,2.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.0
8036,2014,1,29,19,168.0,94.0,115.0,2700,11.0,-1.5,1004.8,-7.8,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.0
27972,2016,5,9,11,111.0,5.0,35.0,500,86.0,21.6,1005.1,10.4,0.0,2.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0
24571,2015,12,19,18,160.0,33.0,88.0,2300,4.0,0.2,1024.8,-5.2,0.0,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,160.0
29175,2016,6,28,14,65.0,2.0,32.0,700,92.0,21.6,998.3,17.8,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,63.0
24876,2016,1,1,11,156.0,41.0,97.0,3300,7.0,0.8,1016.8,-7.7,0.0,0.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.0
22634,2015,9,30,1,21.0,2.0,39.0,600,8.0,13.5,1018.2,12.4,0.1,0.4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20.0
16815,2015,1,30,14,8.0,5.0,9.0,300,66.0,3.0,1028.0,-23.7,0.0,2.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.0
16680,2015,1,24,23,76.0,12.0,68.0,1500,4.0,0.0,1022.0,-1.8,0.0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,73.0
34064,2017,1,18,7,49.0,23.0,80.0,1600,7.0,-7.05,1024.0,-11.9,0.0,1.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,39.0
11399,2014,6,18,22,136.0,2.0,38.0,1000,120.0,23.6,995.0,20.3,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111.0
25641,2016,2,2,8,22.0,25.0,67.0,1700,7.0,-6.8,1024.8,-16.5,0.0,1.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22.0
32967,2016,12,3,14,136.0,33.0,94.0,2000,18.0,8.9,1011.0,-7.3,0.0,1.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,110.0
29593,2016,7,16,0,48.0,2.0,36.0,700,49.0,20.3,996.0,18.1,0.0,0.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42.0
14387,2014,10,21,10,38.0,28.0,62.0,1500,15.0,13.9,1018.4,-4.8,0.0,1.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38.0
18643,2015,4,16,18,117.0,3.0,24.0,400,100.0,18.9,1001.1,-5.3,0.0,2.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.0
19817,2015,6,4,16,55.0,3.0,29.0,800,82.0,20.4,994.3,17.4,0.1,1.6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,55.0
32393,2016,11,9,16,240.0,44.0,92.0,1600,7.0,6.6,1018.2,0.3,0.0,1.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,210.0
20764,2015,7,14,3,35.0,2.0,8.0,200,184.0,22.1,995.1,20.6,9.1,0.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35.0
28539,2016,6,2,2,53.0,7.0,100.0,800,23.0,18.4,1004.3,9.7,0.0,0.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,49.0
4666,2013,9,11,9,78.0,5.0,62.0,800,11.0,23.6,1008.5,11.9,0.0,1.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0
32457,2016,11,12,8,136.0,8.0,60.0,1600,4.0,5.2,1013.8,-3.9,0.0,2.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60.0
18979,2015,4,30,18,153.0,11.0,28.0,700,213.0,28.4,1000.0,13.1,0.0,1.6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,70.0
33053,2016,12,7,4,161.0,23.0,109.0,3300,5.0,2.6,1014.7,-10.3,0.0,3.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,93.0
13978,2014,10,4,9,71.0,4.0,39.0,800,45.0,15.2,1011.8,12.7,0.0,1.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,71.0
17213,2015,2,16,4,285.0,72.0,80.0,5100,4.0,0.0,1008.0,-8.0,0.0,0.8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,279.0
30916,2016,9,9,3,52.0,2.0,72.0,500,2.0,16.6,1000.2,14.6,0.0,0.9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27.0
29666,2016,7,19,1,208.0,3.0,100.0,1200,6.0,24.0,999.6,20.7,0.0,0.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,165.0
21533,2015,8,15,4,84.0,2.0,28.0,600,78.0,22.2,997.0,19.6,0.0,0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22.0
19927,2015,6,9,6,62.0,3.0,50.0,400,51.0,21.3,994.0,12.2,0.0,0.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0
14064,2014,10,7,23,279.0,4.0,120.0,2000,2.0,12.8,1011.8,11.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,205.0
