No,year,month,day,hour,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station_Shunyi,wd_E,wd_ENE,wd_ESE,wd_N,wd_NE,wd_NNE,wd_NNW,wd_NW,wd_S,wd_SE,wd_SSE,wd_SSW,wd_SW,wd_W,wd_WNW,wd_WSW,Label
15740,2014,12,16,19,22.0,2.0,23.0,300,40.0,-2.9,1013.0,-22.8,0.0,2.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0
27511,2016,4,20,6,45.0,10.0,18.0,500,63.0,10.0,1011.8,3.9,0.0,1.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45.0
7271,2013,12,28,22,52.0,34.0,73.0,800,3.0,-4.1,1020.5,-20.4,0.0,1.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30.0
17007,2015,2,7,14,8.0,2.0,8.0,200,77.0,2.0,1029.0,-18.1,0.0,4.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.0
30736,2016,9,1,15,12.0,4.0,11.0,200,65.0,24.8,992.8,9.1,0.0,3.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
3054,2013,7,6,5,133.0,15.0,50.0,1100,25.0,24.3,998.6,20.2,0.0,1.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,86.0
16996,2015,2,7,3,40.0,10.0,45.0,900,27.0,2.0,1021.0,-13.4,0.0,1.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40.0
31797,2016,10,15,20,158.0,4.0,82.0,1900,2.0,15.6,1018.5,13.1,0.0,0.9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,158.0
19093,2015,5,5,12,99.0,10.0,27.0,500,91.0,23.1,1000.9,3.1,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52.0
684,2013,3,29,11,90.0,59.0,54.0,3000,38.0,9.2,1019.0,-12.6,0.0,3.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0
8278,2014,2,8,21,6.0,2.0,7.0,100,74.0,-6.0,1031.6,-20.8,0.0,2.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0
28523,2016,6,1,10,100.0,5.0,35.0,800,43.0,23.5,1010.6,11.9,0.0,1.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30.0
2740,2013,6,23,3,72.0,8.0,67.0,2399,2.0,20.4,1002.6,20.4,0.0,1.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,93.0
34258,2017,1,26,9,245.0,30.0,81.0,6200,3.0,-3.45,1017.0,-9.1,0.0,0.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,245.0
879,2013,4,6,14,6.0,3.0,10.0,300,89.0,14.0,1010.3,-11.5,0.0,2.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
13442,2014,9,12,1,87.0,2.0,13.0,1300,95.0,19.6,1011.1,18.3,0.0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,87.0
20999,2015,7,23,22,32.0,2.0,37.0,600,58.0,24.9,999.5,20.8,0.0,0.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32.0
2887,2013,6,29,6,25.0,3.0,27.0,900,61.0,21.6,1001.5,21.6,0.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45.0
17277,2015,2,18,20,69.0,20.0,40.0,600,54.0,4.0,1027.0,-13.8,0.0,1.8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,58.0
17938,2015,3,18,9,99.0,30.0,71.0,1200,16.0,8.2,1014.9,-8.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,58.0
2838,2013,6,27,5,36.0,3.0,21.0,500,44.0,22.3,995.0,21.5,0.0,0.7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29.0
4642,2013,9,10,9,140.0,4.0,35.0,1300,24.0,25.1,1010.3,16.0,0.0,1.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,139.0
1997,2013,5,23,4,120.0,12.0,85.0,1000,8.0,17.2,1008.2,6.4,0.0,1.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,54.0
19446,2015,5,20,5,32.0,2.0,60.0,400,8.0,14.0,1012.5,3.4,0.0,1.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21.0
5898,2013,11,1,17,236.0,26.0,153.0,1900,2.142,11.0,1021.2,5.5,0.0,1.7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,223.0
34024,2017,1,16,15,13.0,3.0,63.0,2000,26.0,-1.175,1028.0,-6.3,0.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.0
2375,2013,6,7,22,118.0,3.0,52.0,2100,2.0,20.6,1006.2,19.3,0.0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,115.0
34933,2017,2,23,12,10.0,3.0,12.0,300,83.0,5.7,1026.2,-13.9,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.0
5040,2013,9,26,23,166.0,14.0,55.0,2600,14.0,13.7,1010.4,10.1,0.0,1.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,89.0
1755,2013,5,13,2,118.0,31.0,85.0,800,17.0,14.5,999.5,5.0,0.0,1.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,55.0
24737,2015,12,26,16,165.0,9.0,72.0,2900,6.0,-1.1,1024.8,-5.1,0.0,1.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,165.0
681,2013,3,29,8,168.0,7.0,66.0,2899,4.0,5.6,1021.2,-4.0,0.0,1.3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,84.0
17205,2015,2,15,20,255.0,84.0,115.0,4300,14.0,5.0,1012.0,-8.2,0.0,1.9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,242.0
16189,2015,1,4,12,96.0,53.0,52.0,1500,31.0,4.0,1013.0,-15.3,0.0,0.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,90.0
8363,2014,2,12,10,43.0,31.0,26.0,800,53.0,0.6,1030.8,-17.2,0.0,2.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44.0
19546,2015,5,24,9,179.0,26.0,53.0,1200,69.0,23.3,1004.8,13.7,0.0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,150.0
1407,2013,4,28,14,121.0,72.0,37.0,2100,124.0,18.0,1004.3,6.5,0.0,1.4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,92.0
33986,2017,1,15,1,73.0,22.0,66.0,1000,2.0,-3.975,1033.5,-8.5,0.0,2.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,56.0
9271,2014,3,22,6,108.0,19.0,77.0,600,3.0,3.9,1013.0,-4.8,0.0,0.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,51.0
24312,2015,12,8,23,284.0,18.0,68.0,4200,3.0,1.3,1025.3,-0.5,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,284.0
8987,2014,3,10,10,62.0,56.0,42.0,1200,38.0,4.0,1022.2,-4.5,0.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,54.0
22259,2015,9,14,10,147.0,9.0,56.0,1000,32.0,22.0,1016.5,14.1,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,97.0
31434,2016,9,30,17,150.0,16.0,64.0,800,151.0,22.7,1009.5,9.5,0.0,1.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,126.0
27850,2016,5,4,9,41.0,2.0,26.0,100,53.0,20.5,1003.9,-2.0,0.0,2.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0
27500,2016,4,19,19,97.0,27.0,76.0,1200,31.0,14.2,1011.3,3.6,0.0,2.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,71.0
27215,2016,4,7,22,31.0,2.0,23.0,200,71.0,17.0,1013.0,-14.9,0.0,2.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
14347,2014,10,19,18,181.0,7.0,74.0,1300,65.0,17.0,1011.2,12.3,0.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,162.0
23716,2015,11,14,3,229.0,9.0,62.0,3400,2.0,7.3,1014.1,5.4,0.0,0.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,229.0
29114,2016,6,26,1,87.0,2.0,73.0,1000,2.0,24.5,1002.9,16.0,0.0,1.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50.0
7069,2013,12,20,12,28.0,16.0,19.0,500,59.0,1.1,1031.0,-16.8,0.0,3.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0
19108,2015,5,6,3,42.0,2.0,8.0,100,76.0,16.4,1007.4,-12.1,0.0,3.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15.0
10052,2014,4,23,19,161.0,39.0,37.0,1200,163.0,20.2,1006.1,7.2,0.6,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,135.0
21999,2015,9,3,14,16.0,2.0,4.0,400,94.0,31.1,1009.9,15.5,0.0,1.6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.0
5549,2013,10,18,4,146.0,3.0,50.0,1300,1.0,6.8,1022.3,4.6,0.0,1.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,133.0
31724,2016,10,12,19,117.0,8.0,91.0,1500,4.0,15.6,1018.1,10.6,0.0,1.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.0
30040,2016,8,3,15,23.0,2.0,19.0,500,160.0,35.3,1005.1,20.0,0.0,1.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23.0
7946,2014,1,26,1,88.0,15.0,33.0,800,24.0,-2.7,1030.8,-7.8,0.0,1.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38.0
33431,2016,12,22,22,18.0,6.0,20.0,400,54.0,-1.4,1024.2,-14.9,0.0,2.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.0
30499,2016,8,22,18,43.0,2.0,22.0,600,169.0,31.1,1005.8,19.8,0.0,3.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35.0
3049,2013,7,6,0,136.0,15.0,87.0,700,28.0,25.7,997.4,19.6,0.0,1.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,47.0
25893,2016,2,12,20,172.0,6.0,53.0,2000,29.0,5.6,1012.8,4.2,0.7,1.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,172.0
7316,2013,12,30,19,94.0,37.0,81.0,700,4.0,-0.4,1011.6,-15.1,0.0,1.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,44.0
19067,2015,5,4,10,26.0,2.0,19.0,200,65.0,18.9,1014.9,-12.3,0.0,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16.0
18021,2015,3,21,20,88.0,5.0,93.0,600,4.0,12.2,1015.2,-13.7,0.0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31.0
19576,2015,5,25,15,115.0,32.0,24.0,1200,279.0,33.4,1000.5,11.9,0.0,3.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,106.0
18597,2015,4,14,20,91.0,7.0,58.0,600,80.0,20.2,999.7,0.6,0.0,1.4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,59.0
792,2013,4,2,23,168.0,30.0,78.0,1300,48.0,10.1,1007.6,-1.6,0.0,1.4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,125.0
4826,2013,9,18,1,88.0,2.0,29.0,2000,1.0,20.0,1015.3,18.8,0.1,0.9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,80.0
7714,2014,1,16,9,446.0,62.0,124.0,5200,6.0,-1.6,1025.3,-8.8,0.0,1.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,413.0
12457,2014,8,2,0,116.0,4.0,31.0,900,59.0,27.4,1002.2,24.1,0.0,1.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,116.0
351,2013,3,15,14,293.0,102.0,135.0,2500,47.0,11.4,1014.0,-1.4,0.0,2.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,282.0
7516,2014,1,8,3,12.0,8.0,12.0,200,57.0,-3.6,1030.3,-18.7,0.0,1.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12.0
4474,2013,9,3,9,53.0,1.0,19.0,800,61.0,23.1,1014.6,16.4,0.0,1.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40.0
24247,2015,12,6,6,42.0,7.0,48.0,1300,2.0,-2.2,1026.4,-6.4,0.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42.0
24081,2015,11,29,8,300.0,26.0,108.0,7200,7.0,-4.2,1023.4,-5.5,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,300.0
21807,2015,8,26,14,8.0,2.0,4.0,300,71.0,30.7,1004.5,15.5,0.0,1.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.0
15150,2014,11,22,5,10.0,6.0,28.0,300,19.0,-0.8,1017.0,-7.6,0.0,0.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.0
5143,2013,10,1,6,83.0,2.0,35.0,1000,1.0,17.8,1012.1,16.7,0.4,1.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,72.0
12396,2014,7,30,11,119.0,2.0,12.0,1300,123.0,26.7,1003.4,20.5,0.0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,119.0
7286,2013,12,29,13,119.0,54.0,82.0,1000,31.0,7.2,1012.6,-19.5,0.0,5.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,98.0
12298,2014,7,26,9,206.0,5.0,50.0,1500,66.0,29.3,1006.1,19.6,0.0,0.8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,134.0
23330,2015,10,29,1,5.0,2.0,6.0,200,53.0,7.9,1022.2,-11.0,0.0,2.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0
2889,2013,6,29,8,14.0,3.0,28.0,1200,77.0,22.6,1001.8,22.3,0.0,1.4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,53.0
19936,2015,6,9,15,100.0,33.0,18.0,1400,206.0,28.9,997.1,12.7,0.0,2.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0
18835,2015,4,24,18,128.0,5.0,35.0,400,126.0,25.4,1012.5,-2.3,0.0,2.6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37.0
20410,2015,6,29,9,166.0,2.0,57.0,2600,22.0,25.7,1000.1,20.9,0.0,1.6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,166.0
24301,2015,12,8,12,271.0,25.0,73.0,4600,4.0,2.1,1027.3,-1.0,0.0,1.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,271.0
12119,2014,7,18,22,217.0,5.0,23.0,1800,152.0,29.6,1004.1,24.5,0.0,0.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,198.0
5372,2013,10,10,19,28.0,1.0,13.0,200,70.0,15.8,1012.1,0.0,0.0,1.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.0
12336,2014,7,27,23,135.0,6.0,38.0,900,130.0,27.9,1001.8,19.1,0.0,2.3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,101.0
17069,2015,2,10,4,109.0,22.0,54.0,1100,6.0,-4.0,1013.0,-18.3,0.0,1.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,109.0
22432,2015,9,21,15,99.0,36.0,29.0,900,209.0,28.1,1006.5,12.4,0.0,3.3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,99.0
30730,2016,9,1,9,51.0,4.0,19.0,200,64.0,23.2,992.9,7.3,0.0,2.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.0
26073,2016,2,20,8,14.0,11.0,39.0,600,31.0,-2.5,1029.9,-20.8,0.0,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.0
9296,2014,3,23,7,173.0,41.0,97.0,2200,7.0,8.5,1023.5,-4.7,0.0,1.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,125.0
14164,2014,10,12,3,4.0,2.0,7.0,100,71.0,13.5,1025.8,6.6,0.0,1.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
17681,2015,3,7,16,206.0,31.0,44.0,1400,109.0,11.9,1014.0,-3.5,0.0,2.2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,194.0
