No,year,month,day,hour,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station_Tiantan,wd_E,wd_ENE,wd_ESE,wd_N,wd_NE,wd_NNE,wd_NNW,wd_NW,wd_S,wd_SE,wd_SSE,wd_SSW,wd_SW,wd_W,wd_WNW,wd_WSW,Label
2602,2013,6,17,9,18.0,5.0,50.0,1399,51.0,26.7,998.7,14.8,0.0,3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0
34680,2017,2,12,23,184.0,14.0,108.0,300,2.0,-0.7,1023.0,-10.1,0.0,0.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,122.0
11347,2014,6,16,18,112.0,4.0,14.0,900,217.0,28.0,996.3,19.0,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,54.0
13064,2014,8,27,7,69.0,2.0,68.0,700,2.0,23.7,1009.9,12.0,0.0,1.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32.0
15837,2014,12,20,20,34.0,8.0,24.0,300,47.0,0.0,1026.0,-20.3,0.0,4.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0
30702,2016,8,31,5,60.0,2.0,68.0,700,3.0,18.8,995.1,16.0,0.0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39.0
8932,2014,3,8,3,103.0,109.0,101.0,2000,7.0,1.0,1020.9,-8.5,0.0,1.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.0
31268,2016,9,23,19,124.0,2.0,36.0,1100,156.0,24.45,1006.0,17.1,0.0,1.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,100.0
20782,2015,7,14,21,50.0,2.0,60.0,700,98.0,29.9,1000.4,13.6,0.0,3.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30.0
10470,2014,5,11,5,40.0,2.0,17.0,1200,82.0,10.7,1005.6,9.8,1.8,2.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40.0
23057,2015,10,17,16,310.0,28.0,132.0,2300,119.0,21.5,1011.8,12.1,0.0,0.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310.0
23729,2015,11,14,16,321.0,18.0,78.0,3000,7.0,9.7,1010.8,6.0,0.0,1.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,321.0
1120,2013,4,16,15,66.0,13.0,21.0,500,108.0,21.1,1001.7,-2.8,0.0,3.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0
27822,2016,5,3,5,45.0,2.0,18.0,400,2.0,12.9,998.1,2.4,0.0,2.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23.0
14065,2014,10,8,0,224.0,2.0,85.0,2600,4.0,12.6,1015.5,11.0,0.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.0
34205,2017,1,24,4,134.0,2.0,81.0,3500,2.0,-8.7,1033.0,-13.9,0.0,1.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,117.0
29289,2016,7,3,8,117.0,17.0,77.0,1200,36.0,27.1,1002.4,20.0,0.0,1.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.0
28842,2016,6,14,17,28.0,2.0,20.0,600,92.0,19.4,996.5,14.6,0.0,1.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0
11297,2014,6,14,16,135.0,5.0,23.0,700,294.0,32.1,999.7,17.6,0.0,2.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50.0
14828,2014,11,8,19,79.0,2.0,56.0,1000,33.0,7.0,1021.0,-0.9,0.0,1.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,60.0
22385,2015,9,19,16,31.0,4.0,26.0,300,139.0,28.3,1010.3,8.0,0.0,1.4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18.0
22571,2015,9,27,10,99.0,9.0,75.0,900,58.0,22.2,1011.5,12.7,0.0,1.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,76.0
8165,2014,2,4,4,20.0,6.0,13.0,400,66.0,-4.3,1025.9,-29.5,0.0,3.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
8119,2014,2,2,6,160.0,33.0,51.0,2500,1.0,1.5,1008.5,-0.3,0.0,1.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,145.0
13437,2014,9,11,20,128.0,42.0,77.0,1400,74.0,21.3,1010.0,17.9,0.0,1.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.0
22321,2015,9,17,0,141.0,6.0,98.0,1400,2.0,17.8,1013.6,15.8,0.0,0.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,141.0
16919,2015,2,3,22,49.0,10.0,20.0,300,76.0,3.0,1029.0,-16.2,0.0,3.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.0
280,2013,3,12,15,95.0,23.0,67.0,1800,46.0,5.6,1009.3,3.8,0.0,1.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.0
32753,2016,11,24,16,140.0,25.0,77.0,1200,26.0,4.0,1021.6,-12.5,0.0,2.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,88.0
17049,2015,2,9,8,95.0,32.0,71.0,2000,6.0,-8.0,1027.0,-23.0,0.0,0.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.0
29042,2016,6,23,1,68.0,2.0,21.0,600,97.0,26.4,996.9,19.0,0.0,1.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.0
13931,2014,10,2,10,67.0,3.0,54.0,1000,8.0,16.6,1008.8,11.3,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,67.0
32640,2016,11,19,23,82.0,5.0,61.0,1900,4.0,8.1,1020.7,5.4,0.0,2.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,82.0
15755,2014,12,17,10,148.0,53.0,67.0,2200,10.0,-2.0,1025.0,-15.8,0.0,1.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0
32266,2016,11,4,9,260.0,4.0,83.0,3700,21.0,4.9,1006.9,4.3,0.0,1.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,214.0
28389,2016,5,26,20,89.0,2.0,29.0,300,130.0,26.9,1005.3,2.0,0.0,2.7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23.0
34597,2017,2,9,12,43.0,2.0,12.0,400,80.0,-0.4,1024.4,-22.5,0.0,5.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.0
27282,2016,4,10,17,170.0,24.0,29.0,1000,123.0,18.5,1012.0,-6.3,0.0,2.9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,90.0
29675,2016,7,19,10,156.0,3.0,70.0,2500,7.0,24.1,1003.6,22.5,0.5,1.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,156.0
31178,2016,9,20,1,43.0,2.0,49.0,800,2.0,14.0,1016.8,12.6,0.0,0.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14.0
4004,2013,8,14,19,102.0,5.0,8.0,900,155.0,30.4,1000.2,25.7,0.0,1.6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79.0
1367,2013,4,26,22,61.0,14.0,36.0,500,90.0,17.2,1005.2,-3.6,0.0,3.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0
13793,2014,9,26,16,181.0,27.0,66.0,1500,90.0,20.1,1005.4,17.7,0.0,0.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,169.0
34041,2017,1,17,8,95.0,20.0,62.0,1700,6.0,-1.9,1026.5,-5.5,0.0,1.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,95.0
6002,2013,11,6,1,240.0,5.0,69.0,3800,1.071,3.7,1014.0,3.0,0.0,0.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.0
26282,2016,2,29,1,10.0,5.0,16.0,300,69.0,-3.3,1030.9,-19.7,0.0,1.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0
2795,2013,6,25,10,126.0,3.0,60.0,1500,29.0,22.3,996.9,21.1,0.0,1.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.0
10068,2014,4,24,11,133.0,106.0,53.0,900,52.0,20.3,1011.3,11.8,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,128.0
4619,2013,9,9,10,92.0,10.0,53.0,1600,10.0,23.2,1010.0,18.5,0.0,2.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,127.0
14219,2014,10,14,10,67.0,6.0,66.0,900,5.0,15.8,1016.7,0.0,0.0,1.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.0
8173,2014,2,4,12,6.0,9.0,24.0,400,65.0,-0.5,1025.3,-29.6,0.0,2.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0
30955,2016,9,10,18,42.0,2.0,27.0,500,148.0,28.2,1004.7,11.7,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16.0
25489,2016,1,27,0,120.0,39.0,100.0,2300,2.0,-3.1,1024.4,-20.4,0.0,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,112.0
23155,2015,10,21,18,54.0,2.0,51.0,1100,2.0,10.5,1021.6,8.4,0.0,0.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,54.0
7533,2014,1,8,20,24.0,16.0,48.0,600,28.0,-1.8,1029.8,-23.1,0.0,3.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.0
18907,2015,4,27,18,172.0,10.0,36.0,700,172.0,21.5,999.5,16.5,3.5,2.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66.0
33813,2017,1,7,20,127.0,8.0,84.0,3100,2.0,1.8,1020.3,0.5,0.0,0.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.0
29324,2016,7,4,19,104.0,7.0,19.0,1100,230.0,29.5,1003.1,20.4,0.0,3.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,96.0
27176,2016,4,6,7,147.0,22.0,60.0,2200,38.0,9.4,1007.7,0.8,0.0,0.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,96.0
22759,2015,10,5,6,158.0,3.0,82.0,1300,6.0,12.6,1016.0,12.1,0.0,0.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.0
10454,2014,5,10,13,85.0,45.0,61.0,1400,82.0,19.1,1011.8,6.6,0.0,1.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.0
21318,2015,8,6,5,25.0,2.0,34.0,500,69.0,21.2,1001.4,19.1,0.0,1.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0
7361,2014,1,1,16,52.0,12.0,42.0,500,52.0,9.4,1010.9,-12.5,0.0,1.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.0
6306,2013,11,18,17,28.0,2.0,29.0,500,40.0554,5.8,1021.7,-15.5,0.0,2.8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.0
12274,2014,7,25,9,91.0,18.0,58.0,1700,62.0,28.8,1002.3,17.3,0.0,2.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.0
22350,2015,9,18,5,160.0,5.0,49.0,1100,32.0,20.2,1012.6,18.3,0.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,160.0
7958,2014,1,26,13,43.0,48.0,24.0,500,68.0,2.4,1023.1,-9.5,0.0,1.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32.0
19990,2015,6,11,21,41.0,2.0,44.0,500,32.0,21.1,993.6,11.1,0.0,0.8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10.0
31131,2016,9,18,2,28.0,2.0,43.0,600,19.0,17.9,1016.0,16.6,0.3,1.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28.0
33905,2017,1,11,16,166.0,25.0,145.0,2100,6.0,6.525,1018.0,-12.4,0.0,1.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,121.0
12786,2014,8,15,17,74.0,6.0,27.0,600,262.0,27.1,1001.4,14.8,0.0,0.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.0
19534,2015,5,23,21,113.0,14.0,52.0,1000,138.0,24.3,1003.7,11.9,0.0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.0
3053,2013,7,6,4,110.0,5.0,82.0,1000,16.0,23.9,997.2,21.4,0.0,1.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0
27517,2016,4,20,12,104.0,15.0,53.0,1000,84.0,22.2,1009.1,4.3,0.0,1.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,104.0
4624,2013,9,9,15,71.0,13.0,21.0,700,145.0,25.2,1006.7,15.8,0.0,1.9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,65.0
12857,2014,8,18,16,83.0,8.0,14.0,900,193.0,30.2,1006.0,18.0,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,83.0
19777,2015,6,3,0,263.0,15.0,59.0,1200,83.0,21.4,1009.4,12.5,0.0,2.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0
21319,2015,8,6,6,26.0,2.0,37.0,600,58.0,21.4,1001.8,18.2,0.0,1.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0
3279,2013,7,15,14,36.0,3.0,31.0,1300,5.0,25.5,993.4,25.2,0.2,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37.0
5754,2013,10,26,17,73.0,10.0,42.0,600,81.0,13.0,1015.9,-2.5,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,54.0
13261,2014,9,4,12,101.0,6.0,138.0,1300,63.0,32.5,1000.1,11.6,0.0,3.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77.0
14394,2014,10,21,17,26.0,18.0,45.0,1100,45.0,11.7,1019.2,-0.5,0.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26.0
29741,2016,7,22,4,76.0,3.0,34.0,1200,10.0,24.1,996.5,23.6,0.0,0.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0
2724,2013,6,22,11,34.0,3.0,61.0,800,26.0,20.8,1005.1,19.6,1.5,2.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,58.0
4671,2013,9,11,14,92.0,19.0,25.0,700,179.0,29.4,1008.9,14.0,0.0,3.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,71.0
12366,2014,7,29,5,142.0,7.0,26.0,800,93.0,26.4,1000.0,20.9,0.0,2.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,141.0
34487,2017,2,4,22,17.0,14.0,56.0,700,36.0,6.3,1015.4,-13.4,0.0,2.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17.0
1260,2013,4,22,11,177.0,46.0,42.0,1100,46.0,14.5,1011.0,6.1,0.0,3.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,153.0
13770,2014,9,25,17,133.0,5.0,28.0,1100,89.0,20.7,1010.2,17.1,0.0,1.9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,133.0
26355,2016,3,3,2,146.0,26.0,104.0,2200,2.0,5.2,1008.3,-3.1,0.0,1.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.0
33191,2016,12,12,22,197.0,5.0,78.0,2500,2.0,-0.1,1025.4,-3.1,0.0,0.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.0
9110,2014,3,15,13,158.0,43.0,119.0,1700,38.0,18.9,1005.0,-8.3,0.0,1.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.0
23325,2015,10,28,20,29.0,3.0,39.0,400,31.0,11.5,1018.8,-8.4,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.0
31390,2016,9,28,21,52.0,2.0,54.0,800,2.0,14.175,1019.25,2.6,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32.0
22358,2015,9,18,13,38.0,7.0,38.0,600,79.0,28.4,1012.1,13.9,0.0,2.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0
29013,2016,6,21,20,63.0,3.0,23.0,700,113.0,27.9,996.0,15.2,0.0,1.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,63.0
15073,2014,11,19,0,225.0,4.0,94.0,3200,6.0,1.0,1023.0,-3.3,0.0,0.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,165.0
20632,2015,7,8,15,109.0,8.0,14.0,800,243.0,32.4,1004.7,18.2,0.0,2.6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,107.0
26317,2016,3,1,12,100.0,34.0,85.0,1900,32.0,5.5,1020.5,-11.2,0.0,1.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0
32067,2016,10,27,2,37.0,6.0,58.0,700,5.0,10.16666667,1025.0,1.8,0.0,2.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26.0
2828,2013,6,26,19,88.0,7.0,18.0,500,204.0,29.5,992.2,21.7,0.0,2.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,87.0
32289,2016,11,5,8,195.0,2.0,128.0,4200,13.0,5.4,1006.7,5.1,0.0,1.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.0
20556,2015,7,5,11,58.0,16.0,39.0,1300,108.0,25.7,1006.4,13.9,0.0,1.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0
3488,2013,7,24,7,112.0,4.0,71.0,700,15.0,27.5,997.1,22.2,0.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0
18314,2015,4,3,1,14.0,2.0,26.0,500,88.0,10.2,1002.5,3.2,0.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
33834,2017,1,8,17,151.0,13.0,95.0,2300,13.0,5.9,1016.5,-10.4,0.0,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,128.0
18702,2015,4,19,5,52.0,6.0,58.0,700,25.0,15.6,1008.8,6.8,0.0,1.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52.0
17185,2015,2,15,0,338.0,14.0,142.0,4400,8.0,-1.0,1011.0,-6.4,0.0,0.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,338.0
22128,2015,9,8,23,86.0,4.0,51.0,1200,43.0,20.6,1012.5,17.0,0.0,0.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0
20369,2015,6,27,16,150.0,7.0,23.0,1000,207.0,28.9,1000.8,20.9,0.0,1.6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,150.0
7383,2014,1,2,14,174.0,100.0,98.0,3200,13.0,7.2,1011.5,-6.5,0.0,1.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,111.0
24881,2016,1,1,16,214.0,42.0,147.0,3500,5.0,3.9,1016.4,-7.0,0.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.0
1557,2013,5,4,20,103.0,19.0,14.0,700,131.0,21.3,1012.1,4.4,0.0,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,60.0
30825,2016,9,5,8,43.0,2.0,50.0,800,43.0,21.8,1007.5,16.1,0.0,2.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42.0
14561,2014,10,28,16,91.0,22.0,35.0,700,65.0,13.3,1020.5,2.5,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,44.0
30788,2016,9,3,19,43.0,2.0,19.0,300,165.0,28.6,1002.6,15.8,0.0,1.8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25.0
15022,2014,11,16,21,13.0,2.0,34.0,400,41.0,7.0,1023.0,-8.6,0.0,1.7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.0
17556,2015,3,2,11,138.0,48.0,98.0,2500,19.0,8.4,1007.4,-10.0,0.0,0.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.0
30208,2016,8,10,15,85.0,2.0,11.0,900,164.0,33.4,1001.2,24.0,0.0,3.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,81.0
3170,2013,7,11,1,13.0,3.0,29.0,1400,2.0,22.2,1001.8,21.5,0.0,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0
7518,2014,1,8,5,11.0,9.0,18.0,400,55.0,-3.2,1029.4,-20.0,0.0,3.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.0
21494,2015,8,13,13,194.0,12.0,49.0,1300,289.0,32.9,999.1,23.0,0.0,1.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.0
24365,2015,12,11,4,20.0,2.0,51.0,600,5.0,-1.1,1025.4,-8.1,0.0,0.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20.0
9375,2014,3,26,14,325.0,59.0,129.0,1900,124.0,23.5,1004.2,8.7,0.0,2.7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,294.0
32547,2016,11,16,2,176.0,6.0,74.0,3200,2.0,1.7,1017.6,0.2,0.0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.0
32375,2016,11,8,22,89.0,2.0,62.0,1100,2.0,3.3,1029.8,-1.3,0.0,0.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,79.0
790,2013,4,2,21,118.0,37.0,57.0,1200,65.0,14.2,1007.3,-2.7,0.0,1.8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,103.0
13656,2014,9,20,23,215.0,2.0,92.0,2000,17.0,20.3,1009.7,17.7,0.0,2.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,215.0
11223,2014,6,11,14,19.0,2.0,23.0,400,129.0,28.3,1004.2,12.2,0.0,2.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0
10419,2014,5,9,2,91.0,24.0,34.0,1000,83.0,16.2,1010.9,6.0,0.0,1.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0
34452,2017,2,3,11,83.0,28.0,79.0,1600,14.0,1.7,1020.6,-17.8,0.0,2.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0
17952,2015,3,18,23,121.0,5.0,82.0,1200,2.0,5.3,1010.8,-6.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,87.0
32063,2016,10,26,22,94.0,5.0,62.0,800,2.0,11.4,1024.0,3.7,0.0,2.2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30.0
6245,2013,11,16,4,239.0,56.0,104.0,2500,1.7136,11.0,1010.4,-6.4,0.0,3.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,135.0
5523,2013,10,17,2,164.0,1.0,67.0,2200,1.0,6.7,1021.8,5.5,0.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,163.0
17278,2015,2,18,21,225.0,64.0,47.0,1600,63.0,5.0,1024.0,-12.0,0.0,3.6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,176.0
34113,2017,1,20,8,30.0,4.0,49.0,800,29.0,-7.9,1032.4,-21.5,0.0,1.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.0
