No,year,month,day,hour,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station_Dongsi,wd_E,wd_ENE,wd_ESE,wd_N,wd_NE,wd_NNE,wd_NNW,wd_NW,wd_S,wd_SE,wd_SSE,wd_SSW,wd_SW,wd_W,wd_WNW,wd_WSW,Label
31971,2016,10,23,2,64.0,4.0,59.0,700,2.0,9.025,1021.0,1.2,0.0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31.0
24687,2015,12,24,14,48.0,8.0,19.0,300,72.0,5.6,1021.9,-11.5,0.0,2.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27.0
20357,2015,6,27,4,36.0,2.0,32.0,700,44.0,21.4,999.1,19.1,0.0,0.9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36.0
19562,2015,5,25,1,109.0,19.0,31.0,800,136.0,26.2,1000.5,11.5,0.0,2.8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,74.0
22111,2015,9,8,6,113.0,5.0,87.0,1300,2.0,16.7,1010.9,16.1,0.0,1.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,73.0
12403,2014,7,30,18,165.0,6.0,40.0,1800,121.0,26.6,1001.1,22.2,0.0,1.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.0
1465,2013,5,1,0,237.0,16.0,48.0,600,70.0,13.3,1013.9,-1.1,0.0,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0
27441,2016,4,17,8,37.0,2.0,8.0,300,88.0,14.6,1007.6,-9.5,0.0,4.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15.0
9464,2014,3,30,7,94.0,8.0,79.0,600,5.0,14.4,1012.5,1.0,0.0,2.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32.0
14978,2014,11,15,1,169.0,22.0,86.0,2900,4.0,2.0,1027.0,-4.3,0.0,0.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0
5963,2013,11,4,10,31.0,11.0,49.0,700,14.994000000000002,15.2,1025.6,-2.3,0.0,1.6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28.0
10010,2014,4,22,1,171.0,13.0,78.0,900,36.0,11.4,1011.6,5.5,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,96.0
9622,2014,4,5,21,181.0,12.0,35.0,500,85.0,14.2,1016.4,-3.6,0.0,3.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48.0
11297,2014,6,14,16,43.0,6.0,31.0,800,240.0,32.1,999.7,17.6,0.0,2.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,43.0
9492,2014,3,31,11,281.0,52.0,111.0,3200,23.0,18.6,1011.9,7.4,0.0,3.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,206.0
27036,2016,3,31,11,275.0,56.0,112.0,2600,34.0,15.7,1005.1,4.4,0.0,0.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,222.0
28026,2016,5,11,17,192.0,16.0,31.0,1100,184.0,26.7,994.1,15.4,0.0,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,192.0
13220,2014,9,2,19,11.0,2.0,36.0,800,60.0,20.5,1007.7,17.3,0.0,1.8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0
11706,2014,7,1,17,147.0,39.0,29.0,1100,215.0,30.6,997.6,20.2,0.0,1.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,147.0
23300,2015,10,27,19,87.0,2.0,65.0,600,13.0,9.9,1011.9,0.5,0.0,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27.0
4004,2013,8,14,19,119.0,11.0,27.0,900,147.0,30.4,1000.2,25.7,0.0,1.6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,87.0
25495,2016,1,27,6,72.0,28.0,72.0,2200,2.0,-10.1,1023.3,-18.1,0.0,0.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0
27299,2016,4,11,10,80.0,5.0,34.0,500,64.0,10.7,1017.5,-6.6,0.0,2.8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80.0
31174,2016,9,19,21,48.0,2.0,92.0,1100,2.0,17.4,1016.3,12.9,0.0,1.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44.0
23993,2015,11,25,16,27.0,3.0,8.0,300,57.0,-6.3,1026.6,-17.1,0.0,6.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11.0
27591,2016,4,23,14,31.0,2.0,9.0,200,101.0,21.4,1009.6,-10.3,0.0,2.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20.0
19537,2015,5,24,0,156.0,16.0,105.0,1200,62.0,21.4,1003.6,13.8,0.0,1.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.0
30368,2016,8,17,7,95.0,3.0,96.0,1300,2.0,24.8,1000.6,21.9,0.0,0.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42.0
28827,2016,6,14,2,65.0,2.0,28.0,800,47.0,19.4,994.3,17.5,0.1,0.8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,65.0
18572,2015,4,13,19,76.0,3.0,27.0,500,111.0,15.3,1014.0,0.7,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.0
4882,2013,9,20,9,35.0,1.0,33.0,700,42.0,24.6,1013.2,11.2,0.0,2.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35.0
32544,2016,11,15,23,221.0,25.0,108.0,3400,2.0,2.1,1018.7,-0.7,0.0,0.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.0
14311,2014,10,18,6,155.0,7.0,100.0,1200,2.0,7.7,1013.5,6.3,0.0,1.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,96.0
15935,2014,12,24,22,27.0,15.0,64.0,800,13.0,2.0,1029.0,-13.4,0.0,1.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14.0
34385,2017,1,31,16,100.0,23.0,47.0,1200,46.0,5.4,1021.6,-22.8,0.0,2.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80.0
23106,2015,10,19,17,141.0,19.0,48.0,700,40.0,17.9,1009.1,8.2,0.0,1.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,76.0
17817,2015,3,13,8,127.0,37.0,84.0,3000,8.0,1.3,1018.8,-7.0,0.0,2.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,121.0
23756,2015,11,15,19,270.0,32.0,88.0,4000,15.0,9.8,1018.5,5.4,0.0,2.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,270.0
32672,2016,11,21,7,9.0,2.0,21.0,300,44.0,-1.6,1025.1,-4.3,0.4,4.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0
23101,2015,10,19,12,102.0,8.0,53.0,700,14.0,17.1,1011.6,7.2,0.0,0.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50.0
24908,2016,1,2,19,333.0,45.0,138.0,4100,4.0,-0.7,1015.7,-4.4,0.0,0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291.0
27081,2016,4,2,8,23.0,2.0,26.0,300,59.0,13.6,1016.9,-2.0,0.0,1.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.0
12126,2014,7,19,5,78.0,6.0,53.0,800,21.0,27.3,1004.8,23.8,0.0,0.3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,78.0
20756,2015,7,13,19,78.0,6.0,29.0,500,223.0,36.1,992.9,13.0,0.0,2.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43.0
24165,2015,12,2,20,5.0,2.0,14.0,400,46.0,0.6,1016.7,-15.9,0.0,6.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0
7085,2013,12,21,4,9.0,16.0,44.0,600,30.0,-5.2,1032.6,-17.3,0.0,1.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.0
19248,2015,5,11,23,27.0,2.0,65.0,700,21.0,14.7,996.4,2.2,0.0,2.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19.0
1560,2013,5,4,23,157.0,28.0,80.0,900,69.0,17.0,1012.4,6.2,0.0,1.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.0
23079,2015,10,18,14,55.0,9.0,34.0,900,25.0,17.7,1020.3,5.9,0.0,2.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,55.0
28449,2016,5,29,8,29.0,2.0,27.0,400,74.0,23.7,1005.8,-3.6,0.0,4.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26.0
26082,2016,2,20,17,22.0,3.0,11.0,300,83.0,3.2,1022.1,-21.8,0.0,3.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.0
17868,2015,3,15,11,166.0,23.0,59.0,1500,36.0,13.0,1014.6,-13.1,0.0,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70.0
16513,2015,1,18,0,138.0,46.0,93.0,2300,2.0,-2.0,1021.0,-13.5,0.0,1.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,115.0
25047,2016,1,8,14,9.0,2.0,15.0,300,58.0,1.2,1022.8,-17.7,0.0,2.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0
1412,2013,4,28,19,47.0,27.0,74.0,1399,90.0,19.2,1007.0,-5.7,0.0,2.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,62.0
24535,2015,12,18,6,71.0,27.0,69.0,2000,2.0,-4.4,1027.1,-10.6,0.0,1.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,68.0
22540,2015,9,26,3,66.0,2.0,68.0,700,2.0,12.8,1009.3,7.9,0.0,1.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28.0
9648,2014,4,6,23,152.0,21.0,30.0,500,83.0,16.8,1009.9,-1.4,0.0,3.6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,48.0
16127,2015,1,1,22,156.0,32.0,80.0,2200,4.0,-6.0,1021.0,-20.1,0.0,1.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.0
24949,2016,1,4,12,8.0,2.0,13.0,300,70.0,0.5,1026.5,-15.5,0.0,3.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.0
29654,2016,7,18,13,103.0,6.0,31.0,1200,144.0,28.6,1003.0,20.9,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,103.0
22558,2015,9,26,21,117.0,11.0,77.0,900,71.0,23.0,1008.5,9.0,0.0,1.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,57.0
31854,2016,10,18,5,55.0,5.0,60.0,800,2.0,14.3,1016.7,11.6,0.0,1.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0
16314,2015,1,9,17,15.0,10.0,34.0,500,55.0,4.0,1025.0,-17.6,0.0,0.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0
18112,2015,3,25,15,144.0,42.0,40.0,1700,107.0,17.5,1024.5,-0.8,0.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,106.0
18003,2015,3,21,2,314.0,8.0,47.0,600,38.0,14.6,1012.2,-16.8,0.0,3.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,79.0
25189,2016,1,14,12,95.0,19.0,43.0,1300,50.0,3.0,1016.1,-21.2,0.0,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,86.0
25562,2016,1,30,1,43.0,16.0,33.0,800,23.0,-5.9,1030.7,-14.7,0.0,1.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28.0
2438,2013,6,10,13,27.0,6.0,26.0,600,100.0,25.6,1008.0,12.1,0.0,2.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0
7765,2014,1,18,12,40.0,49.0,2.0,1100,31.0,5.8,1029.0,-16.1,0.0,1.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,38.0
28861,2016,6,15,12,20.0,2.0,16.0,500,114.0,28.4,998.0,13.1,0.0,1.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20.0
5594,2013,10,20,1,27.0,6.0,77.0,1000,5.0,6.5,1022.2,1.6,0.0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.0
4783,2013,9,16,6,73.0,1.0,58.0,1000,8.0,16.8,1009.3,15.3,0.0,0.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0
26182,2016,2,24,21,88.0,2.0,18.0,400,64.0,3.9,1030.0,-20.5,0.0,4.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.0
21193,2015,8,1,0,54.0,2.0,26.0,1000,98.0,25.2,1003.1,22.3,0.0,0.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,53.0
25242,2016,1,16,17,168.0,44.0,76.0,2600,6.0,-2.8,1018.8,-11.1,0.0,1.3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,133.0
20870,2015,7,18,13,53.0,2.0,27.0,900,106.0,26.4,1002.3,20.7,0.0,2.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0
5759,2013,10,26,22,187.0,78.0,119.0,2100,7.0,5.8,1015.6,3.3,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,161.0
32319,2016,11,6,14,41.0,13.0,34.0,1300,46.0,9.4,1021.7,-3.5,0.0,1.6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41.0
34130,2017,1,21,1,113.0,20.0,67.0,1300,3.0,-6.2,1024.0,-19.4,0.0,2.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,90.0
23869,2015,11,20,12,71.0,23.0,43.0,2700,3.0,0.5,1023.6,-0.6,0.1,1.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0
14419,2014,10,22,18,87.0,11.0,68.0,900,15.0,12.8,1016.1,7.9,0.0,1.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.0
32458,2016,11,12,9,90.0,11.0,52.0,1300,2.0,6.5,1017.4,-0.5,0.0,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51.0
33445,2016,12,23,12,34.0,5.0,27.0,600,42.0,1.5,1027.1,-14.6,0.0,2.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32.0
117,2013,3,5,20,240.0,92.0,185.0,2500,42.0,5.2,1010.7,-4.7,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,209.0
1963,2013,5,21,18,216.0,60.0,56.0,2100,212.0,26.0,997.6,12.8,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0
29628,2016,7,17,11,101.0,6.0,43.0,1200,104.0,27.7,1003.4,19.5,0.0,1.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.0
944,2013,4,9,7,14.0,6.0,7.0,400,89.0,7.6,1015.9,-10.2,0.0,2.7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.0
11122,2014,6,7,9,5.0,2.0,12.0,300,92.0,23.8,1001.4,9.4,0.0,3.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0
18379,2015,4,5,18,78.0,2.0,12.0,300,76.0,13.0,1015.9,-8.3,0.0,4.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15.0
9673,2014,4,8,0,225.0,44.0,98.0,1500,68.0,14.5,1010.3,3.0,0.0,1.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,160.0
15994,2014,12,27,9,208.0,77.0,103.0,5000,3.0,-5.0,1027.0,-10.4,0.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,189.0
22199,2015,9,11,22,24.0,2.0,62.0,700,11.0,15.9,1011.8,11.7,0.0,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24.0
19163,2015,5,8,10,135.0,20.0,66.0,1000,37.0,18.8,1005.8,7.2,0.0,2.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,65.0
14080,2014,10,8,15,303.0,31.0,123.0,2500,62.0,19.3,1013.0,13.7,0.0,1.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,182.0
21383,2015,8,8,22,125.0,2.0,34.0,900,99.0,24.4,1007.5,22.3,0.0,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,92.0
32696,2016,11,22,7,23.0,4.0,26.0,300,43.0,-6.2,1036.2,-20.2,0.0,4.7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.0
23440,2015,11,2,15,93.0,9.0,82.0,1000,43.0,19.4,1015.7,-3.5,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,62.0
18081,2015,3,24,8,93.0,48.0,60.0,2400,28.0,5.8,1029.9,-9.3,0.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0
19729,2015,6,1,0,133.0,21.0,30.0,800,147.0,28.9,995.2,16.5,0.0,3.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,74.0
29180,2016,6,28,19,126.0,2.0,42.0,1100,78.0,21.8,1001.7,19.2,0.2,1.2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,126.0
26819,2016,3,22,10,281.0,58.0,77.0,2800,30.0,13.6,1019.7,-2.4,0.0,1.4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,116.0
13835,2014,9,28,10,158.0,15.0,71.0,2100,6.0,19.9,1013.5,14.3,0.0,0.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0
34528,2017,2,6,15,7.0,2.0,16.0,200,69.0,4.9,1027.0,-21.3,0.0,0.7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.0
13186,2014,9,1,9,122.0,8.0,76.0,2500,15.0,24.0,1010.1,20.7,0.0,2.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,122.0
12040,2014,7,15,15,58.0,13.0,18.0,700,181.0,31.7,998.1,17.2,0.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,58.0
5379,2013,10,11,2,20.0,11.0,44.0,500,18.0,7.6,1011.3,5.1,0.0,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.0
13087,2014,8,28,6,90.0,11.0,45.0,800,91.0,24.0,1010.7,16.5,0.0,0.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0
