No,year,month,day,hour,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station_Wanliu,wd_E,wd_ENE,wd_ESE,wd_N,wd_NE,wd_NNE,wd_NNW,wd_NW,wd_S,wd_SE,wd_SSE,wd_SSW,wd_SW,wd_W,wd_WNW,wd_WSW,Label
2050,2013,5,25,9,60.0,11.0,69.0,600,22.0,26.1,1006.4,13.9,0.0,0.7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,41.0
32492,2016,11,13,19,215.0,6.0,95.0,2900,2.0,8.9,1009.1,4.7,0.0,0.8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,134.0
31462,2016,10,1,21,203.0,4.0,112.0,1800,14.0,16.5,1009.6,14.1,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,192.0
11473,2014,6,22,0,17.0,4.0,47.0,400,47.0,17.3,1003.0,17.3,0.0,0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0
27157,2016,4,5,12,184.0,30.0,59.0,1100,126.0,20.8,1007.1,6.7,0.0,2.3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,152.0
19120,2015,5,6,15,41.0,2.0,27.0,300,110.0,21.0,1005.1,-5.8,0.0,2.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.0
31614,2016,10,8,5,18.0,2.0,13.0,300,52.0,8.2,1015.9,-0.3,0.0,0.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
25449,2016,1,25,8,53.0,17.0,78.0,2300,2.0,-12.7,1026.7,-20.5,0.0,1.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22.0
32005,2016,10,24,12,100.0,2.0,63.0,900,4.0,10.4,1012.0,4.3,0.0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,45.0
14077,2014,10,8,12,293.0,11.0,109.0,2000,2.0,18.2,1013.1,13.3,0.0,0.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.0
30200,2016,8,10,7,89.0,2.0,48.0,900,17.0,25.8,1002.1,24.4,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,89.0
12575,2014,8,6,22,154.0,8.0,123.0,800,35.0,22.7,1002.8,20.4,0.0,0.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,40.0
24077,2015,11,29,4,261.0,65.0,102.0,5600,4.0,-3.1,1020.9,-5.3,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,261.0
24940,2016,1,4,3,89.0,18.0,57.0,1800,13.0,0.0,1022.7,-11.7,0.0,2.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,89.0
29674,2016,7,19,9,161.0,2.0,63.0,2100,3.0,23.6,1002.3,22.6,7.9,1.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,161.0
9219,2014,3,20,2,16.0,5.0,19.0,300,60.0,7.1,1023.0,-10.7,0.0,1.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.0
560,2013,3,24,7,9.0,19.0,31.0,500,55.0,2.8,1019.3,-14.4,0.0,2.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.0
24299,2015,12,8,10,260.0,40.0,105.0,5700,4.0,1.6,1026.4,-1.1,0.0,0.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,260.0
33909,2017,1,11,20,62.0,24.0,83.0,1000,12.0,0.05,1019.0,-11.1,0.0,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,41.0
1784,2013,5,14,7,62.0,10.0,63.0,600,27.846,22.4,1002.9,1.9,0.0,3.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33.0
33592,2016,12,29,15,78.0,17.0,57.0,1200,37.0,2.6,1027.3,-16.0,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,54.0
24660,2015,12,23,11,389.0,35.0,142.0,6200,4.0,0.0,1021.9,-2.7,0.0,0.9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,389.0
538,2013,3,23,9,51.0,52.0,85.0,1300,7.0,4.5,1005.4,-5.0,0.0,1.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,70.0
31915,2016,10,20,18,44.0,2.0,65.0,1100,8.0,10.4,1017.2,8.8,1.5,1.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,44.0
10289,2014,5,3,16,50.0,10.0,19.0,300,73.0,21.5,1003.5,-8.1,0.0,5.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18.0
23583,2015,11,8,14,56.0,4.0,55.0,900,18.0,7.1,1018.1,1.2,0.0,1.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56.0
8731,2014,2,27,18,29.0,8.0,43.0,400,56.0,4.3,1021.8,-12.6,0.0,1.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.0
22813,2015,10,7,12,286.0,10.0,73.0,1700,80.0,22.6,1008.5,16.8,0.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,286.0
20909,2015,7,20,4,108.0,2.0,44.0,900,10.0,22.7,1002.5,21.5,0.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,108.0
29204,2016,6,29,19,121.0,2.0,36.0,900,125.0,26.0,997.6,20.3,0.0,0.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,121.0
5701,2013,10,24,12,24.0,7.0,16.6293,400,71.0,15.9,1020.4,-2.1,0.0,4.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15.0
12042,2014,7,15,17,78.0,15.0,29.0,500,175.0,30.1,995.9,19.5,0.0,2.3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52.0
3288,2013,7,15,23,29.0,6.5688,55.6363,1200,2.0,23.5,990.7,23.3,0.0,0.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,64.0
32603,2016,11,18,10,255.0,25.0,94.0,4200,4.0,7.3,1009.9,2.0,0.0,0.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,156.0
12240,2014,7,23,23,134.0,10.0,123.0,1000,2.0,24.0,997.8,22.1,0.0,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42.0
12120,2014,7,18,23,119.0,7.0,62.0,700,93.0,28.0,1001.4,26.2,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,88.0
16622,2015,1,22,13,115.0,51.0,102.0,2200,7.0,3.0,1019.0,-14.7,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,102.0
2854,2013,6,27,21,147.0,18.2784,109.6302,1300,76.0,25.2,993.8,19.6,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,93.0
27009,2016,3,30,8,82.0,4.0,79.0,700,7.0,11.9,1014.2,-5.6,0.0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20.0
21356,2015,8,7,19,77.0,2.0,23.0,900,151.0,24.4,1008.5,19.2,1.4,5.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,77.0
10081,2014,4,25,0,192.0,14.0,165.0,1400,2.0,16.4,1010.3,13.9,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,148.0
22769,2015,10,5,16,233.0,19.0,59.0,1600,218.0,24.5,1010.1,14.0,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,232.0
1414,2013,4,28,21,94.0,9.0,60.0,500,47.0,17.8,1006.8,-3.6,0.0,2.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20.0
34294,2017,1,27,21,274.0,51.0,58.0,1100,39.0,0.233333333,1022.333333,-15.8,0.0,2.2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,189.0
5059,2013,9,27,18,293.0,38.2704,101.2129,1500,151.0,17.2,1004.3,13.5,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,246.0
452,2013,3,19,19,23.0,7.0,57.0,800,16.0,1.7,1013.2,1.0,1.4,2.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21.0
14593,2014,10,30,0,133.0,16.0,125.0,1700,2.0,10.8,1017.5,10.0,0.1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,133.0
20377,2015,6,28,0,134.0,12.0,42.0,1400,83.0,25.5,1001.4,21.4,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,134.0
14404,2014,10,22,3,140.0,13.0,90.0,1400,2.0,8.1,1018.1,4.1,0.0,1.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.0
19411,2015,5,18,18,51.0,2.0,22.0,300,111.0,27.0,995.2,-4.9,0.0,2.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.0
1330,2013,4,25,9,30.0,12.0,48.0,400,57.0,17.8,1009.1,-5.5,0.0,4.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16.0
29681,2016,7,19,16,52.0,2.0,40.0,1100,55.0,22.9,1001.6,22.1,0.9,1.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,52.0
4523,2013,9,5,10,26.0,7.14,38.3911,600,39.0,24.6,1008.8,16.1,0.0,1.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0
30031,2016,8,3,6,57.0,2.0,67.0,700,10.0,24.7,1004.6,22.2,0.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33.0
5946,2013,11,3,17,6.0,6.0,25.0466,300,43.0542,10.2,1020.0,1.6,0.0,0.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0
24674,2015,12,24,1,124.0,41.0,101.0,2200,4.0,-0.4,1021.8,-6.8,0.0,0.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.0
16642,2015,1,23,9,245.0,60.0,123.0,5300,2.0,-4.0,1013.0,-12.0,0.0,1.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.0
14602,2014,10,30,9,139.0,15.0,104.0,1600,2.0,12.5,1018.2,8.8,0.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.0
24486,2015,12,16,5,5.0,5.0,12.0,200,35.0,-2.5,1024.1,-16.2,0.0,2.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0
8326,2014,2,10,21,70.0,36.0,109.0,1200,11.0,-8.4,1025.9,-12.4,0.0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,58.0
26632,2016,3,14,15,50.0,11.0,48.0,600,97.0,16.8,1014.1,-13.9,0.0,2.6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50.0
1026,2013,4,12,17,145.0,36.0,100.0,500,62.0,21.6,1002.3,0.7,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,61.0
24770,2015,12,28,1,80.0,20.0,70.0,1600,2.0,-7.8,1031.2,-11.6,0.0,0.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80.0
12867,2014,8,19,2,140.0,13.0,44.0,900,68.0,20.8,1005.9,20.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,79.0
6230,2013,11,15,13,106.0,26.0,82.9412,1500,6.6402,15.8,1009.3,-5.9,0.0,2.6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,74.0
13217,2014,9,2,16,49.0,4.0,19.0,400,52.0,20.2,1005.1,20.2,0.7,1.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0
32960,2016,12,3,7,129.0,14.0,88.0,4800,4.0,-2.3,1017.8,-5.3,0.0,0.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,101.0
18018,2015,3,21,17,62.0,5.0,52.0,300,64.0,19.0,1011.6,-17.7,0.0,3.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.0
10720,2014,5,21,15,226.0,41.0,57.0,1900,218.0,30.7,997.4,17.0,0.0,3.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,117.0
15145,2014,11,22,0,22.0,11.0,68.0,800,2.0,6.3,1030.0,-10.5,0.0,1.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14.0
20785,2015,7,15,0,66.0,2.0,58.0,600,64.0,24.7,999.6,15.9,0.0,0.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0
33682,2017,1,2,9,28.0,19.0,82.0,1600,11.0,0.6,1021.5,-11.5,0.0,1.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28.0
1226,2013,4,21,1,156.0,16.0,86.0,1000,20.0,6.5,1015.0,3.3,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,110.0
23387,2015,10,31,10,25.0,4.0,53.0,600,15.0,11.9,1027.6,-5.6,0.0,0.7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18.0
13141,2014,8,30,12,171.0,12.0,75.0,1500,11.0,25.1,1008.3,22.0,0.0,1.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.0
2106,2013,5,27,17,90.0,14.0,50.0,1100,63.0,21.6,999.9,16.8,0.0,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,109.0
34302,2017,1,28,5,731.0,143.0,91.0,3300,20.0,-3.275,1018.75,-12.2,0.0,2.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,568.0
12313,2014,7,27,0,100.0,19.0,42.0,600,110.0,27.1,1003.9,18.1,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67.0
33411,2016,12,22,2,371.0,16.0,176.0,7500,4.0,2.0,1017.4,-4.3,0.0,1.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,371.0
28233,2016,5,20,8,137.0,22.0,105.0,1100,38.0,20.3,1010.9,11.2,0.0,1.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,137.0
21007,2015,7,24,6,23.0,2.0,45.0,600,10.0,21.7,996.7,19.1,0.0,1.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23.0
14504,2014,10,26,7,9.0,4.0,35.0,300,29.0,15.1,1018.5,-1.1,0.0,3.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0
24819,2015,12,30,2,307.0,36.0,114.0,4300,3.0,-2.0,1022.5,-6.7,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,307.0
1142,2013,4,17,13,49.0,25.0,47.0,500,93.0,16.0,1002.5,-1.6,0.0,1.8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,44.0
31526,2016,10,4,13,48.0,2.0,48.0,1100,3.0,15.3,1008.3,12.8,0.1,2.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32.0
25789,2016,2,8,12,32.0,2.0,5.0,100,88.0,9.8,1009.8,-15.7,0.0,5.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0
10136,2014,4,27,7,153.0,6.0,85.0,600,2.0,14.9,1015.6,8.8,0.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,57.0
14067,2014,10,8,2,203.0,9.0,150.0,1300,2.0,12.6,1014.0,11.3,0.0,1.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.0
17708,2015,3,8,19,27.0,5.0,42.0,300,48.0,8.3,1019.7,-20.5,0.0,2.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.0
14951,2014,11,13,22,68.0,8.0,87.0,800,2.0,1.8,1018.0,-4.5,0.0,0.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30.0
32876,2016,11,29,19,192.0,33.0,103.0,3400,4.0,3.1,1026.2,-4.1,0.0,1.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,144.0
30039,2016,8,3,14,46.0,2.0,22.0,700,228.0,34.7,1003.3,19.9,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,46.0
24484,2015,12,16,3,6.0,5.0,8.0,200,44.0,-2.1,1024.0,-16.6,0.0,2.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
17300,2015,2,19,19,141.0,9.0,58.0,1100,26.0,2.0,1019.0,0.2,0.0,1.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,141.0
24100,2015,11,30,3,241.0,14.0,107.0,7400,4.0,-4.3,1021.3,-5.1,0.0,0.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,241.0
19127,2015,5,6,22,107.0,8.0,50.0,600,46.0,17.4,1006.6,-7.9,0.0,2.2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,41.0
19729,2015,6,1,0,178.0,18.0,49.0,900,131.0,26.7,994.2,16.9,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60.0
12671,2014,8,10,22,158.0,7.0,78.0,800,48.0,25.0,998.1,21.3,0.0,0.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,61.0
