No,year,month,day,hour,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station_Aotizhongxin,wd_E,wd_ENE,wd_ESE,wd_N,wd_NE,wd_NNE,wd_NNW,wd_NW,wd_S,wd_SE,wd_SSE,wd_SSW,wd_SW,wd_W,wd_WNW,wd_WSW,Label
14865,2014,11,10,8,87.0,6.0,70.0,1500,2.0,0.1,1019.0,0.1,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,69.0
9579,2014,4,4,2,152.0,11.0,38.0,500,42.0,7.6,1012.9,-2.7,0.0,2.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31.0
30307,2016,8,14,18,33.0,2.0,53.0,500,218.0,32.5,1001.1,19.0,0.0,1.6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,33.0
990,2013,4,11,5,77.0,14.0,95.0,800,2.0,2.5,1014.0,-5.9,0.0,0.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25.0
5364,2013,10,10,11,92.0,43.0,13.0,200,38.0,20.3,1005.8,3.1,0.0,6.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14.0
25647,2016,2,2,14,21.0,13.0,23.0,700,68.0,4.3,1024.3,-19.4,0.0,1.7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21.0
23699,2015,11,13,10,217.0,20.0,73.0,3500,5.0,6.6,1020.1,3.9,0.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.0
96,2013,3,4,23,94.0,46.0,86.0,1100,84.0,7.7,1015.7,-9.3,0.0,2.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,58.0
13501,2014,9,14,12,15.0,2.0,28.0,300,41.0,21.7,1012.9,9.2,0.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0
929,2013,4,8,16,274.0,5.0,9.0,400,80.0,10.8,1007.9,-11.3,0.0,3.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32.0
13654,2014,9,20,21,226.0,3.0,93.0,1300,80.0,19.6,1006.5,18.9,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,175.0
11125,2014,6,7,12,5.0,2.0,9.0,200,98.0,27.8,998.2,9.1,0.0,4.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0
20664,2015,7,9,23,111.0,10.0,73.0,600,94.0,26.7,1007.8,12.4,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35.0
18997,2015,5,1,12,205.0,20.0,77.0,1700,115.0,25.2,1003.5,14.9,0.0,2.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,191.0
24039,2015,11,27,14,190.0,14.0,123.0,3100,22.0,-3.1,1019.5,-10.0,0.0,1.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.0
29812,2016,7,25,3,51.0,2.0,30.0,900,45.0,26.2,1000.1,24.6,2.6,1.2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,51.0
5396,2013,10,11,19,184.0,23.7048,131.0,1100,15.0,12.6,1009.6,9.8,0.0,0.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,84.0
14761,2014,11,6,0,5.0,2.0,8.0,200,64.0,10.4,1019.0,-6.9,0.0,1.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0
16516,2015,1,18,3,105.0,74.0,90.0,2400,2.0,0.0,1017.0,-14.0,0.0,0.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100.0
18374,2015,4,5,13,89.0,2.0,9.0,300,98.0,15.9,1013.6,-9.2,0.0,6.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19.0
12932,2014,8,21,19,189.0,3.0,54.0,1100,179.0,28.4,1001.3,22.9,0.0,0.6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,138.0
6687,2013,12,4,14,56.0,38.0,45.0,900,25.0,14.3,1012.2,-6.6,0.0,1.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0
24688,2015,12,24,15,44.0,14.0,34.0,800,71.0,5.1,1022.0,-11.5,0.0,4.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35.0
34846,2017,2,19,21,129.0,2.0,12.0,200,77.0,3.6,1015.4,-20.7,0.0,4.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.0
14432,2014,10,23,7,189.0,12.0,99.0,1200,2.0,12.5,1011.6,8.6,0.0,0.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,102.0
33277,2016,12,16,12,53.0,23.0,84.0,1600,15.0,4.6,1022.3,-10.3,0.0,1.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0
27446,2016,4,17,13,26.0,2.0,5.0,300,103.0,18.2,1006.5,-7.3,0.0,5.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.0
14322,2014,10,18,17,394.0,58.0,186.0,3800,102.0,18.0,1008.9,12.7,0.0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,250.0
30851,2016,9,6,10,30.0,3.0,35.0,500,34.0,27.9,1005.8,14.9,0.0,1.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23.0
19511,2015,5,22,22,131.0,12.0,81.0,900,114.0,22.5,1003.8,8.9,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,60.0
25168,2016,1,13,15,68.0,13.0,21.0,500,68.0,1.8,1017.7,-25.6,0.0,3.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14.0
16267,2015,1,7,18,122.0,51.0,89.0,2300,2.0,-2.0,1025.0,-16.2,0.0,0.7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,74.0
21944,2015,9,1,7,11.0,2.0,20.0,500,45.0,18.8,1008.4,17.5,0.6,1.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.0
29698,2016,7,20,9,53.0,2.0,23.0,700,54.0,21.7,999.0,20.9,13.8,4.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0
14822,2014,11,8,13,76.0,36.0,72.0,1400,26.0,11.7,1031.0,-1.1,0.0,2.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,76.0
27363,2016,4,14,2,140.0,2.0,31.0,200,71.0,15.6,1006.6,-8.7,0.0,1.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0
25390,2016,1,22,21,24.0,2.0,17.0,600,59.0,-12.6,1042.0,-31.0,0.0,2.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.0
14018,2014,10,6,1,28.0,2.0,77.0,600,2.0,8.4,1021.3,5.1,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28.0
24232,2015,12,5,15,23.0,5.0,35.0,500,60.0,7.6,1025.3,-9.3,0.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.0
12135,2014,7,19,14,60.0,2.0,17.0,300,157.0,35.4,1001.0,24.0,0.0,1.6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,60.0
11547,2014,6,25,2,75.0,16.0,53.0,1400,85.0,23.0,996.5,20.1,0.0,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0
4464,2013,9,2,23,111.0,12.0,52.0,1300,71.0,20.3,1010.9,18.2,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80.0
14515,2014,10,26,18,13.0,2.0,60.0,400,22.0,10.4,1022.1,-5.6,0.0,0.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.0
1421,2013,4,29,4,24.0,8.0,43.0,300,60.0,12.6,1007.8,-3.3,0.0,0.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0
20757,2015,7,13,20,128.0,7.0,55.0,600,256.0,35.0,993.3,14.8,0.0,1.9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,48.0
31087,2016,9,16,6,149.0,2.0,52.0,900,32.0,21.3,1008.6,20.1,0.0,0.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.0
2879,2013,6,28,22,120.0,24.0,54.0,2000,86.0,21.3,996.0,19.9,1.0,1.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,279.0
20296,2015,6,24,15,117.0,8.0,66.0,1000,69.0,25.1,1000.9,17.0,0.0,1.6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,117.0
22384,2015,9,19,15,24.0,2.0,34.0,400,126.0,28.0,1010.9,7.3,0.0,1.9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0
22362,2015,9,18,17,32.0,2.0,29.0,400,129.0,28.3,1010.8,13.4,0.0,2.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0
31366,2016,9,27,21,21.0,2.0,40.0,300,28.0,17.225,1021.75,0.3,0.0,2.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14.0
26938,2016,3,27,9,44.0,14.0,27.0,500,59.0,15.9,1017.0,-11.6,0.0,2.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.0
23562,2015,11,7,17,15.0,4.0,42.0,500,39.0,3.5,1021.9,-2.7,0.0,2.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15.0
13064,2014,8,27,7,57.0,4.0,72.0,1100,20.0,23.1,1008.4,10.5,0.0,2.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25.0
27839,2016,5,3,22,53.0,2.0,52.0,300,50.0,19.2,999.0,-4.3,0.0,1.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.0
25471,2016,1,26,6,57.0,6.0,2.0,700,63.0,-3.9,1023.5,-23.6,0.0,2.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18.0
26905,2016,3,26,0,47.0,2.0,70.0,600,17.0,8.2,1022.6,-9.7,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20.0
15644,2014,12,12,19,47.0,13.0,45.0,700,16.0,-0.9,1023.0,-18.0,0.0,1.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14.0
15136,2014,11,21,15,123.0,33.0,101.0,1400,21.0,14.6,1023.0,-6.9,0.0,2.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,95.0
11332,2014,6,16,3,104.0,2.0,47.0,700,93.0,21.3,997.4,20.8,0.0,0.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,104.0
23409,2015,11,1,8,54.0,2.0,61.0,900,6.0,2.0,1021.5,-0.6,0.0,0.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,37.0
33852,2017,1,9,11,12.0,6.0,20.0,400,60.0,0.575,1025.0,-14.4,0.0,3.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.0
24560,2015,12,19,7,198.0,31.0,94.0,5600,13.0,-6.0,1033.0,-7.2,0.0,1.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.0
4855,2013,9,19,6,106.0,15.0,51.0,1800,7.0,19.8,1008.5,19.0,0.0,1.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,88.0
2614,2013,6,17,21,78.0,9.0,81.0,700,108.0,26.0,994.4,18.2,0.0,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50.0
6519,2013,11,27,14,67.0,7.0,6.0,400,48.0,-0.3,1021.5,-23.9,0.0,3.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.0
5115,2013,9,30,2,188.0,18.0,99.0,1500,1.0,16.5,1013.6,15.9,0.0,0.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,169.0
19846,2015,6,5,21,87.0,3.0,86.0,1000,103.0,23.8,995.1,15.8,0.0,1.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,52.0
1135,2013,4,17,6,61.0,17.0,38.0,800,54.0,9.2,1007.0,0.6,0.0,1.6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40.0
30168,2016,8,8,23,48.0,3.0,39.0,1300,126.0,27.3,1005.6,18.0,0.0,0.8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,48.0
32986,2016,12,4,9,333.0,11.0,153.0,5300,4.0,1.6,1012.9,0.0,0.0,0.8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,333.0
18152,2015,3,27,7,117.0,11.0,97.0,1000,4.0,6.8,1020.2,-0.2,0.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,74.0
8252,2014,2,7,19,63.0,24.0,68.0,1300,10.0,-3.0,1018.5,-4.0,0.0,1.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,89.0
1635,2013,5,8,2,243.0,94.0,59.0,1800,122.0,19.1,1008.4,12.4,0.0,1.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,202.0
13581,2014,9,17,20,99.0,3.0,68.0,500,37.0,15.6,1015.6,14.6,0.0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37.0
20932,2015,7,21,3,137.0,3.0,47.0,1500,83.0,23.1,1002.1,22.3,0.0,1.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.0
21473,2015,8,12,16,101.0,8.0,24.0,700,185.0,35.6,999.7,17.3,0.0,3.8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,44.0
4685,2013,9,12,4,164.0,13.0,120.0,1100,1.0,17.7,1007.7,17.2,0.0,0.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.0
19935,2015,6,9,14,129.0,35.0,36.0,1500,190.0,28.2,996.5,13.7,0.0,3.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.0
17267,2015,2,18,10,18.0,10.0,19.0,500,69.0,5.5,1029.1,-12.5,0.0,4.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16.0
31798,2016,10,15,21,163.0,4.0,128.0,2100,2.0,15.0,1018.1,13.2,0.3,1.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,158.0
18136,2015,3,26,15,144.0,24.0,29.0,800,162.0,19.9,1022.1,-5.9,0.0,4.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,82.0
14341,2014,10,19,12,414.0,20.0,201.0,3000,2.0,20.0,1007.7,13.2,0.0,1.2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,367.0
6404,2013,11,22,19,224.0,44.0,125.0,2600,1.0,2.4,1016.5,-2.3,0.0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,192.0
28235,2016,5,20,10,122.0,40.0,43.0,1800,112.0,23.6,1012.8,11.0,0.0,1.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,122.0
18535,2015,4,12,6,7.0,2.0,12.0,200,72.0,7.9,1017.8,-5.9,0.0,5.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.0
5092,2013,9,29,3,289.0,9.0,85.0,1300,1.0,15.1,1008.8,13.5,0.0,0.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,282.0
20273,2015,6,23,16,145.0,14.0,31.0,1100,273.0,31.3,1001.4,17.6,0.0,2.7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,145.0
32241,2016,11,3,8,155.0,3.0,84.0,2400,2.0,1.3,1016.8,-0.3,0.0,0.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,106.0
34899,2017,2,22,2,81.0,2.0,37.0,100,35.0,-2.3,1019.8,-5.3,0.0,2.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81.0
28100,2016,5,14,19,52.0,2.0,32.0,700,50.0,13.8,1010.5,11.3,0.0,1.2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,52.0
30550,2016,8,24,21,84.0,2.0,55.0,1000,90.0,28.5,999.9,22.7,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,72.0
34995,2017,2,26,2,29.0,7.0,51.0,400,53.0,2.3,1020.7,-8.2,0.0,0.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0
9765,2014,4,11,20,93.0,28.0,53.0,1000,72.0,14.2,1011.8,0.1,0.0,1.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,74.0
25269,2016,1,17,20,20.0,5.0,38.0,800,48.0,-6.6,1022.0,-21.7,0.0,2.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18.0
31917,2016,10,20,20,43.0,2.0,65.0,1100,3.0,10.9,1019.1,9.3,0.6,1.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,43.0
18079,2015,3,24,6,89.0,48.0,78.0,2700,16.0,2.5,1029.2,-8.5,0.0,1.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0
5452,2013,10,14,3,101.0,5.4264,57.0,800,1.0,13.0,1015.5,12.1,0.0,0.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,83.0
28950,2016,6,19,5,70.0,3.0,26.0,700,85.0,24.5,1001.9,16.0,0.0,2.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70.0
20017,2015,6,13,0,21.0,14.0,41.0,400,74.0,24.2,995.1,11.5,0.0,2.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.0
4919,2013,9,21,22,30.0,11.0,46.0,400,56.0,19.2,1010.0,15.7,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26.0
35052,2017,2,28,11,8.0,4.0,12.0,200,107.0,13.3,1016.0,-12.8,0.0,3.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.0
32558,2016,11,16,13,87.0,22.0,61.0,1300,33.0,10.8,1015.5,-1.6,0.0,1.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.0
20773,2015,7,14,12,31.0,2.0,46.0,600,232.0,33.1,999.9,15.6,0.0,1.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0
34686,2017,2,13,5,150.0,40.0,110.0,3700,3.0,-3.4,1025.4,-10.5,0.0,0.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,131.0
29288,2016,7,3,7,134.0,3.0,65.0,1100,2.0,25.3,1002.4,19.2,0.0,1.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0
696,2013,3,29,23,87.0,59.0,67.0,900,17.0,4.7,1017.1,-3.3,0.0,1.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.0
24722,2015,12,26,1,558.0,10.0,176.0,9900,10.0,-3.5,1013.0,-3.5,0.0,1.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481.0
5271,2013,10,6,14,120.0,57.0,65.0,2200,38.0,20.6,1015.9,15.2,0.0,0.9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,158.0
30445,2016,8,20,12,63.0,2.0,24.0,800,151.0,29.8,1005.2,21.5,0.0,1.2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,63.0
10636,2014,5,18,3,308.0,12.0,83.0,800,2.0,14.2,1004.9,12.1,0.0,0.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,101.0
14867,2014,11,10,10,38.0,10.0,63.0,1000,2.0,8.8,1020.0,-1.6,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,38.0
7390,2014,1,2,21,253.0,123.0,128.0,4200,1.0,2.8,1011.8,-5.1,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.0
21191,2015,7,31,22,42.0,2.0,50.0,700,118.0,26.9,1003.7,21.0,0.0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,42.0
34338,2017,1,29,17,33.0,5.0,8.0,300,81.0,-0.55,1027.25,-21.4,0.0,3.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.0
9611,2014,4,5,10,44.0,2.0,10.0,300,79.0,15.6,1018.6,-11.0,0.0,4.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.0
23744,2015,11,15,7,265.0,9.0,94.0,7200,6.0,4.5,1015.5,4.2,0.0,0.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,239.0
14442,2014,10,23,17,214.0,23.0,139.0,1600,2.0,12.5,1006.7,10.6,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,155.0
7602,2014,1,11,17,237.0,94.0,158.0,3400,1.0,0.4,1022.3,-14.0,0.0,2.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,163.0
2535,2013,6,14,14,156.0,42.0,48.0,800,264.0,30.2,1001.6,13.9,0.0,3.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,123.0
4873,2013,9,20,0,140.0,11.0,79.0,1700,1.0,19.8,1009.2,19.6,0.0,1.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,131.0
5052,2013,9,27,11,234.0,28.0,117.0,1600,17.0,21.6,1006.1,11.3,0.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.0
6906,2013,12,13,17,107.0,36.0,58.0,1200,9.4248,-1.9,1018.1,-14.0,0.0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,69.0
23294,2015,10,27,13,29.0,3.0,34.0,500,57.0,15.6,1010.4,-6.7,0.0,3.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.0
12401,2014,7,30,16,141.0,2.0,26.0,1400,132.0,29.3,999.1,24.6,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,141.0
19406,2015,5,18,13,71.0,2.0,8.0,200,122.0,25.9,998.0,-3.7,0.0,7.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.0
34636,2017,2,11,3,37.0,12.0,61.0,500,38.0,0.5,1025.6,-20.5,0.0,1.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.0
22426,2015,9,21,9,161.0,7.0,105.0,1800,11.0,21.4,1008.6,14.5,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,105.0
17367,2015,2,22,14,96.0,5.0,6.0,300,77.0,3.0,1017.0,-20.4,0.0,2.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.0
32304,2016,11,5,23,125.0,2.0,56.0,1300,48.0,7.9,1021.7,1.3,0.0,0.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,125.0
35000,2017,2,26,7,45.0,13.0,105.0,1800,2.0,0.2,1021.5,-7.8,0.0,0.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32.0
24807,2015,12,29,14,254.0,61.0,116.0,3500,17.0,2.6,1022.0,-5.3,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,241.0
33224,2016,12,14,7,11.0,6.0,44.0,500,28.0,-4.8,1032.0,-17.6,0.0,1.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.0
29382,2016,7,7,5,105.0,7.0,40.0,1600,73.0,23.5,1007.9,20.4,0.0,1.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.0
7991,2014,1,27,22,24.0,12.0,18.0,400,55.0,1.1,1021.2,-17.8,0.0,1.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.0
